Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cedent Shirley C.I.N.Q.;Chénier Pierre P.M.L.Q.;de Grandpré-Ruel Myriam N.P.D.Q.;Fournier Catherine P.Q.;Lévesque Carl Q.S.;Poiré-Hill Laeticia P.V.Q./G.P.Q.;Portron Florent É.A.;Prévost Martyne C.A.Q.-É.F.L.;Ziadé Sonia P.L.Q./Q.L.P.;B.V.;B.R.;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;16;;1;344;0;0;0;39;44;8;0;39;27;157;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;16;;2;352;0;0;6;55;35;5;0;38;47;186;5;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;16;;3;352;0;0;1;42;36;3;0;42;25;149;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;16;;4;344;0;1;0;46;33;6;0;50;25;161;6;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;16;;5;345;0;0;2;32;36;10;0;37;19;136;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;16;;6;332;0;1;1;51;38;5;2;46;16;160;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;17;;7;352;0;0;3;26;27;3;0;24;28;111;2;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;17;;8;338;1;1;1;14;20;2;1;18;20;78;2;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;17;;9;324;0;0;1;25;8;3;1;36;39;113;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;17;;10;332;0;0;2;28;12;0;0;31;39;112;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;17;;11;309;0;0;1;27;6;2;1;32;23;92;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;17;;12;368;0;0;2;20;27;2;0;36;38;125;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;18;;13;363;0;0;1;33;22;3;0;40;17;116;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;18;;14;365;0;0;0;47;23;3;0;43;33;149;2;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;18;;15;354;0;1;1;31;18;2;0;26;23;102;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;18;;16;348;0;0;2;41;19;4;0;50;24;140;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;18;;17;410;0;0;3;60;34;6;0;36;38;177;2;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;18;;18;338;0;0;3;46;29;5;0;32;11;126;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;18;;19;347;1;0;0;44;42;4;0;46;18;155;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;19;;20;373;0;0;3;38;20;1;0;22;15;99;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;19;;21;376;1;0;2;67;54;7;0;53;13;197;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;19;;22;373;0;0;0;78;62;4;0;28;12;184;2;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;19;;23;366;1;0;0;51;36;3;0;23;18;132;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;19;;24;363;0;0;2;72;50;12;0;38;10;184;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;19;;25;407;0;0;2;73;23;1;0;37;42;178;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;19;;26;363;0;0;1;63;47;9;1;39;37;197;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;20;;27;357;0;0;1;66;44;8;0;42;17;178;6;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;20;;28;361;2;1;5;49;41;7;0;48;26;179;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;20;;29;356;1;0;1;55;38;6;0;41;32;174;5;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;20;;30;352;0;0;1;48;42;3;0;46;24;164;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;20;;31;390;1;1;5;55;51;7;0;43;24;187;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;20;;32;360;2;0;0;31;31;4;0;50;32;150;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;21;;33;381;0;1;2;37;49;3;0;42;31;165;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;21;;34;382;0;0;1;61;50;2;1;51;24;190;7;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;21;;35;373;0;0;0;45;33;3;1;43;16;141;7;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;21;;36;398;0;0;3;82;64;2;0;62;20;233;5;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;21;;37;382;0;2;3;76;51;11;0;36;32;211;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;22;;38;368;0;1;2;89;64;6;0;29;31;222;2;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;22;;39;333;0;0;4;64;55;8;0;29;16;176;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;22;;40;351;1;0;0;81;70;2;0;24;10;188;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;22;;41;364;0;0;2;75;51;4;0;41;16;189;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;22;;42;371;0;0;1;60;57;5;0;40;27;190;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;22;;43;351;1;0;4;82;68;6;0;20;24;205;2;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;23;;44;383;2;0;1;102;60;3;0;39;23;230;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;23;;45;368;1;0;1;80;67;4;0;30;11;194;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;23;;46;370;0;1;3;53;60;7;0;44;17;185;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;23;;47;381;1;0;1;63;47;5;2;37;20;176;9;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;23;;48;364;1;0;0;59;28;4;0;46;20;158;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;23;;49;372;1;1;0;41;39;10;0;53;34;179;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;23;;50;368;0;0;5;52;47;8;0;73;14;199;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;23;;51;361;0;1;2;42;34;1;0;38;20;138;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;24;;52;382;0;0;1;48;41;4;0;46;24;164;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;24;;53;394;0;0;2;35;33;4;0;53;25;152;6;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;24;;54;390;0;0;2;47;39;4;0;55;23;170;5;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;24;;55;401;3;1;4;40;24;6;0;44;17;139;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;24;;56;380;0;0;1;42;23;6;0;43;36;151;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;25;;57;379;0;0;3;64;26;3;0;55;17;168;5;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;25;;58;373;1;0;1;21;53;1;0;43;21;141;9;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;25;;59;392;1;1;1;48;34;2;1;50;15;153;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;25;;60;374;1;0;2;37;40;4;1;46;21;152;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;25;;61;417;2;1;2;53;53;0;1;50;16;178;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;25;;62;379;0;0;6;49;36;8;1;33;32;165;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;25;;63;377;3;1;4;51;43;1;0;29;19;151;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;26;;64;400;1;1;0;51;45;4;0;45;22;169;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;26;;65;390;0;1;3;53;35;3;1;44;34;174;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;26;;66;369;1;0;1;40;36;5;2;56;14;155;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;26;;67;375;0;0;0;47;43;1;0;54;28;173;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;26;;68;399;1;1;1;52;41;6;0;55;32;189;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;26;;69;406;2;1;0;35;30;7;1;47;24;147;2;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;26;;70;395;1;0;1;36;37;2;0;48;35;160;7;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;26;;71;380;2;1;0;35;34;1;0;40;28;141;1;
