Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boye Olivia P.C.Q./C.P.Q.;Ciccone Enrico P.L.Q./Q.L.P.;Déry Roger Ind;Desjardins Patrick C.P.Q.;Hétu Marc C.A.Q.-É.F.L.;Perreault Anick Q.S.;Salt Kimberly P.V.Q./G.P.Q.;Symon John N.P.D.Q.;Vincent Carole P.Q.;B.V.;B.R.
306;Marquette;2018-10-01;G;Dorval, v;1;;1;393;12;116;1;1;36;9;8;5;4;192;2
306;Marquette;2018-10-01;G;Dorval, v;1;;2;390;4;102;1;0;32;6;13;7;2;167;1
306;Marquette;2018-10-01;G;Dorval, v;1;;3;398;5;118;2;0;27;19;10;13;5;199;5
306;Marquette;2018-10-01;G;Dorval, v;1;;4;409;7;147;0;1;23;16;5;5;8;212;2
306;Marquette;2018-10-01;G;Dorval, v;1;;5;395;6;132;0;1;27;4;10;5;5;190;2
306;Marquette;2018-10-01;G;Dorval, v;1;;6;393;11;115;2;3;44;8;17;5;7;212;3
306;Marquette;2018-10-01;G;Dorval, v;1;;7;397;5;135;0;0;32;18;9;2;9;210;0
306;Marquette;2018-10-01;G;Dorval, v;2;;8;411;5;133;1;1;25;16;19;8;13;221;1
306;Marquette;2018-10-01;G;Dorval, v;2;;9;408;3;132;1;0;34;13;8;11;10;212;2
306;Marquette;2018-10-01;G;Dorval, v;2;;10;415;13;148;2;0;31;10;13;11;0;228;2
306;Marquette;2018-10-01;G;Dorval, v;2;;11;391;7;156;0;0;41;12;10;13;3;242;0
306;Marquette;2018-10-01;G;Dorval, v;2;;12;404;5;141;0;2;32;20;9;6;4;219;3
306;Marquette;2018-10-01;G;Dorval, v;3;;13;390;3;109;1;1;35;17;13;4;8;191;1
306;Marquette;2018-10-01;G;Dorval, v;3;;14;374;5;104;0;1;30;16;19;10;7;192;1
306;Marquette;2018-10-01;G;Dorval, v;3;;15;373;6;105;3;1;31;28;14;2;9;199;2
306;Marquette;2018-10-01;G;Dorval, v;3;;16;365;3;118;1;0;35;8;5;3;8;181;1
306;Marquette;2018-10-01;G;Dorval, v;3;;17;368;9;116;1;0;12;6;15;6;3;168;1
306;Marquette;2018-10-01;G;Dorval, v;4;;18;378;7;116;1;0;45;14;7;1;3;194;3
306;Marquette;2018-10-01;G;Dorval, v;4;;19;362;10;94;0;0;14;12;8;5;2;145;2
306;Marquette;2018-10-01;G;Dorval, v;4;;20;372;8;107;0;1;33;12;3;4;8;176;1
306;Marquette;2018-10-01;G;Dorval, v;4;;21;366;4;104;0;0;27;13;5;5;3;161;1
306;Marquette;2018-10-01;G;Dorval, v;4;;22;369;4;77;0;1;19;7;8;3;1;120;2
306;Marquette;2018-10-01;G;Dorval, v;4;;23;366;8;80;2;0;22;5;9;4;2;132;5
306;Marquette;2018-10-01;G;Dorval, v;4;;24;371;4;110;0;1;40;11;8;4;7;185;1
306;Marquette;2018-10-01;G;Dorval, v;5;;25;384;7;96;0;0;21;12;12;5;2;155;0
306;Marquette;2018-10-01;G;Dorval, v;5;;26;368;8;85;1;1;27;33;17;6;10;188;3
306;Marquette;2018-10-01;G;Dorval, v;5;;27;359;0;91;1;0;50;22;14;7;13;198;4
306;Marquette;2018-10-01;G;Dorval, v;5;;28;382;3;80;1;1;23;12;6;4;10;140;3
306;Marquette;2018-10-01;G;Dorval, v;5;;29;393;4;87;1;0;24;10;8;1;14;149;1
306;Marquette;2018-10-01;G;Dorval, v;5;;30;375;3;91;0;0;40;15;11;0;18;178;1
306;Marquette;2018-10-01;G;Dorval, v;6;;31;354;0;79;1;1;40;14;15;6;10;166;2
306;Marquette;2018-10-01;G;Dorval, v;6;;32;364;4;64;1;1;28;15;7;9;8;137;0
306;Marquette;2018-10-01;G;Dorval, v;6;;33;363;3;90;2;0;23;4;1;2;12;137;0
