Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire Simon C.A.Q.-É.F.L.;Beaulieu Richard Jonathan Ind;Bélanger Alain C.P.Q.;Morin Nicole P.Q.;Piotte Simon Q.S.;Plante Marc H. P.L.Q./Q.L.P.;Rousseau Maxime P.C.Q./C.P.Q.;St-Yves Amélie P.V.Q./G.P.Q.;B.V.;B.R.;
666;Maskinongé;2018-10-01;G;Saint-Élie-de-Caxton, m;1;;1;349;62;1;1;28;27;46;4;4;173;5;
666;Maskinongé;2018-10-01;G;Saint-Élie-de-Caxton, m;1;;2;367;55;1;1;30;39;41;2;3;172;7;
666;Maskinongé;2018-10-01;G;Saint-Élie-de-Caxton, m;1;;3;381;66;2;1;22;37;42;2;4;176;2;
666;Maskinongé;2018-10-01;G;Saint-Élie-de-Caxton, m;1;;4;360;73;1;1;20;38;55;5;3;196;3;
666;Maskinongé;2018-10-01;G;Saint-Élie-de-Caxton, m;2;;5;72;10;0;1;5;2;10;0;1;29;2;
666;Maskinongé;2018-10-01;G;Maskinongé, m;1;;6;373;91;2;5;36;11;65;2;1;213;4;
666;Maskinongé;2018-10-01;G;Maskinongé, m;1;;7;372;81;0;1;28;17;61;3;2;193;2;
666;Maskinongé;2018-10-01;G;Maskinongé, m;1;;8;391;78;1;3;32;23;85;0;7;229;1;
666;Maskinongé;2018-10-01;G;Maskinongé, m;1;;9;364;76;0;3;32;20;91;0;3;225;1;
666;Maskinongé;2018-10-01;G;Maskinongé, m;1;;10;376;85;1;0;19;23;91;3;2;224;0;
666;Maskinongé;2018-10-01;G;Saint-Boniface, m;1;;11;384;97;4;1;27;25;46;4;10;214;0;
666;Maskinongé;2018-10-01;G;Saint-Boniface, m;1;;12;373;93;1;1;34;37;26;3;6;201;6;
666;Maskinongé;2018-10-01;G;Saint-Boniface, m;1;;13;366;90;3;0;39;20;25;5;6;188;4;
666;Maskinongé;2018-10-01;G;Saint-Boniface, m;1;;14;368;78;1;0;23;26;33;6;4;171;5;
666;Maskinongé;2018-10-01;G;Saint-Boniface, m;1;;15;378;89;1;1;29;30;35;3;4;192;7;
666;Maskinongé;2018-10-01;G;Saint-Boniface, m;1;;16;387;83;0;3;31;29;27;3;3;179;3;
666;Maskinongé;2018-10-01;G;Saint-Boniface, m;1;;17;381;103;1;0;33;31;39;7;4;218;5;
666;Maskinongé;2018-10-01;G;Saint-Boniface, m;1;;18;384;107;1;1;30;39;23;2;6;209;6;
666;Maskinongé;2018-10-01;G;Saint-Boniface, m;1;;19;381;125;0;1;20;25;44;3;4;222;3;
666;Maskinongé;2018-10-01;G;Saint-Boniface, m;1;;20;378;104;3;1;19;33;38;4;5;207;11;
666;Maskinongé;2018-10-01;G;Saint-Justin, m;1;;21;404;85;1;2;40;23;80;0;10;241;2;
666;Maskinongé;2018-10-01;G;Saint-Justin, m;1;;22;404;94;0;1;30;28;70;1;5;229;4;
666;Maskinongé;2018-10-01;G;Sainte-Ursule, m;1;;23;371;53;1;2;17;22;94;1;4;194;1;
