Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchamp Maryanne P.L.Q./Q.L.P.;Dubois Véronique P.V.Q./G.P.Q.;Durupt Stephane Q.S.;Gadoury Hamelin Diane P.Q.;Lemay Mathieu C.A.Q.-É.F.L.;Morin David P.C.Q./C.P.Q.;B.V.;B.R.;
548;Masson;2018-10-01;G;Terrebonne, v;19;;1;350;7;5;18;53;88;1;172;0;
548;Masson;2018-10-01;G;Terrebonne, v;19;;2;364;21;5;27;32;76;2;163;4;
548;Masson;2018-10-01;G;Terrebonne, v;19;;3;363;34;8;33;33;131;0;239;4;
548;Masson;2018-10-01;G;Terrebonne, v;19;;4;368;19;8;32;41;104;2;206;1;
548;Masson;2018-10-01;G;Terrebonne, v;19;;5;347;26;2;26;44;106;2;206;5;
548;Masson;2018-10-01;G;Terrebonne, v;20;;6;385;36;1;28;26;88;2;181;5;
548;Masson;2018-10-01;G;Terrebonne, v;20;;7;370;28;4;28;47;96;1;204;3;
548;Masson;2018-10-01;G;Terrebonne, v;20;;8;378;39;4;34;45;101;1;224;1;
548;Masson;2018-10-01;G;Terrebonne, v;20;;9;369;29;7;33;39;90;2;200;5;
548;Masson;2018-10-01;G;Terrebonne, v;20;;10;382;38;4;23;36;107;1;209;3;
548;Masson;2018-10-01;G;Terrebonne, v;20;;11;386;44;4;21;25;106;2;202;1;
548;Masson;2018-10-01;G;Terrebonne, v;20;;12;385;34;8;21;29;99;1;192;2;
548;Masson;2018-10-01;G;Terrebonne, v;20;;13;375;38;2;32;32;92;0;196;3;
548;Masson;2018-10-01;G;Terrebonne, v;20;;14;380;37;6;29;39;102;0;213;2;
548;Masson;2018-10-01;G;Terrebonne, v;20;;15;371;30;4;16;28;99;2;179;1;
548;Masson;2018-10-01;G;Terrebonne, v;20;;16;381;57;3;20;26;92;2;200;4;
548;Masson;2018-10-01;G;Terrebonne, v;20;;17;381;40;2;36;34;78;0;190;5;
548;Masson;2018-10-01;G;Terrebonne, v;20;;18;392;66;4;19;23;88;2;202;1;
548;Masson;2018-10-01;G;Terrebonne, v;20;;19;388;50;4;27;31;133;0;245;3;
548;Masson;2018-10-01;G;Terrebonne, v;20;;20;391;44;5;24;25;106;1;205;4;
548;Masson;2018-10-01;G;Terrebonne, v;20;;21;384;40;4;15;25;80;2;166;3;
548;Masson;2018-10-01;G;Terrebonne, v;20;;22A;264;9;0;15;20;65;0;109;6;
548;Masson;2018-10-01;G;Terrebonne, v;20;;22B;243;12;2;14;8;50;0;86;3;
548;Masson;2018-10-01;G;Terrebonne, v;20;;23;379;23;4;18;37;91;1;174;2;
548;Masson;2018-10-01;G;Terrebonne, v;20;;24A;242;18;3;18;10;58;1;108;2;
548;Masson;2018-10-01;G;Terrebonne, v;20;;24B;256;36;0;10;18;56;5;125;2;
548;Masson;2018-10-01;G;Terrebonne, v;20;;25;398;53;3;23;23;112;1;215;4;
548;Masson;2018-10-01;G;Mascouche, v;1;;26;417;14;9;17;43;123;2;208;8;
548;Masson;2018-10-01;G;Mascouche, v;1;;27;412;7;6;36;45;119;0;213;0;
548;Masson;2018-10-01;G;Mascouche, v;1;;28;400;26;3;35;57;98;4;223;4;
548;Masson;2018-10-01;G;Mascouche, v;1;;29A;251;9;5;27;20;100;0;161;5;
