Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bérubé Pascal P.Q.;Boucher Marie-Phare Q.S.;Coulombe Pierre-Luc P.V.Q./G.P.Q.;Fournier Annie P.L.Q./Q.L.P.;Quenum Mathieu C.A.Q.-É.F.L.;Rioux Jocelyn C.P.Q.;Vignola Paul-Émile P.C.Q./C.P.Q.;B.V.;B.R.;
842;Matane-Matapédia;2018-10-01;G;Les Méchins, m;1;;1;318;103;13;1;6;24;0;1;148;0;
842;Matane-Matapédia;2018-10-01;G;Les Méchins, m;1;;2;275;79;8;3;21;11;0;0;122;1;
842;Matane-Matapédia;2018-10-01;G;Les Méchins, m;1;;3;272;95;3;1;13;16;2;0;130;6;
842;Matane-Matapédia;2018-10-01;G;Grosses-Roches, m;1;;4;333;89;6;4;11;19;1;0;130;2;
842;Matane-Matapédia;2018-10-01;G;Saint-Jean-de-Cherbourg, p;1;;5;133;68;1;0;3;3;0;1;76;0;
842;Matane-Matapédia;2018-10-01;G;Sainte-Félicité, m;1;;6;294;122;2;1;10;13;0;0;148;0;
842;Matane-Matapédia;2018-10-01;G;Sainte-Félicité, m;1;;7;297;108;4;4;18;10;0;0;144;0;
842;Matane-Matapédia;2018-10-01;G;Sainte-Félicité, m;1;;8;293;121;5;4;13;21;1;0;165;1;
842;Matane-Matapédia;2018-10-01;G;Saint-Adelme, p;1;;9;381;144;10;2;21;28;1;0;206;1;
842;Matane-Matapédia;2018-10-01;G;Saint-René-de-Matane, m;1;;10;272;95;7;0;12;15;3;0;132;0;
842;Matane-Matapédia;2018-10-01;G;Saint-René-de-Matane, m;1;;11;251;98;4;0;16;19;1;0;138;0;
842;Matane-Matapédia;2018-10-01;G;Saint-René-de-Matane, m;1;;12;297;104;6;1;18;23;2;0;154;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;1;;13;289;99;7;12;22;8;0;1;149;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;1;;14;294;83;7;2;21;9;0;0;122;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;1;;15;287;61;7;3;15;21;0;0;107;3;
842;Matane-Matapédia;2018-10-01;G;Matane, v;1;;16;275;78;7;2;12;5;0;0;104;2;
842;Matane-Matapédia;2018-10-01;G;Matane, v;1;;17;267;75;9;5;12;5;0;0;106;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;1;;18;307;77;10;2;14;5;1;2;111;3;
842;Matane-Matapédia;2018-10-01;G;Matane, v;1;;19;281;106;3;4;22;5;0;1;141;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;2;;20;376;118;7;6;32;16;0;0;179;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;2;;21;398;145;7;6;34;26;0;0;218;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;2;;22;373;125;3;4;16;18;1;0;167;2;
842;Matane-Matapédia;2018-10-01;G;Matane, v;2;;23;406;108;6;1;30;19;0;0;164;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;3;;24;351;86;5;3;15;29;0;0;138;3;
842;Matane-Matapédia;2018-10-01;G;Matane, v;3;;25;331;77;7;1;19;15;0;0;119;1;
842;Matane-Matapédia;2018-10-01;G;Matane, v;3;;26;330;64;16;1;6;9;0;0;96;1;
842;Matane-Matapédia;2018-10-01;G;Matane, v;4;;27;335;93;9;1;22;20;0;0;145;2;
842;Matane-Matapédia;2018-10-01;G;Matane, v;4;;28;360;123;10;6;27;19;0;0;185;1;
842;Matane-Matapédia;2018-10-01;G;Matane, v;4;;29;359;109;3;4;26;10;0;0;152;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;4;;30;348;108;6;6;22;10;0;0;152;3;
842;Matane-Matapédia;2018-10-01;G;Matane, v;4;;31;338;115;5;4;18;11;2;0;155;2;
842;Matane-Matapédia;2018-10-01;G;Matane, v;4;;32;332;106;8;2;12;18;0;2;148;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;5;;33;347;76;8;4;10;20;0;0;118;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;5;;34;373;119;5;2;14;29;0;1;170;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;5;;35;317;82;5;4;19;10;1;0;121;1;
842;Matane-Matapédia;2018-10-01;G;Matane, v;5;;36;358;95;11;3;8;14;0;1;132;3;
842;Matane-Matapédia;2018-10-01;G;Matane, v;5;;37;353;104;4;6;29;14;0;0;157;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;5;;38;370;117;7;4;28;8;0;2;166;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;6;;39;351;120;7;2;24;21;0;0;174;3;
842;Matane-Matapédia;2018-10-01;G;Matane, v;6;;40;351;133;4;7;20;17;1;1;183;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;6;;41;347;117;0;2;27;14;0;0;160;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;6;;42;346;109;2;3;12;7;1;0;134;0;
842;Matane-Matapédia;2018-10-01;G;Matane, v;6;;43;376;116;8;4;14;7;0;0;149;2;
842;Matane-Matapédia;2018-10-01;G;Matane, v;6;;44;349;129;6;3;16;29;1;0;184;1;
842;Matane-Matapédia;2018-10-01;G;Matane, v;6;;45;331;109;3;4;16;16;3;0;151;1;
842;Matane-Matapédia;2018-10-01;G;Saint-Ulric, m;1;;46;341;110;8;0;26;17;0;2;163;0;
842;Matane-Matapédia;2018-10-01;G;Saint-Ulric, m;1;;47;314;130;14;3;14;16;3;0;180;2;
842;Matane-Matapédia;2018-10-01;G;Saint-Ulric, m;1;;48;319;115;7;1;33;16;0;0;172;2;
