Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ali Morgan B.P.;Dupuis Manon P.N.;Fournelle Gilles P.V.Q./G.P.Q.;Gauthier Manon C.A.Q.-É.F.L.;Lapointe Frédéric P.Q.;Montpetit Marie P.L.Q./Q.L.P.;Rebelo Raphaël Q.S.;Rémillard Jean N.P.D.Q.;St-Hilaire Daniel C.P.Q.;B.V.;B.R.;
340;Maurice-Richard;2018-10-01;G;Montréal, v;243;;1;353;0;0;9;51;46;67;36;4;0;213;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;243;;2;379;1;2;5;48;45;76;47;0;0;224;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;243;;3;357;0;0;3;38;73;48;44;2;1;209;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;243;;4;374;0;0;4;52;56;47;80;3;0;242;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;243;;5;379;0;0;2;35;32;43;58;3;1;174;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;243;;6;354;0;1;2;35;29;46;61;1;1;176;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;243;;7;366;2;2;8;32;46;45;38;2;0;175;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;244;;8;358;1;2;1;30;34;51;39;2;3;163;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;244;;9;338;0;1;5;44;48;46;56;1;0;201;5;
340;Maurice-Richard;2018-10-01;G;Montréal, v;244;;10;338;0;2;7;55;42;50;65;4;0;225;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;244;;11;350;1;2;1;29;26;45;55;4;0;163;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;244;;12;348;1;0;1;27;28;52;62;0;1;172;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;245;;13A;200;0;1;4;9;9;22;20;4;1;70;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;245;;13B;231;0;2;0;12;11;10;36;0;0;71;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;245;;14;326;1;3;5;21;26;31;48;1;0;136;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;245;;15;338;0;0;4;25;21;39;58;5;0;152;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;245;;16;343;0;4;8;43;32;35;83;0;0;205;7;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;17;401;0;1;3;36;29;55;65;0;0;189;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;18;385;0;1;2;21;38;45;76;0;0;183;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;19;390;1;1;9;26;23;47;86;3;0;196;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;20;390;1;1;2;33;35;36;82;0;1;191;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;21;393;2;2;4;25;42;45;96;1;0;217;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;22;377;0;1;3;39;20;31;64;3;0;161;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;23;371;0;1;1;20;36;32;64;4;0;158;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;24;409;1;0;4;28;29;53;41;1;0;157;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;25;381;0;1;2;60;42;73;46;1;0;225;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;26;367;0;0;6;46;58;45;44;5;0;204;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;27;380;0;1;4;45;69;31;59;0;0;209;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;28;399;0;1;6;45;52;58;56;1;0;219;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;29;390;0;2;3;47;43;54;41;2;2;194;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;30;382;2;0;8;31;27;45;45;0;0;158;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;31;376;2;1;4;29;23;65;29;1;0;154;7;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;32;400;0;1;3;40;38;69;36;1;0;188;1;
