Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Gloriane P.Q.;Dodier Sylvain P.V.Q./G.P.Q.;Jacques François C.A.Q.-É.F.L.;Larrivée Andrée Q.S.;Roy Robert G. P.L.Q./Q.L.P.;Veilleux Richard C.P.Q.;B.V.;B.R.;
104;Mégantic;2018-10-01;G;Audet, m;1;;1;262;11;7;107;19;26;3;173;2;
104;Mégantic;2018-10-01;G;Audet, m;1;;2;258;16;4;86;14;22;4;146;1;
104;Mégantic;2018-10-01;G;Lac-Drolet, m;1;;3;283;11;5;114;17;31;1;179;4;
104;Mégantic;2018-10-01;G;Lac-Drolet, m;1;;4;272;14;5;92;21;33;3;168;3;
104;Mégantic;2018-10-01;G;Lac-Drolet, m;1;;5;285;22;4;96;26;36;3;187;2;
104;Mégantic;2018-10-01;G;Saint-Sébastien, m;1;;6;261;11;6;101;13;30;2;163;3;
104;Mégantic;2018-10-01;G;Saint-Sébastien, m;1;;7;262;17;5;122;11;18;0;173;3;
104;Mégantic;2018-10-01;G;Lambton, m;1;;8;408;24;3;107;14;39;2;189;2;
104;Mégantic;2018-10-01;G;Lambton, m;1;;9;392;12;4;98;19;26;4;163;2;
104;Mégantic;2018-10-01;G;Lambton, m;1;;10;409;24;5;79;13;54;1;176;1;
104;Mégantic;2018-10-01;G;Sainte-Praxède, p;1;;11;264;16;2;77;14;27;1;137;1;
104;Mégantic;2018-10-01;G;Disraeli, p;1;;12;312;11;1;66;20;21;0;119;2;
104;Mégantic;2018-10-01;G;Disraeli, p;1;;13;314;14;2;65;15;26;1;123;7;
104;Mégantic;2018-10-01;G;Disraeli, p;1;;14;320;13;3;85;22;19;4;146;1;
104;Mégantic;2018-10-01;G;Disraeli, v;1;;15;404;25;2;86;25;34;1;173;4;
104;Mégantic;2018-10-01;G;Disraeli, v;1;;16;406;22;7;68;14;28;2;141;0;
104;Mégantic;2018-10-01;G;Disraeli, v;1;;17;370;22;1;70;12;24;1;130;4;
104;Mégantic;2018-10-01;G;Disraeli, v;1;;18;390;22;3;73;18;15;3;134;4;
104;Mégantic;2018-10-01;G;Disraeli, v;1;;19;402;23;2;84;19;27;3;158;0;
104;Mégantic;2018-10-01;G;Beaulac-Garthby, m;1;;20;369;21;2;100;23;28;1;175;1;
104;Mégantic;2018-10-01;G;Beaulac-Garthby, m;1;;21;405;26;2;109;25;31;1;194;1;
104;Mégantic;2018-10-01;G;Stratford, ct;1;;22;409;38;3;100;43;43;1;228;6;
104;Mégantic;2018-10-01;G;Stratford, ct;1;;23;408;23;6;121;34;33;2;219;6;
104;Mégantic;2018-10-01;G;Stornoway, m;1;;24;214;18;3;81;12;17;0;131;4;
104;Mégantic;2018-10-01;G;Stornoway, m;1;;25;217;7;2;91;10;22;4;136;0;
104;Mégantic;2018-10-01;G;Saint-Romain, m;1;;26;277;24;2;90;10;30;3;159;2;
104;Mégantic;2018-10-01;G;Saint-Romain, m;1;;27;275;16;2;94;23;24;3;162;2;
104;Mégantic;2018-10-01;G;Sainte-Cécile-de-Whitton, m;1;;28;317;22;8;86;29;43;0;188;1;
104;Mégantic;2018-10-01;G;Sainte-Cécile-de-Whitton, m;1;;29;310;17;3;105;36;26;3;190;3;
104;Mégantic;2018-10-01;G;Nantes, m;1;;30;357;23;4;127;13;14;2;183;3;
104;Mégantic;2018-10-01;G;Nantes, m;1;;31;368;14;3;96;30;11;0;154;1;
104;Mégantic;2018-10-01;G;Nantes, m;1;;32;389;20;2;129;22;12;0;185;5;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;1;;33;379;23;13;125;24;23;2;210;0;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;1;;34;376;8;6;102;20;36;0;172;1;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;1;;35;389;19;5;108;29;24;1;186;0;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;1;;36;369;7;4;107;20;17;2;157;1;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;1;;37;382;15;9;117;26;15;2;184;2;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;1;;38;383;22;5;103;30;30;1;191;0;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;1;;39;369;24;8;80;25;29;3;169;3;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;1;;40;388;15;9;92;28;36;0;180;4;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;2;;41;367;23;7;121;34;35;0;220;0;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;2;;42;346;14;2;105;23;20;7;171;1;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;2;;43;341;15;9;80;15;20;2;141;0;
104;Mégantic;2018-10-01;G;Lac-Mégantic, v;2;;44;340;10;5;101;28;14;0;158;4;
104;Mégantic;2018-10-01;G;Frontenac, m;1;;45;342;19;15;113;31;14;2;194;4;
104;Mégantic;2018-10-01;G;Frontenac, m;1;;46;329;16;10;85;22;34;0;167;5;
104;Mégantic;2018-10-01;G;Frontenac, m;1;;47;347;22;4;128;23;24;1;202;4;
104;Mégantic;2018-10-01;G;Frontenac, m;1;;48;328;21;10;92;30;12;3;168;2;
104;Mégantic;2018-10-01;G;Saint-Augustin-de-Woburn, p;1;;49;266;14;3;111;21;34;1;184;0;
104;Mégantic;2018-10-01;G;Saint-Augustin-de-Woburn, p;1;;50;271;17;7;84;21;20;0;149;5;
104;Mégantic;2018-10-01;G;Notre-Dame-des-Bois, m;1;;51;347;18;4;88;23;28;6;167;8;
104;Mégantic;2018-10-01;G;Notre-Dame-des-Bois, m;1;;52;353;23;2;87;24;19;2;157;0;
104;Mégantic;2018-10-01;G;Val-Racine, m;1;;53;147;23;4;45;24;9;0;105;0;
104;Mégantic;2018-10-01;G;Piopolis, m;1;;54;323;29;11;102;30;33;0;205;3;
104;Mégantic;2018-10-01;G;Marston, ct;1;;55;284;11;6;108;26;22;0;173;1;
104;Mégantic;2018-10-01;G;Marston, ct;1;;56;290;13;7;93;24;14;0;151;3;
104;Mégantic;2018-10-01;G;Milan, m;1;;57;226;24;8;58;18;21;3;132;2;
104;Mégantic;2018-10-01;G;Lingwick, ct;1;;58;340;24;7;101;42;41;4;219;0;
104;Mégantic;2018-10-01;G;Weedon, m;1;;59;347;19;4;77;33;27;1;161;7;
104;Mégantic;2018-10-01;G;Weedon, m;1;;60;344;22;1;95;37;27;0;182;0;
104;Mégantic;2018-10-01;G;Weedon, m;1;;61;353;32;3;72;33;28;1;169;3;
104;Mégantic;2018-10-01;G;Weedon, m;1;;62;344;16;3;79;30;20;0;148;3;
104;Mégantic;2018-10-01;G;Weedon, m;1;;63;332;15;0;67;22;22;1;127;5;
104;Mégantic;2018-10-01;G;Weedon, m;1;;64;356;32;4;88;34;19;3;180;3;
104;Mégantic;2018-10-01;G;Dudswell, m;1;;65;351;19;10;81;55;32;1;198;1;
104;Mégantic;2018-10-01;G;Dudswell, m;1;;66;324;24;10;82;41;38;0;195;5;
104;Mégantic;2018-10-01;G;Dudswell, m;1;;67;340;24;11;68;55;34;3;195;3;
104;Mégantic;2018-10-01;G;Dudswell, m;1;;68;341;30;4;94;31;22;1;182;3;
