Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanc Michelle P.Q.;Collu Gabrielle P.L.Q./Q.L.P.;Gagné Johanne C.A.Q.-É.F.L.;Ghazal Ruba Q.S.;Lachapelle Serge P.M.L.Q.;Marcil Malou P.N.;Proulx Ludovic P.C.Q./C.P.Q.;Rochemont Stephanie P.V.Q./G.P.Q.;Thompson Conrad N.P.D.Q.;B.V.;B.R.;
350;Mercier;2018-10-01;G;Montréal, v;149;;1;417;15;36;4;62;0;0;0;4;5;126;4;
350;Mercier;2018-10-01;G;Montréal, v;149;;2;419;4;46;6;73;0;3;0;6;1;139;0;
350;Mercier;2018-10-01;G;Montréal, v;149;;3;392;16;43;8;113;1;5;1;7;6;200;1;
350;Mercier;2018-10-01;G;Montréal, v;149;;4;420;9;36;3;49;0;2;2;8;2;111;0;
350;Mercier;2018-10-01;G;Montréal, v;149;;5;393;6;40;3;55;1;2;0;8;3;118;4;
350;Mercier;2018-10-01;G;Montréal, v;149;;6;389;16;44;3;68;0;0;3;4;6;144;2;
350;Mercier;2018-10-01;G;Montréal, v;149;;7;375;8;51;14;58;0;1;1;7;3;143;2;
350;Mercier;2018-10-01;G;Montréal, v;149;;8;414;9;33;6;58;0;0;0;7;10;123;0;
350;Mercier;2018-10-01;G;Montréal, v;151;;9;379;9;44;7;72;0;2;4;9;3;150;0;
350;Mercier;2018-10-01;G;Montréal, v;151;;10;354;13;40;16;75;0;3;1;12;3;163;1;
350;Mercier;2018-10-01;G;Montréal, v;151;;11;368;17;45;10;63;1;0;0;16;13;165;0;
350;Mercier;2018-10-01;G;Montréal, v;151;;12;356;11;42;9;59;0;2;0;7;3;133;1;
350;Mercier;2018-10-01;G;Montréal, v;151;;13;354;12;65;5;65;0;0;0;4;4;155;0;
350;Mercier;2018-10-01;G;Montréal, v;151;;14;359;10;77;5;85;0;0;0;10;7;194;2;
350;Mercier;2018-10-01;G;Montréal, v;151;;15;358;9;45;7;59;0;1;1;7;7;136;0;
350;Mercier;2018-10-01;G;Montréal, v;174;;16;407;17;63;5;99;1;0;1;6;23;215;2;
350;Mercier;2018-10-01;G;Montréal, v;174;;17;387;19;52;7;120;0;2;0;4;15;219;0;
350;Mercier;2018-10-01;G;Montréal, v;174;;18;407;18;53;7;131;0;2;0;8;7;226;1;
350;Mercier;2018-10-01;G;Montréal, v;174;;19;412;12;54;8;107;1;2;2;10;10;206;1;
350;Mercier;2018-10-01;G;Montréal, v;174;;20A;240;7;18;5;70;1;0;0;5;9;115;0;
350;Mercier;2018-10-01;G;Montréal, v;174;;20B;195;14;26;4;66;0;1;0;6;6;123;0;
350;Mercier;2018-10-01;G;Montréal, v;174;;21;400;11;77;11;116;1;3;2;7;8;236;4;
350;Mercier;2018-10-01;G;Montréal, v;175;;22;347;6;55;13;64;0;0;0;3;11;152;3;
350;Mercier;2018-10-01;G;Montréal, v;175;;23;362;15;47;5;89;0;1;3;8;5;173;0;
350;Mercier;2018-10-01;G;Montréal, v;175;;24;369;10;33;8;91;1;0;1;6;7;157;1;
350;Mercier;2018-10-01;G;Montréal, v;175;;25;341;19;35;5;74;0;0;1;9;8;151;1;
350;Mercier;2018-10-01;G;Montréal, v;175;;26;345;12;34;13;77;0;0;0;7;2;145;0;
350;Mercier;2018-10-01;G;Montréal, v;175;;27;349;9;54;10;81;0;3;0;4;6;167;0;
350;Mercier;2018-10-01;G;Montréal, v;175;;28;351;22;33;9;66;0;0;1;8;5;144;1;
350;Mercier;2018-10-01;G;Montréal, v;176;;29;408;26;58;17;80;0;0;1;12;12;206;0;
350;Mercier;2018-10-01;G;Montréal, v;176;;30;407;19;69;16;99;0;2;1;10;7;223;1;
350;Mercier;2018-10-01;G;Montréal, v;176;;31;400;11;70;11;65;0;4;0;12;8;181;3;
350;Mercier;2018-10-01;G;Montréal, v;176;;32;386;10;52;7;83;0;0;0;9;9;170;4;
350;Mercier;2018-10-01;G;Montréal, v;176;;33;393;6;64;5;74;0;1;1;8;11;170;1;
350;Mercier;2018-10-01;G;Montréal, v;176;;34;402;8;62;10;106;1;1;0;6;3;197;3;
350;Mercier;2018-10-01;G;Montréal, v;177;;35;355;9;48;12;49;0;0;3;0;4;125;4;
350;Mercier;2018-10-01;G;Montréal, v;177;;36;354;4;51;9;67;0;2;3;8;4;148;0;
350;Mercier;2018-10-01;G;Montréal, v;177;;37;365;11;44;13;71;0;2;3;6;7;157;2;
350;Mercier;2018-10-01;G;Montréal, v;177;;38;342;6;43;4;69;0;1;0;4;9;136;1;
350;Mercier;2018-10-01;G;Montréal, v;177;;39;384;22;44;12;81;0;0;0;3;10;172;1;
350;Mercier;2018-10-01;G;Montréal, v;177;;40;374;9;52;11;81;0;0;0;8;4;165;3;
350;Mercier;2018-10-01;G;Montréal, v;178;;41;385;19;23;11;87;0;1;0;7;3;151;0;
350;Mercier;2018-10-01;G;Montréal, v;178;;42;374;21;28;17;99;0;0;0;6;4;175;1;
350;Mercier;2018-10-01;G;Montréal, v;178;;43;380;30;32;11;110;0;1;0;8;1;193;3;
350;Mercier;2018-10-01;G;Montréal, v;178;;44;368;31;28;16;109;0;1;4;9;7;205;5;
350;Mercier;2018-10-01;G;Montréal, v;178;;45;358;26;34;14;85;0;5;5;12;3;184;0;
350;Mercier;2018-10-01;G;Montréal, v;178;;46;374;23;30;17;74;0;2;1;5;9;161;3;
350;Mercier;2018-10-01;G;Montréal, v;179;;47;356;6;25;13;84;0;2;0;4;1;135;0;
350;Mercier;2018-10-01;G;Montréal, v;179;;48;361;13;26;10;92;0;2;0;7;4;154;1;
350;Mercier;2018-10-01;G;Montréal, v;179;;49;394;23;30;8;90;0;1;0;14;5;171;1;
350;Mercier;2018-10-01;G;Montréal, v;179;;50;360;22;37;19;87;0;0;1;6;6;178;1;
350;Mercier;2018-10-01;G;Montréal, v;179;;51;359;21;46;26;56;0;3;0;4;3;159;1;
350;Mercier;2018-10-01;G;Montréal, v;179;;52;365;14;25;19;85;1;3;1;6;6;160;5;
350;Mercier;2018-10-01;G;Montréal, v;179;;53;337;26;35;25;66;0;1;0;4;7;164;4;
350;Mercier;2018-10-01;G;Montréal, v;179;;54;372;23;49;12;64;0;0;2;5;2;157;1;
350;Mercier;2018-10-01;G;Montréal, v;180;;55;354;24;51;21;84;1;5;1;11;5;203;0;
350;Mercier;2018-10-01;G;Montréal, v;180;;56;400;18;47;15;87;0;1;1;11;6;186;1;
350;Mercier;2018-10-01;G;Montréal, v;180;;57;392;12;30;24;101;0;3;0;7;3;180;6;
350;Mercier;2018-10-01;G;Montréal, v;180;;58;365;17;38;14;96;0;1;0;11;6;183;3;
350;Mercier;2018-10-01;G;Montréal, v;180;;59;385;20;42;11;95;0;2;1;8;9;188;4;
350;Mercier;2018-10-01;G;Montréal, v;180;;60;359;19;28;12;96;0;0;4;9;5;173;5;
350;Mercier;2018-10-01;G;Montréal, v;180;;61;390;29;38;29;104;1;1;0;6;4;212;3;
350;Mercier;2018-10-01;G;Montréal, v;180;;62;377;33;17;12;98;0;2;0;8;7;177;1;
350;Mercier;2018-10-01;G;Montréal, v;180;;63;348;19;14;17;105;0;0;1;5;2;163;0;
350;Mercier;2018-10-01;G;Montréal, v;180;;64;401;22;22;12;118;0;4;0;6;8;192;6;
350;Mercier;2018-10-01;G;Montréal, v;181;;65;347;20;34;17;82;0;2;0;5;5;165;0;
350;Mercier;2018-10-01;G;Montréal, v;181;;66;407;26;34;11;90;0;3;1;7;4;176;2;
350;Mercier;2018-10-01;G;Montréal, v;181;;67;380;26;18;15;97;0;1;0;11;4;172;1;
350;Mercier;2018-10-01;G;Montréal, v;181;;68;353;29;32;15;100;0;1;1;11;10;199;1;
350;Mercier;2018-10-01;G;Montréal, v;181;;69;375;23;36;22;107;0;2;1;7;5;203;2;
350;Mercier;2018-10-01;G;Montréal, v;181;;70;343;23;16;10;92;0;1;0;10;7;159;2;
350;Mercier;2018-10-01;G;Montréal, v;182;;71;344;27;21;12;107;1;2;0;9;2;181;4;
350;Mercier;2018-10-01;G;Montréal, v;182;;72;323;17;15;23;89;0;0;1;5;1;151;1;
350;Mercier;2018-10-01;G;Montréal, v;182;;73;351;27;21;18;97;0;1;1;9;4;178;0;
350;Mercier;2018-10-01;G;Montréal, v;182;;74;362;32;31;20;98;0;0;0;6;6;193;1;
350;Mercier;2018-10-01;G;Montréal, v;182;;75;360;50;22;28;111;0;1;1;6;2;221;3;
350;Mercier;2018-10-01;G;Montréal, v;183;;76;348;25;26;23;110;0;3;0;15;5;207;1;
350;Mercier;2018-10-01;G;Montréal, v;183;;77;380;33;39;21;104;1;1;2;3;5;209;2;
350;Mercier;2018-10-01;G;Montréal, v;183;;78;325;24;23;14;98;0;3;1;5;10;178;3;
350;Mercier;2018-10-01;G;Montréal, v;183;;79;342;18;39;17;87;0;2;0;4;3;170;4;
350;Mercier;2018-10-01;G;Montréal, v;183;;80;358;42;35;16;106;1;2;0;9;8;219;2;
350;Mercier;2018-10-01;G;Montréal, v;184;;81;352;29;31;27;111;0;3;1;6;5;213;0;
350;Mercier;2018-10-01;G;Montréal, v;184;;82;345;22;26;16;104;0;1;0;4;1;174;2;
350;Mercier;2018-10-01;G;Montréal, v;184;;83;359;19;33;24;127;0;1;0;8;2;214;4;
350;Mercier;2018-10-01;G;Montréal, v;184;;84;353;26;18;20;97;1;1;1;10;3;177;4;
350;Mercier;2018-10-01;G;Montréal, v;184;;85;369;24;22;12;130;0;0;1;6;1;196;4;
350;Mercier;2018-10-01;G;Montréal, v;184;;86;337;27;31;0;111;0;3;1;11;1;185;1;
350;Mercier;2018-10-01;G;Montréal, v;185;;87;367;19;23;16;88;0;1;0;7;0;154;0;
350;Mercier;2018-10-01;G;Montréal, v;185;;88;342;19;27;14;87;0;2;0;3;5;157;0;
350;Mercier;2018-10-01;G;Montréal, v;185;;89;385;31;20;20;135;2;4;1;6;3;222;4;
350;Mercier;2018-10-01;G;Montréal, v;185;;90;374;22;13;28;133;0;0;4;7;0;207;1;
350;Mercier;2018-10-01;G;Montréal, v;185;;91;378;31;21;25;105;0;2;0;9;4;197;2;
350;Mercier;2018-10-01;G;Montréal, v;185;;92;348;22;22;23;114;0;2;2;9;4;198;1;
350;Mercier;2018-10-01;G;Montréal, v;186;;93;388;23;22;15;102;1;1;0;9;0;173;1;
350;Mercier;2018-10-01;G;Montréal, v;186;;94;423;35;30;20;121;0;5;0;14;0;225;2;
350;Mercier;2018-10-01;G;Montréal, v;186;;95;393;32;21;16;119;0;4;1;10;4;207;2;
350;Mercier;2018-10-01;G;Montréal, v;186;;96;407;36;31;18;140;0;1;0;8;9;243;0;
350;Mercier;2018-10-01;G;Montréal, v;186;;97;402;38;28;18;135;0;0;0;8;8;235;1;
350;Mercier;2018-10-01;G;Montréal, v;186;;98;380;23;27;22;106;0;2;1;8;2;191;4;
350;Mercier;2018-10-01;G;Montréal, v;186;;99;399;20;17;20;126;1;3;0;8;2;197;0;
350;Mercier;2018-10-01;G;Montréal, v;186;;100;400;20;19;25;113;0;0;0;4;5;186;2;
350;Mercier;2018-10-01;G;Montréal, v;186;;101;403;26;17;16;109;0;1;0;6;5;180;4;
350;Mercier;2018-10-01;G;Montréal, v;186;;102;361;16;25;10;138;0;1;0;3;6;199;4;
350;Mercier;2018-10-01;G;Montréal, v;186;;103;400;30;21;24;129;0;3;0;6;7;220;2;
350;Mercier;2018-10-01;G;Montréal, v;187;;104;371;37;15;19;104;1;2;2;6;2;188;5;
350;Mercier;2018-10-01;G;Montréal, v;187;;105;376;20;14;10;128;0;1;0;7;3;183;1;
350;Mercier;2018-10-01;G;Montréal, v;187;;106;367;20;18;16;123;0;2;0;2;1;182;5;
350;Mercier;2018-10-01;G;Montréal, v;187;;107;361;15;13;16;115;0;2;0;8;4;173;3;
350;Mercier;2018-10-01;G;Montréal, v;187;;108;372;19;9;19;115;0;1;1;6;0;170;1;
350;Mercier;2018-10-01;G;Montréal, v;187;;109;376;35;13;20;119;0;6;1;9;3;206;4;
350;Mercier;2018-10-01;G;Montréal, v;187;;110;368;26;17;25;115;0;0;0;8;0;191;3;
350;Mercier;2018-10-01;G;Montréal, v;187;;111;380;42;33;25;94;0;3;1;14;3;215;3;
350;Mercier;2018-10-01;G;Montréal, v;187;;112;379;30;26;17;95;0;5;2;2;7;184;1;
350;Mercier;2018-10-01;G;Montréal, v;188;;113;393;30;25;18;120;0;1;3;10;5;212;3;
350;Mercier;2018-10-01;G;Montréal, v;188;;114;381;28;15;24;112;0;0;0;9;4;192;2;
350;Mercier;2018-10-01;G;Montréal, v;188;;115;368;32;15;14;124;0;2;0;7;1;195;3;
