Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barone Mauro C.A.Q.-É.F.L.;Cappelletti Dwayne P.L.;Charbonneau Francine P.L.Q./Q.L.P.;D'Aoust Jason B.P.;Joseph Alain P.V.Q./G.P.Q.;Lachance Michel P.Q.;Trudelle Jean Q.S.;B.V.;B.R.;
482;Mille-Îles;2018-10-01;G;Laval, v;77;;1;374;54;0;62;3;6;48;35;208;7;
482;Mille-Îles;2018-10-01;G;Laval, v;77;;2;361;49;10;83;1;4;18;34;199;3;
482;Mille-Îles;2018-10-01;G;Laval, v;77;;3;375;44;3;75;1;6;39;33;201;6;
482;Mille-Îles;2018-10-01;G;Laval, v;77;;4;377;56;4;77;1;2;41;33;214;3;
482;Mille-Îles;2018-10-01;G;Laval, v;77;;5;391;62;4;97;1;2;29;38;233;0;
482;Mille-Îles;2018-10-01;G;Laval, v;77;;6;384;55;6;88;0;7;33;26;215;1;
482;Mille-Îles;2018-10-01;G;Laval, v;77;;7;378;55;5;67;1;3;22;31;184;3;
482;Mille-Îles;2018-10-01;G;Laval, v;78;;8;384;81;1;63;0;7;24;26;202;4;
482;Mille-Îles;2018-10-01;G;Laval, v;78;;9;394;64;3;68;1;6;41;30;213;2;
482;Mille-Îles;2018-10-01;G;Laval, v;78;;10;375;66;3;68;0;5;32;35;209;4;
482;Mille-Îles;2018-10-01;G;Laval, v;78;;11;405;72;2;32;2;6;29;27;170;8;
482;Mille-Îles;2018-10-01;G;Laval, v;78;;12;389;66;1;87;0;10;29;31;224;2;
482;Mille-Îles;2018-10-01;G;Laval, v;78;;13;408;50;4;78;1;13;31;41;218;0;
482;Mille-Îles;2018-10-01;G;Laval, v;78;;14;396;63;4;94;0;9;23;27;220;3;
482;Mille-Îles;2018-10-01;G;Laval, v;79;;15;402;71;3;114;0;8;22;25;243;0;
482;Mille-Îles;2018-10-01;G;Laval, v;79;;16;382;39;5;109;0;1;11;15;180;3;
482;Mille-Îles;2018-10-01;G;Laval, v;79;;17;378;65;1;86;1;5;14;25;197;4;
482;Mille-Îles;2018-10-01;G;Laval, v;79;;18;379;46;3;100;1;7;34;58;249;0;
482;Mille-Îles;2018-10-01;G;Laval, v;79;;19;372;64;1;89;2;4;26;19;205;4;
482;Mille-Îles;2018-10-01;G;Laval, v;79;;20;381;48;5;102;0;12;24;34;225;3;
482;Mille-Îles;2018-10-01;G;Laval, v;79;;21;382;49;4;80;1;7;30;25;196;4;
482;Mille-Îles;2018-10-01;G;Laval, v;79;;22;387;47;2;128;1;7;16;18;219;1;
482;Mille-Îles;2018-10-01;G;Laval, v;79;;23;400;69;3;87;1;8;32;18;218;9;
482;Mille-Îles;2018-10-01;G;Laval, v;80;;24;393;83;1;71;1;7;30;44;237;4;
482;Mille-Îles;2018-10-01;G;Laval, v;80;;25;391;67;3;92;0;12;18;43;235;7;
482;Mille-Îles;2018-10-01;G;Laval, v;80;;26;398;71;3;57;1;6;14;38;190;1;
482;Mille-Îles;2018-10-01;G;Laval, v;80;;27;396;56;2;60;1;8;36;43;206;6;
482;Mille-Îles;2018-10-01;G;Laval, v;80;;28;384;61;6;34;0;11;36;51;199;6;
482;Mille-Îles;2018-10-01;G;Laval, v;80;;29;404;69;2;45;0;6;32;44;198;2;
482;Mille-Îles;2018-10-01;G;Laval, v;80;;30;395;32;3;38;1;0;18;20;112;3;
482;Mille-Îles;2018-10-01;G;Laval, v;80;;31;392;52;5;61;3;2;25;26;174;8;
482;Mille-Îles;2018-10-01;G;Laval, v;81;;32;382;59;2;115;0;6;22;21;225;1;
482;Mille-Îles;2018-10-01;G;Laval, v;81;;33;389;76;1;120;0;5;24;26;252;7;
482;Mille-Îles;2018-10-01;G;Laval, v;81;;34;376;58;4;88;2;1;38;23;214;0;
482;Mille-Îles;2018-10-01;G;Laval, v;81;;35;388;63;1;83;0;6;26;31;210;0;
482;Mille-Îles;2018-10-01;G;Laval, v;81;;36;391;51;6;91;1;7;34;15;205;5;
482;Mille-Îles;2018-10-01;G;Laval, v;81;;37;381;50;4;98;1;4;23;16;196;5;
482;Mille-Îles;2018-10-01;G;Laval, v;81;;38;387;46;2;117;1;3;15;32;216;1;
482;Mille-Îles;2018-10-01;G;Laval, v;81;;39;381;53;2;72;1;1;10;25;164;2;
482;Mille-Îles;2018-10-01;G;Laval, v;81;;40;387;54;1;85;2;8;22;15;187;6;
482;Mille-Îles;2018-10-01;G;Laval, v;81;;41;392;61;1;119;0;3;25;15;224;2;
482;Mille-Îles;2018-10-01;G;Laval, v;82;;42;381;19;8;123;0;6;1;4;161;2;
482;Mille-Îles;2018-10-01;G;Laval, v;82;;43;383;38;3;124;0;3;6;7;181;2;
