Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arsenault Brideau Camille P.L.Q./Q.L.P.;Beaudoin Denise P.Q.;D'Amours Sylvie C.A.Q.-É.F.L.;Goudreau Marjolaine Q.S.;Laurin Vincent B.P.;Mounanga Désiré P.C.Q./C.P.Q.;Paiement Émilie P.V.Q./G.P.Q.;Vaca Patricia C.I.N.Q.;B.V.;B.R.;
514;Mirabel;2018-10-01;G;Saint-Placide, m;1;;1;343;17;60;79;53;1;1;6;0;217;2;
514;Mirabel;2018-10-01;G;Saint-Placide, m;1;;2;352;30;34;123;20;4;4;5;0;220;3;
514;Mirabel;2018-10-01;G;Saint-Placide, m;1;;3;342;15;33;124;30;2;1;2;0;207;0;
514;Mirabel;2018-10-01;G;Saint-Placide, m;1;;4;350;12;44;100;24;2;1;3;1;187;4;
514;Mirabel;2018-10-01;G;Oka, m;1;;5;389;21;53;112;38;3;0;2;0;229;1;
514;Mirabel;2018-10-01;G;Oka, m;1;;6;352;11;29;70;36;1;0;4;0;151;6;
514;Mirabel;2018-10-01;G;Oka, m;1;;7;355;24;36;75;37;0;0;1;0;173;4;
514;Mirabel;2018-10-01;G;Oka, m;1;;8;360;21;45;86;42;3;3;4;1;205;2;
514;Mirabel;2018-10-01;G;Oka, m;1;;9;365;16;39;110;33;2;0;4;0;204;4;
514;Mirabel;2018-10-01;G;Oka, m;1;;10;372;15;44;107;33;0;5;7;0;211;1;
514;Mirabel;2018-10-01;G;Oka, m;1;;11;374;22;38;111;27;1;2;4;0;205;5;
514;Mirabel;2018-10-01;G;Oka, m;1;;12;372;20;47;108;27;1;1;5;0;209;4;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;1;;13;378;9;40;120;22;1;2;2;2;198;5;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;1;;14;373;16;46;103;27;3;2;7;2;206;5;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;1;;15;384;8;38;114;23;2;1;1;1;188;9;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;1;;16;385;10;45;109;41;3;2;7;0;217;4;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;1;;17;359;8;31;85;32;1;1;7;1;166;10;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;1;;18;378;20;37;120;19;2;0;3;0;201;2;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;1;;19;380;12;35;122;41;5;2;3;0;220;8;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;2;;20;364;19;38;106;29;3;2;3;0;200;5;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;2;;21;364;13;15;118;23;1;1;2;0;173;4;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;2;;22;368;14;33;94;40;1;3;3;0;188;0;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;2;;23;353;10;33;107;27;3;4;3;1;188;8;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;2;;24;364;10;34;90;30;2;3;1;2;172;8;
514;Mirabel;2018-10-01;G;Pointe-Calumet, m;2;;25;352;14;21;90;31;4;3;0;0;163;7;
514;Mirabel;2018-10-01;G;Sainte-Marthe-sur-le-Lac, v;1;;26;401;20;42;91;29;2;1;5;0;190;5;
514;Mirabel;2018-10-01;G;Sainte-Marthe-sur-le-Lac, v;1;;27;390;23;32;93;34;1;0;4;1;188;6;
514;Mirabel;2018-10-01;G;Sainte-Marthe-sur-le-Lac, v;1;;28;396;22;44;121;31;3;1;9;3;234;5;
514;Mirabel;2018-10-01;G;Sainte-Marthe-sur-le-Lac, v;1;;29;387;15;67;127;33;1;4;4;0;251;4;
514;Mirabel;2018-10-01;G;Sainte-Marthe-sur-le-Lac, v;1;;30A;278;21;27;85;17;0;2;1;2;155;2;
514;Mirabel;2018-10-01;G;Sainte-Marthe-sur-le-Lac, v;1;;30B;292;22;32;97;26;1;0;2;1;181;1;
514;Mirabel;2018-10-01;G;Sainte-Marthe-sur-le-Lac, v;1;;31;395;34;38;116;28;1;5;2;2;226;1;
514;Mirabel;2018-10-01;G;Sainte-Marthe-sur-le-Lac, v;1;;32A;225;17;20;54;23;1;1;1;0;117;6;
