Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arcand Pierre P.L.Q./Q.L.P.;Carbonneau Vincent J. P.V.Q./G.P.Q.;Clark Rebecca Anne N.P.D.Q.;Fournier Normand P.M.L.Q.;Gagnon Anne-Marie C.A.Q.-É.F.L.;Labelle Caroline P.Q.;Pollak Yaakov P.C.Q./C.P.Q.;Torres Eve Q.S.;B.V.;B.R.;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;1;;1;359;79;5;4;0;20;6;1;12;127;1;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;1;;2;401;109;2;1;0;23;12;8;5;160;2;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;1;;3;344;83;3;2;0;10;9;3;12;122;1;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;1;;4;335;105;6;1;0;23;3;3;6;147;2;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;1;;5;330;99;7;1;1;8;4;2;5;127;2;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;1;;6;342;95;3;0;0;17;8;3;5;131;6;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;1;;7;350;129;2;0;0;21;4;7;7;170;1;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;1;;8;334;100;10;0;0;26;9;2;5;152;1;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;2;;9;391;100;5;1;0;38;5;3;12;164;2;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;2;;10;404;115;13;5;1;24;7;6;20;191;3;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;2;;11;395;132;7;3;0;27;12;2;13;196;0;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;2;;12;363;136;5;0;0;28;11;1;8;189;1;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;2;;13;399;119;10;4;0;37;11;2;9;192;2;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;2;;14;390;96;11;2;0;21;9;2;17;158;0;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;3;;15;328;102;5;6;0;26;11;4;15;169;1;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;3;;16;336;68;9;2;0;17;15;1;16;128;1;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;3;;17;335;118;2;1;1;41;18;1;17;199;2;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;3;;18;318;94;6;2;0;13;6;4;13;138;0;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;3;;19;323;79;4;0;1;21;8;4;8;125;0;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;4;;20;395;111;7;2;0;11;8;8;10;157;3;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;4;;21;389;119;8;1;0;12;5;8;4;157;4;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;4;;22;397;143;11;0;1;40;20;7;17;239;3;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;4;;23;405;103;14;1;1;44;24;3;16;206;2;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;4;;24;399;137;8;0;1;23;7;4;11;191;0;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;5;;25;399;141;5;0;0;17;10;4;5;182;1;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;5;;26;387;131;3;4;0;24;13;4;4;183;5;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;5;;27;382;159;5;1;0;18;4;3;6;196;0;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;5;;28;378;132;7;0;0;18;4;12;9;182;3;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;5;;29;381;89;7;4;0;23;37;5;26;191;1;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;6;;30;396;110;5;3;0;26;14;1;17;176;1;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;6;;31;387;118;16;1;0;33;29;0;17;214;0;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;6;;32;398;111;12;2;3;33;13;1;19;194;0;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;6;;33;387;98;7;3;2;40;19;6;13;188;1;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;6;;34;384;130;12;1;0;30;13;1;24;211;2;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;6;;35;392;106;5;3;1;37;13;4;20;189;3;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;6;;36;398;127;3;2;1;29;14;8;25;209;2;
336;Mont-Royal-Outremont;2018-10-01;G;Mont-Royal, v;6;;37;410;76;8;6;0;33;16;2;11;152;0;
336;Mont-Royal-Outremont;2018-10-01;G;Montréal, v;126;;38;363;86;7;4;2;34;14;3;8;158;0;
