Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charette Caroline Q.S.;Dury Jean B.P.;Grisé Farand Ludovic P.L.Q./Q.L.P.;Michelin Daniel P.Q.;Roy Lise N.P.D.Q.;Roy Nathalie C.A.Q.-É.F.L.;B.V.;B.R.;
252;Montarville;2018-10-01;G;Boucherville, v;1;;1;379;33;1;33;40;3;99;209;2;
252;Montarville;2018-10-01;G;Boucherville, v;1;;2;377;47;1;44;44;5;93;234;4;
252;Montarville;2018-10-01;G;Boucherville, v;1;;3;381;49;2;42;50;6;106;255;1;
252;Montarville;2018-10-01;G;Boucherville, v;1;;4;371;50;2;40;55;5;93;245;7;
252;Montarville;2018-10-01;G;Boucherville, v;1;;5;386;51;1;39;48;9;101;249;4;
252;Montarville;2018-10-01;G;Boucherville, v;1;;6;373;60;4;48;53;10;85;260;6;
252;Montarville;2018-10-01;G;Boucherville, v;1;;7;376;57;0;25;49;15;95;241;7;
252;Montarville;2018-10-01;G;Boucherville, v;2;;8;378;60;1;35;49;5;88;238;1;
252;Montarville;2018-10-01;G;Boucherville, v;2;;9;380;47;3;37;37;2;110;236;2;
252;Montarville;2018-10-01;G;Boucherville, v;2;;10;377;53;0;41;33;11;98;236;9;
252;Montarville;2018-10-01;G;Boucherville, v;2;;11;378;58;3;24;31;3;99;218;1;
252;Montarville;2018-10-01;G;Boucherville, v;2;;12;364;51;1;54;50;7;101;264;5;
252;Montarville;2018-10-01;G;Boucherville, v;2;;13;368;48;5;42;49;8;91;243;2;
252;Montarville;2018-10-01;G;Boucherville, v;3;;14;386;47;1;32;56;7;92;235;7;
252;Montarville;2018-10-01;G;Boucherville, v;3;;15;366;42;2;35;45;5;78;207;2;
252;Montarville;2018-10-01;G;Boucherville, v;3;;16;369;47;1;25;49;5;84;211;1;
252;Montarville;2018-10-01;G;Boucherville, v;3;;17;371;57;0;12;61;5;76;211;3;
252;Montarville;2018-10-01;G;Boucherville, v;3;;18;368;43;1;30;31;2;52;159;0;
252;Montarville;2018-10-01;G;Boucherville, v;3;;19;387;37;1;51;45;10;71;215;3;
252;Montarville;2018-10-01;G;Boucherville, v;4;;20;339;40;1;39;35;5;90;210;1;
252;Montarville;2018-10-01;G;Boucherville, v;4;;21;342;38;0;38;36;7;75;194;5;
252;Montarville;2018-10-01;G;Boucherville, v;4;;22;341;30;1;32;50;2;81;196;0;
252;Montarville;2018-10-01;G;Boucherville, v;4;;23;338;41;3;16;33;3;74;170;6;
252;Montarville;2018-10-01;G;Boucherville, v;4;;24;318;39;3;25;29;3;71;170;8;
252;Montarville;2018-10-01;G;Boucherville, v;4;;25;338;35;1;29;37;4;74;180;7;
252;Montarville;2018-10-01;G;Boucherville, v;5;;26;396;38;1;47;38;8;132;264;5;
252;Montarville;2018-10-01;G;Boucherville, v;5;;27;396;41;1;78;36;5;108;269;4;
252;Montarville;2018-10-01;G;Boucherville, v;5;;28;401;29;0;53;31;1;115;229;0;
252;Montarville;2018-10-01;G;Boucherville, v;5;;29;399;44;2;42;24;4;99;215;4;
252;Montarville;2018-10-01;G;Boucherville, v;5;;30;411;51;3;47;45;7;97;250;2;
252;Montarville;2018-10-01;G;Boucherville, v;5;;31;394;39;1;44;36;6;126;252;6;
252;Montarville;2018-10-01;G;Boucherville, v;5;;32;392;41;0;43;46;2;95;227;3;
252;Montarville;2018-10-01;G;Boucherville, v;6;;33;359;29;0;36;28;4;112;209;1;
252;Montarville;2018-10-01;G;Boucherville, v;6;;34;358;39;1;49;26;2;93;210;7;
252;Montarville;2018-10-01;G;Boucherville, v;6;;35;368;37;2;45;40;2;85;211;5;
252;Montarville;2018-10-01;G;Boucherville, v;6;;36;364;45;2;50;29;2;79;207;2;
252;Montarville;2018-10-01;G;Boucherville, v;6;;37;358;48;2;39;60;5;74;228;0;
252;Montarville;2018-10-01;G;Boucherville, v;7;;38;415;39;1;46;52;10;94;242;5;
252;Montarville;2018-10-01;G;Boucherville, v;7;;39;404;53;0;57;40;5;84;239;1;
252;Montarville;2018-10-01;G;Boucherville, v;7;;40;417;36;0;48;41;5;113;243;1;
252;Montarville;2018-10-01;G;Boucherville, v;7;;41;419;53;2;40;63;7;86;251;8;
252;Montarville;2018-10-01;G;Boucherville, v;7;;42A;220;23;1;20;27;5;40;116;0;
252;Montarville;2018-10-01;G;Boucherville, v;7;;42B;211;34;0;15;19;6;32;106;3;
252;Montarville;2018-10-01;G;Boucherville, v;7;;43;402;64;3;24;40;5;64;200;4;
252;Montarville;2018-10-01;G;Boucherville, v;7;;44;402;55;3;28;37;4;75;202;7;
252;Montarville;2018-10-01;G;Boucherville, v;7;;45;402;47;0;35;50;6;102;240;8;
252;Montarville;2018-10-01;G;Boucherville, v;8;;46;374;49;1;39;42;5;107;243;6;
252;Montarville;2018-10-01;G;Boucherville, v;8;;47;369;60;1;42;62;4;95;264;2;
252;Montarville;2018-10-01;G;Boucherville, v;8;;48;374;51;0;33;45;3;118;250;2;
252;Montarville;2018-10-01;G;Boucherville, v;8;;49;373;45;3;51;48;8;113;268;3;
252;Montarville;2018-10-01;G;Boucherville, v;8;;50;389;45;9;46;32;7;85;224;3;
252;Montarville;2018-10-01;G;Boucherville, v;8;;51;381;35;3;30;40;10;110;228;3;
252;Montarville;2018-10-01;G;Boucherville, v;9;;52;405;40;2;55;34;6;106;243;8;
252;Montarville;2018-10-01;G;Boucherville, v;9;;53;418;55;0;28;48;5;117;253;5;
252;Montarville;2018-10-01;G;Boucherville, v;9;;54;412;32;1;42;46;7;90;218;0;
252;Montarville;2018-10-01;G;Boucherville, v;9;;55;412;65;0;44;48;1;76;234;3;
252;Montarville;2018-10-01;G;Boucherville, v;9;;56;404;41;0;33;47;10;95;226;6;
252;Montarville;2018-10-01;G;Boucherville, v;9;;57;400;39;2;22;41;3;81;188;3;
252;Montarville;2018-10-01;G;Boucherville, v;9;;58;398;51;0;35;46;4;84;220;5;
252;Montarville;2018-10-01;G;Boucherville, v;9;;59;417;35;0;48;45;1;103;232;0;
252;Montarville;2018-10-01;G;Boucherville, v;9;;60;404;43;2;38;42;7;105;237;6;
252;Montarville;2018-10-01;G;Boucherville, v;10;;61;392;36;0;62;36;3;80;217;2;
252;Montarville;2018-10-01;G;Boucherville, v;10;;62;386;25;0;69;26;2;106;228;4;
252;Montarville;2018-10-01;G;Boucherville, v;10;;63;392;27;2;76;20;3;92;220;2;
252;Montarville;2018-10-01;G;Boucherville, v;10;;64;385;28;0;65;27;5;106;231;3;
