Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Daniel P.C.Q./C.P.Q.;Bédard Jean P.M.L.Q.;Huot Alexandre P.Q.;Lamontagne Marie-Christine Q.S.;Lescarbeau Nicholas P.V.Q./G.P.Q.;Simard Jean-François Ind;Simard Jean-François C.A.Q.-É.F.L.;Trudel Marie France P.L.Q./Q.L.P.;B.V.;B.R.;
742;Montmorency;2018-10-01;G;Québec, v;128;;1;351;4;0;10;36;2;1;55;29;137;2;
742;Montmorency;2018-10-01;G;Québec, v;128;;2;354;1;0;23;25;0;1;47;19;116;7;
742;Montmorency;2018-10-01;G;Québec, v;128;;3;313;2;0;15;16;5;2;64;29;133;4;
742;Montmorency;2018-10-01;G;Québec, v;128;;4;315;2;0;23;23;4;3;56;23;134;3;
742;Montmorency;2018-10-01;G;Québec, v;128;;5;337;6;0;18;35;3;0;47;33;142;3;
742;Montmorency;2018-10-01;G;Québec, v;128;;6;350;11;0;22;33;2;3;62;16;149;2;
742;Montmorency;2018-10-01;G;Québec, v;129;;7;422;4;0;9;18;0;0;27;43;101;1;
742;Montmorency;2018-10-01;G;Québec, v;129;;8;392;10;1;25;40;3;4;65;38;186;4;
742;Montmorency;2018-10-01;G;Québec, v;129;;9;397;8;0;34;19;1;2;110;23;197;0;
742;Montmorency;2018-10-01;G;Québec, v;129;;10;375;6;0;15;26;6;1;70;39;163;4;
742;Montmorency;2018-10-01;G;Québec, v;129;;11;409;8;0;31;43;5;5;59;31;182;10;
742;Montmorency;2018-10-01;G;Québec, v;129;;12;404;6;1;12;21;2;1;64;24;131;2;
742;Montmorency;2018-10-01;G;Québec, v;130;;13;385;7;0;22;24;3;1;92;30;179;3;
742;Montmorency;2018-10-01;G;Québec, v;130;;14;407;5;0;13;35;3;4;76;29;165;1;
742;Montmorency;2018-10-01;G;Québec, v;130;;15;381;5;0;13;29;3;0;43;24;117;2;
742;Montmorency;2018-10-01;G;Québec, v;130;;16;405;6;0;22;36;3;0;67;23;157;7;
742;Montmorency;2018-10-01;G;Québec, v;130;;17;412;6;0;31;49;5;1;85;32;209;4;
742;Montmorency;2018-10-01;G;Québec, v;130;;18;378;11;0;32;33;4;3;77;24;184;4;
742;Montmorency;2018-10-01;G;Québec, v;131;;19;377;2;1;36;44;9;0;75;27;194;4;
742;Montmorency;2018-10-01;G;Québec, v;131;;20;383;5;3;26;44;1;4;86;36;205;4;
742;Montmorency;2018-10-01;G;Québec, v;131;;21;373;5;0;31;42;4;1;58;34;175;4;
742;Montmorency;2018-10-01;G;Québec, v;131;;22;365;11;0;16;37;5;3;58;34;164;6;
742;Montmorency;2018-10-01;G;Québec, v;131;;23;385;2;0;11;26;1;1;60;17;118;1;
742;Montmorency;2018-10-01;G;Québec, v;131;;24;365;4;0;15;26;3;2;51;30;131;2;
