Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cammarrota Giuseppe P.V.Q./G.P.Q.;Derraji Monsef P.L.Q./Q.L.P.;Legendre Chantal P.Q.;Levitsky-Kaminski Mathew P.C.Q./C.P.Q.;Murphy Leslie Eric N.P.D.Q.;Rapoport Angela C.A.Q.-É.F.L.;Tremblay-Pepin Simon Q.S.;B.V.;B.R.;
312;Nelligan;2018-10-01;G;Kirkland, v;1;;1;389;9;139;2;6;5;13;4;178;1;
312;Nelligan;2018-10-01;G;Kirkland, v;1;;2;393;8;148;4;6;4;26;0;196;3;
312;Nelligan;2018-10-01;G;Kirkland, v;1;;3;388;6;162;2;9;0;22;3;204;1;
312;Nelligan;2018-10-01;G;Kirkland, v;1;;4;396;5;158;1;6;2;14;3;189;0;
312;Nelligan;2018-10-01;G;Kirkland, v;1;;5;382;7;123;5;7;0;27;2;171;1;
312;Nelligan;2018-10-01;G;Kirkland, v;2;;6;377;9;186;8;1;3;26;4;237;0;
312;Nelligan;2018-10-01;G;Kirkland, v;2;;7;370;7;153;3;7;2;26;6;204;0;
312;Nelligan;2018-10-01;G;Kirkland, v;2;;8;389;8;148;2;4;0;25;5;192;2;
312;Nelligan;2018-10-01;G;Kirkland, v;2;;9;369;4;190;2;6;0;14;8;224;2;
312;Nelligan;2018-10-01;G;Kirkland, v;2;;10;375;2;159;2;2;3;8;6;182;2;
312;Nelligan;2018-10-01;G;Kirkland, v;2;;11;388;4;141;3;7;0;19;5;179;1;
312;Nelligan;2018-10-01;G;Kirkland, v;2;;12;370;5;166;4;2;7;14;6;204;0;
312;Nelligan;2018-10-01;G;Kirkland, v;2;;13;364;10;160;3;3;4;32;6;218;3;
312;Nelligan;2018-10-01;G;Kirkland, v;2;;14;382;5;161;9;7;0;27;4;213;0;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;15;395;5;143;4;6;7;33;5;203;5;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;16;381;10;110;3;4;8;22;4;161;0;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;17;391;5;138;1;1;1;18;3;167;1;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;18;386;3;124;5;6;0;20;5;163;0;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;19;395;9;156;2;5;1;12;2;187;0;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;20;387;4;129;4;1;2;26;4;170;1;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;21;383;7;133;5;1;2;11;3;162;5;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;22;385;5;145;1;9;1;16;4;181;0;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;23;376;3;131;1;4;2;10;3;154;0;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;24;397;12;171;3;2;0;12;4;204;0;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;25;381;5;114;1;6;1;8;1;136;0;
312;Nelligan;2018-10-01;G;Kirkland, v;3;;26;392;5;135;7;13;5;15;6;186;0;
312;Nelligan;2018-10-01;G;Kirkland, v;4;;27;364;6;147;3;6;0;19;3;184;0;
312;Nelligan;2018-10-01;G;Kirkland, v;4;;28;368;9;130;3;3;5;10;5;165;0;
312;Nelligan;2018-10-01;G;Kirkland, v;4;;29;371;3;139;1;5;1;18;5;172;1;
312;Nelligan;2018-10-01;G;Kirkland, v;4;;30;364;13;164;1;9;2;22;5;216;2;
312;Nelligan;2018-10-01;G;Kirkland, v;4;;31;360;6;158;1;10;2;20;6;203;1;
312;Nelligan;2018-10-01;G;Kirkland, v;4;;32;360;7;156;3;9;2;16;1;194;2;
312;Nelligan;2018-10-01;G;Kirkland, v;4;;33;376;7;133;7;6;8;18;10;189;0;
