Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allard Lucie P.Q.;Blackburn Blak D. B.P.;Durand Marie-Claude P.L.Q./Q.L.P.;Marcotte Vincent P.V.Q./G.P.Q.;Martel Donald C.A.Q.-É.F.L.;Mc Nicoll Jessie P.C.Q./C.P.Q.;Poisson François Q.S.;B.V.;B.R.;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;1;;1;338;22;0;11;2;82;1;31;149;2;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;1;;2;371;38;1;11;1;110;7;21;189;9;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;1;;3;323;29;3;17;0;130;2;31;212;1;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;1;;4;325;30;0;14;3;119;5;33;204;0;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;1;;5;300;23;4;18;0;106;3;27;181;8;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;2;;6;392;36;0;34;2;114;5;28;219;1;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;2;;7;376;28;0;44;4;125;9;34;244;3;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;2;;8;383;34;3;39;2;147;8;20;253;5;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;2;;9;399;28;3;29;1;125;3;33;222;1;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;2;;10;403;36;0;25;3;134;3;28;229;2;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;2;;11;394;17;2;39;3;155;3;28;247;5;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;2;;12;405;44;1;30;3;135;2;38;253;4;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;2;;13;379;33;0;38;3;163;6;25;268;7;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;2;;14;403;39;0;19;5;151;6;32;252;9;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;2;;15;389;36;3;28;4;134;8;24;237;1;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;2;;16;383;51;0;29;5;138;3;45;271;8;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;3;;17;333;22;4;14;3;117;7;24;191;3;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;3;;18;334;28;2;17;4;93;4;21;169;3;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;3;;19A;225;27;1;6;2;75;3;24;138;1;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;3;;19B;209;17;0;6;3;65;2;16;109;7;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;3;;20;313;29;1;5;2;101;11;16;165;4;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;3;;21;313;25;4;13;0;97;1;15;155;0;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;3;;22;289;24;1;19;1;86;4;20;155;6;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;4;;23;345;35;1;14;4;118;4;19;195;6;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;4;;24;332;28;1;23;4;135;7;20;218;0;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;4;;25;359;41;1;34;3;109;5;14;207;5;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;4;;26;327;22;3;24;9;139;1;23;221;5;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;4;;27;356;31;0;20;8;151;3;32;245;4;
150;Nicolet-Bécancour;2018-10-01;G;Bécancour, v;4;;28;331;23;1;11;4;126;10;21;196;1;
150;Nicolet-Bécancour;2018-10-01;G;Wôlinak, r;1;;29;145;5;0;7;3;30;1;8;54;0;
150;Nicolet-Bécancour;2018-10-01;G;Saint-Pierre-les-Becquets, m;1;;30;299;29;0;20;0;110;3;11;173;3;
150;Nicolet-Bécancour;2018-10-01;G;Saint-Pierre-les-Becquets, m;1;;31;263;14;1;9;1;108;2;17;152;3;
150;Nicolet-Bécancour;2018-10-01;G;Saint-Pierre-les-Becquets, m;1;;32;333;37;0;15;5;80;2;16;155;0;
150;Nicolet-Bécancour;2018-10-01;G;Deschaillons-sur-Saint-Laurent, m;1;;33;355;31;4;26;1;120;3;29;214;4;
150;Nicolet-Bécancour;2018-10-01;G;Deschaillons-sur-Saint-Laurent, m;1;;34;371;38;1;33;3;130;2;29;236;0;
150;Nicolet-Bécancour;2018-10-01;G;Parisville, p;1;;35;196;12;1;12;0;73;4;16;118;2;
150;Nicolet-Bécancour;2018-10-01;G;Parisville, p;1;;36;215;17;0;25;2;76;2;12;134;1;
150;Nicolet-Bécancour;2018-10-01;G;Fortierville, m;1;;37;257;31;0;15;3;89;0;11;149;7;
150;Nicolet-Bécancour;2018-10-01;G;Fortierville, m;1;;38;269;17;0;24;6;78;2;16;143;1;
150;Nicolet-Bécancour;2018-10-01;G;Sainte-Cécile-de-Lévrard, p;1;;39;293;14;1;22;5;98;8;21;169;1;
150;Nicolet-Bécancour;2018-10-01;G;Sainte-Sophie-de-Lévrard, p;1;;40;297;19;1;27;1;84;5;19;156;2;
150;Nicolet-Bécancour;2018-10-01;G;Sainte-Sophie-de-Lévrard, p;1;;41;280;24;1;23;0;111;6;14;179;1;
150;Nicolet-Bécancour;2018-10-01;G;Sainte-Françoise, m;1;;42;381;14;0;52;2;146;9;34;257;4;
