Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Lucie P.Q.;Dansereau Nathalie C.A.Q.-É.F.L.;Ftouh Souhail P.C.Q./C.P.Q.;Gagnon David-Roger N.P.D.Q.;Gudmundsson Kathleen Q.S.;Hoffman Rachel P.M.L.Q.;Nichols Cynthia Ind;Walcott Chad P.V.Q./G.P.Q.;Weil Kathleen P.L.Q./Q.L.P.;B.V.;B.R.;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal-Ouest, v;1;;1;363;1;8;3;3;3;1;1;7;157;184;3;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal-Ouest, v;1;;2;380;6;15;5;4;4;0;1;5;151;191;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal-Ouest, v;1;;3;377;3;6;11;3;8;0;1;7;163;202;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal-Ouest, v;1;;4;389;3;12;3;4;11;0;0;8;151;192;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal-Ouest, v;1;;5;369;4;14;5;8;11;1;0;14;155;212;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal-Ouest, v;2;;6;381;6;15;2;3;8;1;1;13;152;201;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal-Ouest, v;2;;7;387;4;11;7;0;10;0;2;21;156;211;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal-Ouest, v;2;;8;375;3;12;5;10;14;1;1;12;137;195;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal-Ouest, v;2;;9;379;4;19;8;7;7;1;2;31;166;245;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal-Ouest, v;2;;10;391;4;8;5;11;10;1;4;8;156;207;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;107;;11;423;3;11;5;8;14;0;3;7;88;139;3;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;107;;12;402;5;5;5;0;12;1;2;7;97;134;3;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;107;;13;415;2;10;3;6;15;3;3;9;86;137;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;107;;14;411;1;8;3;2;5;0;2;7;81;109;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;107;;15;410;14;11;4;2;26;0;1;8;148;214;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;107;;16;406;11;20;2;6;24;0;1;19;150;233;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;108;;17;370;6;20;3;4;15;0;0;12;126;186;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;108;;18;387;8;10;8;4;18;1;0;14;150;213;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;108;;19;397;3;13;4;5;12;0;0;17;107;161;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;108;;20;394;4;11;0;3;10;2;1;19;121;171;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;108;;21;384;2;13;4;4;9;0;1;9;99;141;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;108;;22;387;5;10;3;6;13;0;0;9;86;132;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;109;;23;425;7;13;6;8;13;0;0;17;131;195;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;109;;24;418;9;7;4;1;22;0;2;16;114;175;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;109;;25;412;7;16;1;8;23;0;0;16;113;184;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;109;;26;409;3;14;3;3;15;0;2;9;112;161;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;109;;27;410;3;11;3;2;12;0;2;3;82;118;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;109;;28A;217;5;3;1;4;6;0;1;5;37;62;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;109;;28B;209;1;7;0;1;2;2;1;3;26;43;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;109;;29;410;6;16;1;2;16;0;0;8;106;155;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;110;;30;349;4;18;2;3;23;0;0;18;148;216;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;110;;31;339;9;15;0;4;17;0;3;19;113;180;0;
