Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Gilles C.A.Q.-É.F.L.;Desmeules Stéphanie P.V.Q./G.P.Q.;Lalumière-Ting Annabelle Q.S.;Leclerc Maxime P.Q.;Madore Guy P.L.Q./Q.L.P.;Poulin Tommy C.P.Q.;Tremblay-Bonsens Joseph P.C.Q./C.P.Q.;B.V.;B.R.;
120;Orford;2018-10-01;G;Stanstead, v;1;;1;351;36;5;12;11;65;1;4;134;0;
120;Orford;2018-10-01;G;Stanstead, v;1;;2;357;24;0;6;8;69;2;6;115;0;
120;Orford;2018-10-01;G;Stanstead, v;1;;3;361;34;2;12;7;84;0;7;146;1;
120;Orford;2018-10-01;G;Stanstead, v;1;;4;363;37;6;11;8;48;0;6;116;2;
120;Orford;2018-10-01;G;Stanstead, v;1;;5;353;40;4;16;3;57;0;5;125;1;
120;Orford;2018-10-01;G;Stanstead, v;1;;6;353;32;7;10;5;42;1;9;106;1;
120;Orford;2018-10-01;G;Ogden, m;1;;7;287;27;5;13;4;88;1;12;150;0;
120;Orford;2018-10-01;G;Ogden, m;1;;8;281;34;0;8;5;45;0;9;101;0;
120;Orford;2018-10-01;G;Stanstead, ct;1;;9;289;42;3;41;10;64;2;4;166;0;
120;Orford;2018-10-01;G;Stanstead, ct;1;;10;289;58;8;29;21;40;1;4;161;4;
120;Orford;2018-10-01;G;Stanstead, ct;1;;11;285;20;6;20;5;104;2;2;159;0;
120;Orford;2018-10-01;G;Potton, ct;1;;12;385;63;8;16;15;95;0;5;202;0;
120;Orford;2018-10-01;G;Potton, ct;1;;13;370;49;1;18;14;97;0;12;191;1;
120;Orford;2018-10-01;G;Potton, ct;1;;14;353;69;5;22;11;72;2;9;190;2;
120;Orford;2018-10-01;G;Potton, ct;1;;15;388;40;7;30;27;84;2;4;194;1;
120;Orford;2018-10-01;G;Bolton-Est, m;1;;16;279;43;5;19;11;58;0;1;137;7;
120;Orford;2018-10-01;G;Bolton-Est, m;1;;17;273;56;6;35;12;39;1;4;153;3;
120;Orford;2018-10-01;G;Bolton-Est, m;1;;18;285;49;9;32;25;26;2;1;144;4;
120;Orford;2018-10-01;G;Saint-Étienne-de-Bolton, m;1;;19;287;71;8;52;24;19;0;3;177;0;
120;Orford;2018-10-01;G;Saint-Étienne-de-Bolton, m;1;;20;303;54;8;31;29;31;1;6;160;1;
120;Orford;2018-10-01;G;Stukely-Sud, vl;1;;21;305;75;7;33;10;17;1;2;145;2;
120;Orford;2018-10-01;G;Stukely-Sud, vl;1;;22;295;50;3;30;16;51;0;6;156;3;
120;Orford;2018-10-01;G;Stukely-Sud, vl;1;;23;296;63;7;28;38;32;0;0;168;2;
120;Orford;2018-10-01;G;Sainte-Anne-de-la-Rochelle, m;1;;24;228;59;3;32;21;23;1;1;140;2;
120;Orford;2018-10-01;G;Sainte-Anne-de-la-Rochelle, m;1;;25;228;60;2;28;23;17;0;2;132;5;
120;Orford;2018-10-01;G;Lawrenceville, vl;1;;26;252;46;5;35;33;28;6;4;157;3;
120;Orford;2018-10-01;G;Lawrenceville, vl;1;;27;247;57;8;20;40;20;7;6;158;6;
120;Orford;2018-10-01;G;Bonsecours, m;1;;28;248;70;4;19;34;18;6;3;154;17;
120;Orford;2018-10-01;G;Bonsecours, m;1;;29;243;61;4;20;36;31;3;0;155;5;
120;Orford;2018-10-01;G;Orford, ct;1;;30;355;72;8;34;36;30;0;1;181;1;
120;Orford;2018-10-01;G;Orford, ct;1;;31;365;74;7;38;37;28;4;2;190;0;
