Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boyer Lynn C.P.Q.;Destroismaisons Yves P.Q.;Flaus Claude P51;Godin Joanne P.C.Q./C.P.Q.;Iracà Alexandre P.L.Q./Q.L.P.;Lacombe Mathieu C.A.Q.-É.F.L.;Pilon-Gauvin Mélanie Q.S.;Tardif Michel P.V.Q./G.P.Q.;Yde Isabelle P.N.;B.V.;B.R.;
626;Papineau;2018-10-01;G;Gatineau, v;46;;1;370;0;10;1;4;21;64;16;5;0;121;2;
626;Papineau;2018-10-01;G;Gatineau, v;46;;2;335;1;17;1;2;31;55;12;4;0;123;2;
626;Papineau;2018-10-01;G;Gatineau, v;46;;3;359;2;16;2;5;64;85;24;8;4;210;8;
626;Papineau;2018-10-01;G;Gatineau, v;46;;4;361;2;20;0;3;35;63;27;1;1;152;1;
626;Papineau;2018-10-01;G;Gatineau, v;46;;5;354;1;4;0;1;40;53;21;1;3;124;1;
626;Papineau;2018-10-01;G;Gatineau, v;46;;6;356;4;12;0;4;41;80;20;5;2;168;1;
626;Papineau;2018-10-01;G;Gatineau, v;46;;7;359;0;10;1;3;18;53;15;0;0;100;3;
626;Papineau;2018-10-01;G;Gatineau, v;46;;8;364;3;11;1;2;25;54;28;2;0;126;2;
626;Papineau;2018-10-01;G;Gatineau, v;47;;9;374;1;19;0;1;32;69;13;1;2;138;0;
626;Papineau;2018-10-01;G;Gatineau, v;47;;10;366;3;16;0;3;29;79;22;1;1;154;1;
626;Papineau;2018-10-01;G;Gatineau, v;47;;11;356;1;18;0;1;45;90;33;4;0;192;3;
626;Papineau;2018-10-01;G;Gatineau, v;47;;12;368;0;15;0;0;45;84;41;4;2;191;5;
626;Papineau;2018-10-01;G;Gatineau, v;47;;13;364;0;13;1;9;32;79;39;0;4;177;1;
626;Papineau;2018-10-01;G;Gatineau, v;48;;14;408;3;21;1;6;50;117;28;1;1;228;1;
626;Papineau;2018-10-01;G;Gatineau, v;48;;15;388;5;14;1;10;50;89;26;3;1;199;0;
626;Papineau;2018-10-01;G;Gatineau, v;48;;16;411;0;20;0;6;39;108;31;6;2;212;4;
626;Papineau;2018-10-01;G;Gatineau, v;48;;17;401;0;22;0;4;52;105;40;1;1;225;4;
