Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aussant Jean-Martin P.Q.;Chandonnet Louis É.A.;Ouellette Eric P.L.Q./Q.L.P.;Pereira Céline Q.S.;Rouleau Chantal C.A.Q.-É.F.L.;Royer Geneviève P.M.L.Q.;Surette Pierre B.P.;B.V.;B.R.;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal-Est, v;1;;1;369;46;0;22;35;39;0;3;145;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal-Est, v;1;;2;398;31;0;21;26;46;0;2;126;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal-Est, v;1;;3;360;50;0;24;36;75;1;3;189;6;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal-Est, v;1;;4;354;69;0;13;22;53;1;5;163;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal-Est, v;1;;5;371;76;0;23;28;45;2;3;177;1;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal-Est, v;1;;6;363;51;2;13;30;37;2;2;137;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal-Est, v;1;;7;356;47;0;17;24;59;0;2;149;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal-Est, v;1;;8;355;43;0;16;26;52;4;0;141;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;385;;9;359;51;0;21;28;68;1;2;171;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;385;;10;352;59;0;16;38;47;0;2;162;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;385;;11;382;51;1;16;17;62;1;0;148;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;385;;12;373;59;0;8;23;72;0;2;164;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;385;;13;372;54;1;17;29;60;0;2;163;6;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;385;;14;360;39;0;17;38;60;0;3;157;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;386;;15;375;59;0;12;39;70;0;1;181;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;386;;16;362;75;0;19;27;55;0;0;176;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;386;;17;370;52;0;37;27;88;0;3;207;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;386;;18;379;49;0;22;32;68;0;2;173;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;386;;19;365;57;1;28;22;74;1;2;185;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;386;;20;375;65;1;14;26;65;1;2;174;1;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;387;;21;368;64;0;19;34;39;0;2;158;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;387;;22;346;42;0;10;18;46;1;3;120;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;387;;23;357;72;1;19;32;74;1;1;200;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;387;;24;356;61;1;29;30;79;1;5;206;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;387;;25;356;58;1;23;20;56;3;2;163;8;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;387;;26;361;79;0;24;47;58;0;3;211;6;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;388;;27;399;50;1;27;29;66;1;1;175;1;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;388;;28;401;76;3;22;32;66;0;2;201;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;388;;29;398;54;0;22;29;73;1;2;181;6;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;388;;30;404;80;0;28;15;81;2;2;208;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;388;;31;407;45;0;19;33;73;1;5;176;7;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;389;;32;356;55;0;30;27;57;1;0;170;1;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;389;;33;374;46;1;35;22;57;1;1;163;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;389;;34;363;63;0;30;36;88;0;2;219;7;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;389;;35;347;63;1;21;30;74;1;2;192;7;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;389;;36;365;68;0;24;27;62;2;3;186;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;390;;37;344;46;0;12;25;65;0;3;151;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;390;;38;348;60;2;26;24;83;0;3;198;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;390;;39;358;50;0;29;27;61;1;1;169;8;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;390;;40;360;53;0;24;19;58;1;3;158;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;390;;41;349;52;0;17;41;54;0;1;165;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;390;;42;346;64;0;29;41;59;0;2;195;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;391;;43;399;71;1;36;36;75;0;0;219;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;391;;44;379;56;0;22;33;81;1;1;194;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;391;;45;368;71;0;21;35;72;0;1;200;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;391;;46;391;57;1;21;30;93;2;4;208;3;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;391;;47;376;83;1;26;31;80;2;0;223;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;391;;48;397;76;0;24;44;84;0;1;229;4;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;391;;49;388;70;0;20;17;81;0;1;189;1;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;391;;50;408;55;0;13;29;88;0;0;185;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;391;;51;376;53;1;38;27;70;0;0;189;10;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;391;;52;402;72;0;30;38;77;0;1;218;5;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;392;;53;343;73;0;18;33;69;1;0;194;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;392;;54;342;68;0;19;39;66;3;4;199;0;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;392;;55;359;59;0;28;30;59;0;1;177;8;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;392;;56;357;57;0;31;31;63;0;2;184;2;
380;Pointe-aux-Trembles;2018-10-01;G;Montréal, v;393;;57;347;44;1;26;32;56;0;3;162;2;
