Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fleury Roger P.V.Q./G.P.Q.;Fortin André P.L.Q./Q.L.P.;Gendron Samuel N.P.D.Q.;Kamanyana Olive C.A.Q.-É.F.L.;Lang Louis P.M.L.Q.;Nivolon Marie-Claire P.Q.;Roy Kenny P.C.Q./C.P.Q.;Wilkie Julia Q.S.;B.V.;B.R.;
608;Pontiac;2018-10-01;G;Rapides-des-Joachims, m;1;;1;99;3;17;0;7;0;1;7;3;38;0;
608;Pontiac;2018-10-01;G;Sheenboro, m;1;;2;84;3;33;0;1;0;0;0;0;37;0;
608;Pontiac;2018-10-01;G;Chichester, ct;1;;3;275;4;70;2;3;0;0;8;1;88;0;
608;Pontiac;2018-10-01;G;L'Isle-aux-Allumettes, m;1;;4;322;12;89;1;6;0;0;6;2;116;0;
608;Pontiac;2018-10-01;G;L'Isle-aux-Allumettes, m;1;;5;322;7;83;2;3;0;0;6;0;101;0;
608;Pontiac;2018-10-01;G;L'Isle-aux-Allumettes, m;1;;6;319;6;61;3;7;0;0;7;3;87;0;
608;Pontiac;2018-10-01;G;Waltham, m;1;;7;289;0;92;2;2;0;1;3;0;100;0;
608;Pontiac;2018-10-01;G;Mansfield-et-Pontefract, m;1;;8;359;0;75;2;22;0;5;8;11;123;0;
608;Pontiac;2018-10-01;G;Mansfield-et-Pontefract, m;1;;9;372;6;70;3;25;0;4;7;4;119;0;
608;Pontiac;2018-10-01;G;Mansfield-et-Pontefract, m;1;;10;377;1;73;3;38;0;8;6;9;138;0;
608;Pontiac;2018-10-01;G;Mansfield-et-Pontefract, m;1;;11;369;1;84;0;23;0;4;7;0;119;0;
608;Pontiac;2018-10-01;G;Mansfield-et-Pontefract, m;1;;12;372;1;67;5;34;1;3;4;1;116;3;
608;Pontiac;2018-10-01;G;Fort-Coulonge, vl;1;;13;368;6;72;1;25;0;9;7;8;128;2;
608;Pontiac;2018-10-01;G;Fort-Coulonge, vl;1;;14;367;2;99;2;36;0;7;9;5;160;3;
608;Pontiac;2018-10-01;G;Fort-Coulonge, vl;1;;15;378;5;68;6;26;1;5;8;4;123;0;
608;Pontiac;2018-10-01;G;L'Île-du-Grand-Calumet, m;1;;16;279;0;68;4;24;0;9;4;5;114;0;
608;Pontiac;2018-10-01;G;L'Île-du-Grand-Calumet, m;1;;17;258;4;59;4;23;1;4;12;4;111;0;
608;Pontiac;2018-10-01;G;Portage-du-Fort, vl;1;;18;180;0;20;1;1;0;0;5;1;28;0;
608;Pontiac;2018-10-01;G;Bryson, m;1;;19;246;2;58;3;25;0;0;8;3;99;0;
608;Pontiac;2018-10-01;G;Bryson, m;1;;20;247;0;62;1;8;0;5;12;2;90;0;
608;Pontiac;2018-10-01;G;Campbell's Bay, m;1;;21;298;1;66;3;8;1;4;9;4;96;1;
608;Pontiac;2018-10-01;G;Campbell's Bay, m;1;;22;296;3;83;1;5;0;2;7;4;105;0;
608;Pontiac;2018-10-01;G;Litchfield, m;1;;23;378;2;113;4;8;0;4;10;6;147;0;
608;Pontiac;2018-10-01;G;Otter Lake, m;1;;24;364;3;72;3;22;0;0;5;1;106;2;
608;Pontiac;2018-10-01;G;Otter Lake, m;1;;25;366;7;97;0;24;1;1;10;1;141;1;
608;Pontiac;2018-10-01;G;Alleyn-et-Cawood, m;1;;26;174;5;38;2;10;0;6;14;3;78;0;
608;Pontiac;2018-10-01;G;Thorne, m;1;;27;346;9;102;1;9;0;1;2;6;130;0;
608;Pontiac;2018-10-01;G;Clarendon, m;1;;28;320;4;93;1;8;0;4;15;6;131;1;
608;Pontiac;2018-10-01;G;Clarendon, m;1;;29;315;2;82;0;7;0;1;23;2;117;0;
608;Pontiac;2018-10-01;G;Clarendon, m;1;;30;310;3;86;0;11;0;1;13;0;114;0;
608;Pontiac;2018-10-01;G;Shawville, m;1;;31;412;7;108;1;14;1;1;14;5;151;1;
608;Pontiac;2018-10-01;G;Shawville, m;1;;32;413;1;129;2;8;0;3;9;0;152;1;
608;Pontiac;2018-10-01;G;Shawville, m;1;;33;412;3;134;2;8;0;0;9;6;162;0;
608;Pontiac;2018-10-01;G;Bristol, m;1;;34;378;2;138;2;13;0;3;16;5;179;0;
608;Pontiac;2018-10-01;G;Bristol, m;1;;35;379;5;101;1;8;0;2;16;9;142;0;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;36;153;2;38;0;15;0;0;2;2;59;1;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;37;389;3;107;0;14;0;3;6;13;146;0;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;38;391;6;114;3;12;0;3;8;7;153;0;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;39;397;4;81;3;21;0;8;15;9;141;1;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;40;369;7;58;0;26;0;9;5;14;119;4;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;41;368;7;49;6;39;1;11;6;11;130;2;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;42;358;2;71;2;32;0;5;9;12;133;4;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;43;363;9;91;1;28;0;7;11;15;162;0;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;44;366;3;89;7;37;0;4;2;21;163;4;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;45;371;5;97;2;32;0;11;7;9;163;0;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;46;363;5;69;5;46;0;5;10;9;149;1;
608;Pontiac;2018-10-01;G;Pontiac, m;1;;47;360;8;84;7;55;0;12;10;13;189;3;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;48;386;2;95;6;39;0;8;2;25;177;1;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;49;391;8;80;8;50;0;13;5;27;191;2;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;50;393;10;75;4;60;0;15;2;38;204;4;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;51;385;2;60;4;54;0;16;9;22;167;3;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;52;394;7;71;7;46;0;12;6;22;171;0;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;53;384;7;95;11;44;1;5;2;26;191;1;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;54;389;9;95;8;34;0;9;8;20;183;0;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;55;399;5;86;13;49;0;9;3;20;185;5;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;56;389;7;66;18;42;0;14;1;27;175;1;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;57;392;5;78;7;32;0;6;7;30;165;1;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;58;386;6;65;14;36;1;17;3;26;168;2;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;59;394;1;69;6;36;0;10;4;10;136;3;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;60;392;7;48;6;19;0;6;4;16;106;2;
608;Pontiac;2018-10-01;G;Gatineau, v;1;;61;406;1;28;1;9;1;0;3;12;55;0;
