Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Caron Vincent C.A.Q.-É.F.L.;Gasse Philippe P.L.Q./Q.L.P.;Guimont Constance C.P.Q.;Hébert Christian P.Q.;Morin Guy P.C.Q./C.P.Q.;Pelletier Odile Q.S.;B.V.;B.R.;
714;Portneuf;2018-10-01;G;Saint-Ubalde, m;1;;1;374;129;57;4;13;12;27;242;3;
714;Portneuf;2018-10-01;G;Saint-Ubalde, m;1;;2;368;120;27;1;23;11;28;210;2;
714;Portneuf;2018-10-01;G;Saint-Ubalde, m;1;;3;374;105;73;5;19;12;25;239;3;
714;Portneuf;2018-10-01;G;Saint-Thuribe, p;1;;4;219;69;24;4;15;7;26;145;1;
714;Portneuf;2018-10-01;G;Saint-Casimir, m;1;;5;374;100;34;2;29;4;23;192;4;
714;Portneuf;2018-10-01;G;Saint-Casimir, m;1;;6;379;111;29;3;20;14;9;186;9;
714;Portneuf;2018-10-01;G;Saint-Casimir, m;1;;7;384;106;20;4;18;11;33;192;1;
714;Portneuf;2018-10-01;G;Deschambault-Grondines, m;1;;8;309;81;26;1;21;7;43;179;0;
714;Portneuf;2018-10-01;G;Deschambault-Grondines, m;1;;9;310;90;29;1;16;12;53;201;0;
714;Portneuf;2018-10-01;G;Deschambault-Grondines, m;1;;10;386;98;34;2;38;7;38;217;2;
714;Portneuf;2018-10-01;G;Deschambault-Grondines, m;1;;11;379;96;19;0;21;11;40;187;7;
714;Portneuf;2018-10-01;G;Deschambault-Grondines, m;1;;12;390;119;27;2;34;14;33;229;5;
714;Portneuf;2018-10-01;G;Saint-Gilbert, p;1;;13;248;81;27;2;13;5;15;143;3;
714;Portneuf;2018-10-01;G;Saint-Marc-des-Carrières, v;1;;14;393;105;33;4;20;7;20;189;3;
714;Portneuf;2018-10-01;G;Saint-Marc-des-Carrières, v;1;;15;378;113;39;1;13;9;18;193;2;
714;Portneuf;2018-10-01;G;Saint-Marc-des-Carrières, v;1;;16;371;112;32;0;11;6;12;173;1;
714;Portneuf;2018-10-01;G;Saint-Marc-des-Carrières, v;1;;17;381;81;24;1;17;8;11;142;3;
714;Portneuf;2018-10-01;G;Saint-Marc-des-Carrières, v;1;;18;367;113;36;1;19;7;23;199;6;
714;Portneuf;2018-10-01;G;Saint-Marc-des-Carrières, v;1;;19;397;145;45;2;15;6;13;226;2;
714;Portneuf;2018-10-01;G;Saint-Alban, m;1;;20;320;90;23;1;14;4;20;152;2;
714;Portneuf;2018-10-01;G;Saint-Alban, m;1;;21;342;114;26;1;16;6;17;180;1;
714;Portneuf;2018-10-01;G;Saint-Alban, m;1;;22;341;92;31;3;11;5;44;186;7;
714;Portneuf;2018-10-01;G;Sainte-Christine-d'Auvergne, m;1;;23;238;73;9;1;11;6;15;115;5;
714;Portneuf;2018-10-01;G;Sainte-Christine-d'Auvergne, m;1;;24;242;79;23;1;15;4;15;137;1;
714;Portneuf;2018-10-01;G;Portneuf, v;1;;25;379;110;39;1;22;11;18;201;8;
714;Portneuf;2018-10-01;G;Portneuf, v;1;;26;400;137;50;4;15;10;25;241;6;
714;Portneuf;2018-10-01;G;Portneuf, v;1;;27;407;135;35;4;20;13;31;238;4;
714;Portneuf;2018-10-01;G;Portneuf, v;1;;28;399;115;38;2;21;11;9;196;3;
714;Portneuf;2018-10-01;G;Portneuf, v;1;;29;393;119;27;2;29;6;31;214;4;
714;Portneuf;2018-10-01;G;Portneuf, v;1;;30;384;136;29;3;16;10;18;212;7;
