Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Marguerite C.A.Q.-É.F.L.;Goyette Naömie P.L.Q./Q.L.P.;Leclerc Michel P.L.;Mayer Lucie Q.S.;Mulcahy Malcolm P.C.Q./C.P.Q.;St-Pierre Plamondon Paul P.Q.;B.V.;B.R.;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;1;411;78;16;3;27;5;39;168;3;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;2;418;81;11;1;35;0;46;174;3;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;3;384;91;24;2;30;0;45;192;2;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;4;393;66;14;2;28;2;53;165;5;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;5;395;80;54;1;18;0;37;190;3;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;6;388;61;14;1;33;3;36;148;1;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;7;400;66;14;2;19;6;43;150;8;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;8;405;76;13;1;25;3;59;177;1;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;9;400;97;13;0;30;1;49;190;3;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;10;401;96;16;1;27;0;35;175;2;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;11;391;83;16;2;38;2;55;196;3;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;12;397;76;5;3;41;1;49;175;2;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;13;399;84;12;0;29;2;47;174;6;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;14;407;72;12;2;44;1;53;184;3;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;15A;225;63;5;3;16;1;30;118;3;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;15B;202;39;0;1;15;0;9;64;0;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;16;403;88;8;1;33;4;40;174;3;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;17;411;91;10;1;45;1;45;193;4;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;18;407;88;27;0;31;0;44;190;4;
582;Prévost;2018-10-01;G;Saint-Hippolyte, m;1;;19;419;128;20;1;37;2;39;227;3;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;20;416;86;13;0;39;2;47;187;2;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;21;422;105;8;2;54;5;50;224;5;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;22;416;112;11;1;32;2;40;198;5;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;23;397;116;7;2;28;2;67;222;2;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;24;408;82;9;2;28;2;46;169;5;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;25;408;93;5;4;40;2;50;194;5;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;26;417;113;11;5;36;1;57;223;5;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;27;405;88;6;2;32;7;39;174;2;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;28;401;105;16;3;28;5;54;211;0;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;29;401;102;7;1;46;3;46;205;5;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;30;425;104;9;3;29;1;47;193;5;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;31;421;122;9;2;36;2;38;209;4;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;32;415;104;6;6;24;1;64;205;6;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;33;406;107;5;1;30;4;37;184;0;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;34;418;110;16;2;32;1;51;212;4;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;35;401;121;12;0;27;5;45;210;7;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;36;402;103;8;2;32;3;31;179;6;
582;Prévost;2018-10-01;G;Sainte-Sophie, m;1;;37;398;110;15;1;24;5;44;199;4;
