Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barnabé Eric P.C.Q./C.P.Q.;Bourque Sandrine Q.S.;Desrosiers André C.A.Q.-É.F.L.;Lapointe Jonathan P.L.Q./Q.L.P.;Ouellet Martin P.Q.;B.V.;B.R.;
906;René-Lévesque;2018-10-01;G;Baie-Trinité, vl;1;;1;191;0;12;47;9;40;108;1;
906;René-Lévesque;2018-10-01;G;Baie-Trinité, vl;1;;2;191;1;7;34;10;45;97;3;
906;René-Lévesque;2018-10-01;G;Godbout, vl;1;;3;226;0;12;29;13;37;91;4;
906;René-Lévesque;2018-10-01;G;Franquelin, m;1;;4;252;0;15;44;20;64;143;2;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;1;;5;356;1;7;48;20;92;168;5;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;1;;6;365;2;15;84;13;64;178;1;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;1;;7;339;0;9;41;12;103;165;3;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;1;;8;348;1;13;44;15;77;150;1;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;1;;9;362;1;15;59;4;71;150;1;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;1;;10;365;1;17;50;15;74;157;4;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;2;;11;378;2;16;50;9;87;164;4;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;2;;12;364;0;15;40;15;84;154;2;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;2;;13;364;2;12;57;11;81;163;1;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;2;;14;374;3;12;51;16;107;189;3;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;2;;15;365;2;20;46;20;96;184;4;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;2;;16;363;1;26;52;10;98;187;1;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;3;;17;316;1;15;42;12;61;131;1;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;3;;18;348;0;22;43;20;62;147;1;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;3;;19;385;0;20;44;11;98;173;1;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;3;;20;366;3;24;61;12;93;193;3;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;3;;21;341;2;14;51;10;61;138;1;
906;René-Lévesque;2018-10-01;G;Baie-Comeau, v;3;;22;323;0;21;24;10;68;123;0;
