Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Girard Julie C.P.Q.;Hebib Chafika P.V.Q./G.P.Q.;Huard Olivier Q.S.;Lacombe Pierre P.C.Q./C.P.Q.;Lavallée Lise C.A.Q.-É.F.L.;Therrien Emilie P.L.Q./Q.L.P.;Tremblay Eric P.Q.;B.V.;B.R.;
560;Repentigny;2018-10-01;G;Repentigny, v;5;;1;361;7;6;37;0;48;9;45;152;8;
560;Repentigny;2018-10-01;G;Repentigny, v;5;;2;338;2;1;24;3;82;18;40;170;2;
560;Repentigny;2018-10-01;G;Repentigny, v;5;;3;365;3;7;35;0;103;28;34;210;2;
560;Repentigny;2018-10-01;G;Repentigny, v;5;;4;372;3;3;29;0;87;24;56;202;6;
560;Repentigny;2018-10-01;G;Repentigny, v;5;;5;377;1;3;31;0;68;14;28;145;7;
560;Repentigny;2018-10-01;G;Repentigny, v;5;;6;368;1;0;15;1;75;19;33;144;1;
560;Repentigny;2018-10-01;G;Repentigny, v;6;;7;344;2;2;30;0;74;13;31;152;2;
560;Repentigny;2018-10-01;G;Repentigny, v;6;;8;401;2;3;49;0;122;23;35;234;1;
560;Repentigny;2018-10-01;G;Repentigny, v;6;;9;385;2;6;40;1;79;29;54;211;2;
560;Repentigny;2018-10-01;G;Repentigny, v;6;;10;384;2;6;32;2;102;35;49;228;2;
560;Repentigny;2018-10-01;G;Repentigny, v;6;;11;377;2;2;35;2;96;32;47;216;4;
560;Repentigny;2018-10-01;G;Repentigny, v;7;;12;381;3;3;34;2;104;23;34;203;2;
560;Repentigny;2018-10-01;G;Repentigny, v;7;;13;366;5;0;33;3;81;19;50;191;4;
560;Repentigny;2018-10-01;G;Repentigny, v;7;;14;378;1;3;48;1;101;12;40;206;5;
560;Repentigny;2018-10-01;G;Repentigny, v;7;;15;379;2;4;33;2;104;21;51;217;2;
560;Repentigny;2018-10-01;G;Repentigny, v;7;;16;374;2;3;44;1;108;16;42;216;0;
560;Repentigny;2018-10-01;G;Repentigny, v;7;;17;372;2;3;36;1;85;29;51;207;2;
560;Repentigny;2018-10-01;G;Repentigny, v;7;;18;383;2;1;43;0;113;22;63;244;2;
560;Repentigny;2018-10-01;G;Repentigny, v;7;;19;394;1;2;25;1;68;14;37;148;5;
560;Repentigny;2018-10-01;G;Repentigny, v;7;;20;392;1;3;48;2;80;23;36;193;1;
560;Repentigny;2018-10-01;G;Repentigny, v;7;;21;381;3;2;19;3;82;25;21;155;2;
560;Repentigny;2018-10-01;G;Repentigny, v;7;;22;411;1;0;14;0;91;39;23;168;0;
560;Repentigny;2018-10-01;G;Repentigny, v;8;;23A;238;1;1;9;1;47;15;23;97;0;
560;Repentigny;2018-10-01;G;Repentigny, v;8;;23B;233;1;3;13;0;67;5;21;110;7;
560;Repentigny;2018-10-01;G;Repentigny, v;8;;24;379;1;1;39;3;78;14;53;189;6;
560;Repentigny;2018-10-01;G;Repentigny, v;8;;25;366;2;3;30;1;103;20;35;194;1;
560;Repentigny;2018-10-01;G;Repentigny, v;8;;26;367;2;1;33;2;123;38;30;229;0;
560;Repentigny;2018-10-01;G;Repentigny, v;8;;27;385;3;5;40;1;100;16;44;209;8;
560;Repentigny;2018-10-01;G;Repentigny, v;8;;28;361;7;4;31;2;95;16;45;200;1;
560;Repentigny;2018-10-01;G;Repentigny, v;9;;29;396;1;0;41;3;109;28;38;220;0;
560;Repentigny;2018-10-01;G;Repentigny, v;9;;30;363;1;3;43;1;108;19;36;211;0;
560;Repentigny;2018-10-01;G;Repentigny, v;9;;31;369;2;1;30;1;88;27;51;200;4;
560;Repentigny;2018-10-01;G;Repentigny, v;9;;32;393;2;3;37;2;106;35;46;231;0;
560;Repentigny;2018-10-01;G;Repentigny, v;9;;33;382;2;5;42;1;101;31;59;241;2;
560;Repentigny;2018-10-01;G;Repentigny, v;9;;34;387;1;3;35;0;80;14;59;192;2;
560;Repentigny;2018-10-01;G;Repentigny, v;9;;35;394;3;3;35;2;101;27;43;214;1;
560;Repentigny;2018-10-01;G;Repentigny, v;9;;36;375;4;4;48;1;111;17;55;240;4;
560;Repentigny;2018-10-01;G;Repentigny, v;9;;37;358;3;3;42;3;108;18;28;205;1;
560;Repentigny;2018-10-01;G;Repentigny, v;10;;38;368;1;4;36;0;123;26;47;237;4;
560;Repentigny;2018-10-01;G;Repentigny, v;10;;39;369;4;1;27;3;119;26;37;217;5;
560;Repentigny;2018-10-01;G;Repentigny, v;10;;40;360;2;4;30;1;122;27;45;231;5;
560;Repentigny;2018-10-01;G;Repentigny, v;10;;41;367;2;3;41;0;112;31;32;221;5;
560;Repentigny;2018-10-01;G;Repentigny, v;10;;42;352;1;2;22;4;92;45;47;213;2;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;43;369;2;0;17;3;100;20;39;181;0;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;44;360;0;1;35;1;102;19;48;206;3;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;45;339;2;2;29;1;95;11;36;176;0;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;46A;238;3;2;15;0;62;23;38;143;1;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;46B;205;1;0;11;2;51;14;14;93;2;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;47;387;0;2;45;2;88;26;31;194;0;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;48;351;1;1;31;0;57;11;28;129;5;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;49;340;3;0;25;4;60;8;35;135;4;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;50;333;0;0;26;1;69;8;26;130;7;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;51;332;4;1;32;3;51;10;30;131;3;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;52;372;1;2;30;3;64;14;37;151;3;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;53;372;1;3;30;2;78;18;34;166;3;
560;Repentigny;2018-10-01;G;Repentigny, v;11;;54;275;1;1;14;0;50;6;15;87;4;
560;Repentigny;2018-10-01;G;Repentigny, v;12;;55;330;4;3;31;2;80;24;30;174;5;
560;Repentigny;2018-10-01;G;Repentigny, v;12;;56;341;0;2;28;2;99;31;29;191;3;
560;Repentigny;2018-10-01;G;Repentigny, v;12;;57;342;2;2;32;0;109;21;30;196;5;
560;Repentigny;2018-10-01;G;Repentigny, v;12;;58;364;0;1;34;2;57;12;31;137;7;
560;Repentigny;2018-10-01;G;Repentigny, v;12;;59;362;0;2;33;3;88;20;41;187;5;
560;Repentigny;2018-10-01;G;Repentigny, v;12;;60;356;4;5;33;0;95;25;37;199;4;
560;Repentigny;2018-10-01;G;Repentigny, v;12;;61;352;4;3;23;1;122;21;29;203;3;
560;Repentigny;2018-10-01;G;Repentigny, v;13;;62A;226;2;3;22;0;50;28;22;127;1;
560;Repentigny;2018-10-01;G;Repentigny, v;13;;62B;211;1;2;7;3;38;12;10;73;2;
560;Repentigny;2018-10-01;G;Repentigny, v;13;;63;380;2;4;36;2;121;21;48;234;7;
560;Repentigny;2018-10-01;G;Repentigny, v;13;;64;371;1;2;52;0;102;34;45;236;9;
560;Repentigny;2018-10-01;G;Repentigny, v;13;;65;344;2;3;35;1;89;35;43;208;2;
560;Repentigny;2018-10-01;G;Repentigny, v;13;;66;344;1;1;19;1;129;48;26;225;1;
560;Repentigny;2018-10-01;G;Repentigny, v;13;;67;360;2;1;28;2;77;20;37;167;0;
560;Repentigny;2018-10-01;G;Repentigny, v;13;;68;362;0;1;30;2;90;26;33;182;2;
560;Repentigny;2018-10-01;G;Repentigny, v;14;;69;343;3;2;34;6;71;19;24;159;3;
560;Repentigny;2018-10-01;G;Repentigny, v;14;;70;321;7;3;35;2;62;14;29;152;3;
560;Repentigny;2018-10-01;G;Repentigny, v;14;;71;334;0;6;42;1;85;16;38;188;1;
560;Repentigny;2018-10-01;G;Repentigny, v;14;;72;316;0;6;27;3;74;20;47;177;4;
