Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chevalier Sophie P.L.Q./Q.L.P.;Corriveau Patrick P.C.Q./C.P.Q.;Emond Jean-Bernard C.A.Q.-É.F.L.;Pagé Sabourin Sophie Q.S.;Rochon Sylvain P.Q.;Svetoushkina Ksenia P.V.Q./G.P.Q.;B.V.;B.R.;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;1;;1;385;12;0;39;20;25;8;104;4;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;1;;2;389;14;0;36;22;29;1;102;6;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;1;;3;354;4;1;40;20;27;1;93;0;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;2;;4;406;3;0;47;11;39;0;100;9;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;2;;5;376;9;2;42;19;21;2;95;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;2;;6;372;5;1;40;18;26;1;91;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;2;;7;341;14;2;81;21;30;1;149;4;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;2;;8;367;12;1;69;18;26;2;128;0;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;2;;9;343;12;0;76;39;27;2;156;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;2;;10;359;13;2;72;33;48;2;170;5;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;2;;11;379;15;1;38;17;30;1;102;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;2;;12;368;18;2;57;16;33;0;126;2;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;2;;13;345;6;1;39;20;25;2;93;2;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;3;;14;337;8;2;55;16;21;3;105;4;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;3;;15;346;10;3;53;17;28;5;116;2;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;3;;16;352;11;0;64;18;26;0;119;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;3;;17;338;15;0;84;18;25;1;143;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;3;;18;322;12;3;61;19;28;3;126;6;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;3;;19;348;15;3;56;24;41;1;140;5;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;3;;20;368;10;2;77;19;30;1;139;2;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;3;;21;366;17;3;92;19;36;1;168;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;3;;22;328;14;2;83;23;35;3;160;6;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;3;;23;343;16;0;81;15;44;1;157;0;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;24;344;10;2;92;23;22;0;149;6;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;25;345;15;2;91;26;42;2;178;0;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;26;335;14;5;99;14;43;2;177;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;27;329;14;0;84;13;23;0;134;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;28;345;7;5;93;19;37;4;165;6;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;29;410;11;1;129;22;38;6;207;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;30;375;12;2;84;21;47;2;168;0;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;31;359;9;1;100;23;39;2;174;5;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;32;314;15;2;88;19;28;2;154;2;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;33A;287;19;1;80;19;38;4;161;0;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;33B;292;14;1;88;7;22;0;132;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;34;334;10;0;86;20;46;2;164;2;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;35;323;20;0;81;25;33;0;159;5;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;36;333;17;4;98;24;31;1;175;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;37;345;28;2;93;27;38;4;192;8;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;38;369;13;1;111;34;28;3;190;2;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;4;;39;319;19;1;80;22;61;4;187;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;5;;40;403;15;1;127;30;51;1;225;2;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;5;;41;372;12;2;130;26;41;4;215;7;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;5;;42;385;7;2;158;27;40;2;236;7;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;5;;43;397;26;2;92;26;44;1;191;6;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;5;;44;414;13;2;109;35;46;5;210;6;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;5;;45;356;27;1;99;39;35;2;203;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;5;;46;363;10;3;98;14;33;0;158;7;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;5;;47;389;20;2;75;26;35;4;162;8;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;5;;48;385;11;1;69;17;48;5;151;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;5;;49;411;23;1;95;28;48;3;198;5;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;6;;50;358;16;3;67;24;43;3;156;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;6;;51;344;13;2;97;30;50;4;196;0;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;6;;52;366;19;0;87;29;35;1;171;5;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;6;;53;345;23;3;67;35;35;2;165;4;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;6;;54;360;19;1;104;27;37;4;192;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;6;;55;345;13;1;94;24;44;2;178;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;6;;56;397;29;0;69;25;30;0;153;2;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;7;;57;361;25;3;70;27;41;4;170;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;7;;58;348;18;2;112;25;41;7;205;4;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;7;;59;417;20;0;70;31;29;1;151;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;7;;60;357;26;3;119;36;39;4;227;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;7;;61;351;12;3;91;30;27;5;168;0;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;7;;62;425;26;6;122;37;28;2;221;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;7;;63;332;36;2;84;20;40;4;186;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;8;;64;375;21;0;88;45;49;1;204;1;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;8;;65;344;17;1;100;25;50;2;195;6;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;8;;66;322;14;1;62;17;19;2;115;0;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;8;;67;357;17;3;61;12;20;2;115;4;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;8;;68;335;7;3;67;23;29;3;132;2;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;8;;69;340;16;0;74;32;45;2;169;2;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;8;;70;361;14;4;75;18;31;0;142;4;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;8;;71;361;9;2;71;20;24;4;130;6;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;9;;72;381;25;2;95;26;46;5;199;6;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;9;;73;335;9;2;65;25;26;4;131;4;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;9;;74;367;9;1;66;22;32;6;136;5;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;9;;75;385;8;5;40;16;35;3;107;3;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;9;;76;353;15;3;41;16;25;4;104;6;
264;Richelieu;2018-10-01;G;Sorel-Tracy, v;9;;77;411;9;1;59;19;27;4;119;3;
264;Richelieu;2018-10-01;G;Saint-Joseph-de-Sorel, v;1;;78;312;11;4;69;18;19;3;124;3;
264;Richelieu;2018-10-01;G;Saint-Joseph-de-Sorel, v;1;;79;326;5;8;45;23;39;2;122;5;
264;Richelieu;2018-10-01;G;Saint-Joseph-de-Sorel, v;1;;80;306;16;1;70;22;45;5;159;2;
264;Richelieu;2018-10-01;G;Saint-Joseph-de-Sorel, v;1;;81;333;11;2;46;18;34;1;112;6;
264;Richelieu;2018-10-01;G;Sainte-Anne-de-Sorel, m;1;;82;374;28;0;119;21;38;3;209;4;
264;Richelieu;2018-10-01;G;Sainte-Anne-de-Sorel, m;1;;83;388;16;4;133;22;46;2;223;1;
