Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bachand André C.A.Q.-É.F.L.;Brousseau Karl P.C.Q./C.P.Q.;Gendron Déitane C.P.Q.;Godbout Annie P.L.Q./Q.L.P.;La Madeleine Yves P.V.Q./G.P.Q.;Landry Colombe Q.S.;Vigneault Véronique P.Q.;B.V.;B.R.;
132;Richmond;2018-10-01;G;Ulverton, m;1;;1;344;80;5;2;47;2;50;43;229;1;
132;Richmond;2018-10-01;G;Melbourne, ct;1;;2;288;54;3;4;63;3;21;22;170;1;
132;Richmond;2018-10-01;G;Melbourne, ct;1;;3;285;45;2;2;50;5;30;31;165;4;
132;Richmond;2018-10-01;G;Melbourne, ct;1;;4;286;44;2;2;53;2;38;21;162;1;
132;Richmond;2018-10-01;G;Kingsbury, vl;1;;5;103;13;0;0;18;1;17;17;66;1;
132;Richmond;2018-10-01;G;Richmond, v;1;;6;356;57;6;0;40;1;32;19;155;2;
132;Richmond;2018-10-01;G;Richmond, v;1;;7;344;58;2;1;28;1;20;28;138;1;
132;Richmond;2018-10-01;G;Richmond, v;1;;8;354;29;5;0;51;1;22;27;135;3;
132;Richmond;2018-10-01;G;Richmond, v;1;;9;365;62;2;4;28;3;26;22;147;3;
132;Richmond;2018-10-01;G;Richmond, v;1;;10;353;60;5;0;75;4;21;21;186;4;
132;Richmond;2018-10-01;G;Richmond, v;1;;11;355;44;8;2;56;6;24;21;161;3;
132;Richmond;2018-10-01;G;Richmond, v;1;;12;345;51;2;2;83;4;19;20;181;3;
132;Richmond;2018-10-01;G;Cleveland, ct;1;;13;377;65;2;1;75;5;20;25;193;2;
132;Richmond;2018-10-01;G;Cleveland, ct;1;;14;370;72;5;3;61;2;31;17;191;0;
132;Richmond;2018-10-01;G;Cleveland, ct;1;;15;368;61;3;0;49;3;43;30;189;3;
132;Richmond;2018-10-01;G;Saint-Claude, m;1;;16;302;52;4;0;26;5;37;39;163;4;
132;Richmond;2018-10-01;G;Saint-Claude, m;1;;17;296;62;0;0;16;4;40;34;156;1;
132;Richmond;2018-10-01;G;Saint-Claude, m;1;;18;306;65;3;0;13;2;25;45;153;1;
132;Richmond;2018-10-01;G;Saint-Georges-de-Windsor, m;1;;19;350;82;5;0;26;5;44;51;213;0;
132;Richmond;2018-10-01;G;Saint-Georges-de-Windsor, m;1;;20;360;106;1;0;56;5;32;32;232;6;
132;Richmond;2018-10-01;G;Danville, v;1;;21;388;110;2;0;29;1;22;40;204;3;
132;Richmond;2018-10-01;G;Danville, v;1;;22;392;78;3;0;17;1;28;28;155;3;
132;Richmond;2018-10-01;G;Danville, v;1;;23;388;53;6;0;57;0;26;38;180;6;
132;Richmond;2018-10-01;G;Danville, v;1;;24;369;58;5;0;29;6;25;33;156;4;
132;Richmond;2018-10-01;G;Danville, v;1;;25;385;39;4;0;33;2;25;37;140;3;
132;Richmond;2018-10-01;G;Danville, v;1;;26;390;65;5;1;29;3;34;31;168;3;
132;Richmond;2018-10-01;G;Danville, v;1;;27;390;82;1;4;35;5;25;28;180;5;
132;Richmond;2018-10-01;G;Danville, v;1;;28;380;76;1;4;45;0;28;35;189;6;
132;Richmond;2018-10-01;G;Asbestos, v;1;;29;389;75;3;1;20;3;30;27;159;2;
132;Richmond;2018-10-01;G;Asbestos, v;1;;30;366;75;1;2;30;1;22;31;162;3;
132;Richmond;2018-10-01;G;Asbestos, v;1;;31;392;105;1;2;27;0;27;32;194;0;
132;Richmond;2018-10-01;G;Asbestos, v;1;;32;399;80;1;6;23;2;30;51;193;1;
132;Richmond;2018-10-01;G;Asbestos, v;1;;33;385;95;3;1;30;0;14;20;163;1;
132;Richmond;2018-10-01;G;Asbestos, v;1;;34;386;88;2;1;29;3;35;24;182;3;
132;Richmond;2018-10-01;G;Asbestos, v;1;;35;392;82;4;3;32;1;24;32;178;0;
