Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Denis Ind;Kack Carol-Ann Q.S.;Laroche Claude P.L.Q./Q.L.P.;Lebel Harold P.Q.;Levesque Dany B.P.;Levesque Nancy C.A.Q.-É.F.L.;Plourde Alexie P.V.Q./G.P.Q.;B.V.;B.R.;
838;Rimouski;2018-10-01;G;Saint-Fabien, p;1;;1;350;0;27;28;64;0;70;1;190;1;
838;Rimouski;2018-10-01;G;Saint-Fabien, p;1;;2;357;1;29;34;88;0;50;0;202;1;
838;Rimouski;2018-10-01;G;Saint-Fabien, p;1;;3;350;2;24;27;82;1;41;2;179;2;
838;Rimouski;2018-10-01;G;Saint-Fabien, p;1;;4;360;2;30;27;86;1;51;2;199;2;
838;Rimouski;2018-10-01;G;Saint-Eugène-de-Ladrière, p;1;;5;329;0;15;28;95;2;36;2;178;2;
838;Rimouski;2018-10-01;G;Esprit-Saint, m;1;;6;302;0;21;17;119;0;30;0;187;0;
838;Rimouski;2018-10-01;G;Lac-Huron, no;1;Regr. BVO-119;7;14;0;0;0;0;0;0;0;0;0;
838;Rimouski;2018-10-01;G;La Trinité-des-Monts, p;1;;8;196;0;10;5;79;0;24;0;118;0;
838;Rimouski;2018-10-01;G;Saint-Narcisse-de-Rimouski, p;1;;9;401;0;29;21;100;1;62;0;213;3;
838;Rimouski;2018-10-01;G;Saint-Narcisse-de-Rimouski, p;1;;10;406;2;28;21;129;2;44;1;227;3;
838;Rimouski;2018-10-01;G;Saint-Valérien, p;1;;11;333;0;33;14;88;1;46;1;183;0;
838;Rimouski;2018-10-01;G;Saint-Valérien, p;1;;12;349;0;33;20;79;3;55;2;192;0;
838;Rimouski;2018-10-01;G;Rimouski, v;1;;13;399;0;52;23;113;1;38;2;229;6;
838;Rimouski;2018-10-01;G;Rimouski, v;1;;14;386;0;56;23;121;1;42;2;245;3;
838;Rimouski;2018-10-01;G;Rimouski, v;1;;15;383;1;54;26;105;1;28;2;217;1;
838;Rimouski;2018-10-01;G;Rimouski, v;1;;16;395;0;34;24;109;0;51;2;220;2;
838;Rimouski;2018-10-01;G;Rimouski, v;1;;17;389;0;33;13;68;0;56;2;172;0;
838;Rimouski;2018-10-01;G;Rimouski, v;1;;18;388;0;33;14;97;0;50;2;196;4;
838;Rimouski;2018-10-01;G;Rimouski, v;2;;19;393;1;28;30;113;0;35;0;207;3;
838;Rimouski;2018-10-01;G;Rimouski, v;2;;20;381;1;26;32;88;1;46;5;199;1;
838;Rimouski;2018-10-01;G;Rimouski, v;2;;21;388;0;42;36;91;2;45;0;216;1;
838;Rimouski;2018-10-01;G;Rimouski, v;2;;22;371;1;34;30;96;0;47;3;211;1;
838;Rimouski;2018-10-01;G;Rimouski, v;2;;23;384;0;42;27;132;1;42;1;245;1;
838;Rimouski;2018-10-01;G;Rimouski, v;2;;24;399;2;38;26;108;0;54;4;232;1;
838;Rimouski;2018-10-01;G;Rimouski, v;2;;25;388;2;29;25;83;1;63;1;204;3;
838;Rimouski;2018-10-01;G;Rimouski, v;2;;26;375;2;29;29;103;0;53;2;218;3;
838;Rimouski;2018-10-01;G;Rimouski, v;2;;27A;201;0;22;10;46;0;26;2;106;1;
838;Rimouski;2018-10-01;G;Rimouski, v;2;;27B;235;2;18;14;67;0;32;0;133;3;
