Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cadôret Goulimine Sylvie Q.S.;Couture Vincent P.Q.;D'Amour Jean P.L.Q./Q.L.P.;Perron Martin P.C.Q./C.P.Q.;Tardif Denis C.A.Q.-É.F.L.;B.V.;B.R.;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Notre-Dame-du-Portage, m;1;;1;327;29;29;53;1;74;186;4;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Notre-Dame-du-Portage, m;1;;2;328;32;45;57;2;55;191;4;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Notre-Dame-du-Portage, m;1;;3;326;26;36;73;0;58;193;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;;4;388;13;11;61;3;49;137;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;;5;371;11;16;37;0;48;112;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;;6;381;18;13;60;0;65;156;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;;7;387;10;13;46;1;38;108;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;;8;392;11;13;69;0;77;170;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;;9;381;18;25;60;1;58;162;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;;10;376;19;26;61;2;49;157;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;;11;365;17;32;73;4;63;189;4;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;;12;394;29;29;61;4;80;203;4;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;;13;395;19;19;90;2;67;197;4;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;2;;14;344;19;23;62;2;85;191;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;2;;15;361;16;23;67;1;72;179;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;2;;16;346;26;29;35;1;55;146;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;2;;17;353;33;29;48;1;72;183;10;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;2;;18;341;24;19;44;0;33;120;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;2;;19;350;21;26;37;1;50;135;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;3;;20;359;32;25;42;4;52;155;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;3;;21;382;19;23;42;4;53;141;5;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;3;;22;378;12;26;66;0;68;172;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;3;;23;373;17;16;55;0;68;156;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;3;;24;368;32;28;60;3;46;169;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;3;;25;370;23;30;59;1;51;164;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;4;;26;344;19;28;59;1;51;158;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;4;;27;351;12;16;67;2;69;166;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;4;;28;349;13;30;66;2;68;179;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;4;;29;349;18;34;64;1;72;189;4;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;4;;30;345;19;38;61;2;83;203;5;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;4;;31;349;13;25;61;4;84;187;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;4;;32;358;19;44;62;3;49;177;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;4;;33;356;20;24;45;1;86;176;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;5;;34;387;22;25;62;1;87;197;8;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;5;;35;364;21;15;50;0;55;141;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;5;;36;373;21;32;72;2;91;218;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;5;;37;379;24;33;60;4;114;235;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;5;;38;369;24;31;77;3;74;209;6;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;5;;39;378;11;23;50;3;113;200;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;5;;40;361;16;24;49;5;73;167;4;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;5;;41;382;17;27;64;1;75;184;9;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;5;;42;392;31;21;54;3;77;186;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;5;;43;393;23;29;55;2;97;206;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;5;;44;376;14;15;70;1;84;184;7;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Saint-Antonin, m;1;;45;402;29;35;70;1;99;234;5;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Saint-Antonin, m;1;;46;407;12;31;51;1;104;199;5;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Saint-Antonin, m;1;;47;393;21;26;74;2;98;221;4;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Saint-Antonin, m;1;;48;386;21;23;67;3;79;193;4;
