Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Azéroual Laura C.A.Q.-É.F.L.;Brown Luca N.P.D.Q.;Coppa Michael-Louis P.C.Q./C.P.Q.;Leitão Carlos J. P.L.Q./Q.L.P.;Pierre-Lys Marie-Imalta P.Q.;Richardson Catherine P.V.Q./G.P.Q.;Williams Zachary Q.S.;B.V.;B.R.;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;14;;1;366;29;3;6;112;11;3;13;177;1;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;14;;2;359;26;3;5;135;10;9;13;201;3;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;14;;3;366;21;6;5;116;7;6;18;179;1;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;14;;4;377;17;6;7;155;6;1;10;202;2;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;14;;5;368;21;7;8;183;3;10;5;237;0;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;14;;6;362;20;8;9;134;5;6;17;199;2;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;14;;7;353;19;4;4;147;3;3;7;187;2;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;14;;8;365;13;5;7;87;1;2;5;120;0;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;14;;9;372;18;3;1;76;3;5;8;114;4;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;15;;10;354;17;2;8;75;11;3;3;119;2;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;15;;11;358;17;0;2;72;4;1;2;98;2;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;15;;12;365;21;0;2;140;8;2;7;180;1;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;15;;13;342;22;2;3;102;9;6;5;149;1;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;15;;14;358;18;3;3;118;1;4;5;152;0;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;15;;15;368;16;4;3;100;6;5;4;138;4;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;15;;16;354;12;6;3;109;2;3;5;140;1;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;16;;17;407;16;2;2;86;2;3;7;118;0;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;16;;18;410;8;3;3;81;5;8;10;118;2;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;16;;19;389;27;4;3;92;9;2;8;145;1;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;16;;20;391;32;3;2;75;11;3;10;136;2;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;16;;21;377;22;0;2;60;4;2;5;95;1;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;16;;22;392;29;7;4;82;9;4;5;140;4;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;16;;23;398;23;4;6;68;13;5;18;137;1;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;17;;24;379;23;5;6;80;8;7;11;140;1;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;17;;25;370;19;2;4;85;13;11;14;148;3;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;17;;26;375;24;2;3;87;9;3;7;135;2;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;17;;27;363;44;3;12;78;13;9;17;176;2;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;17;;28;363;21;1;7;91;16;3;19;158;2;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;17;;29;379;26;5;2;74;14;6;25;152;2;
316;Robert-Baldwin;2018-10-01;G;Montréal, v;18;;30;399;31;6;4;91;10;4;21;167;0;
