Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boucher Julie C.P.Q.;Cauchon Luc-Antoine Q.S.;Couillard Philippe P.L.Q./Q.L.P.;Gaudreault Thomas P.Q.;Lalancette Lynda P.N.;Lamontagne Carl P.C.Q./C.P.Q.;Trudel Denise C.A.Q.-É.F.L.;B.V.;B.R.
930;Roberval;2018-10-01;G;Lac-Bouchette, m;1;;1;322;1;13;46;28;3;4;62;157;2
930;Roberval;2018-10-01;G;Lac-Bouchette, m;1;;2;324;1;17;75;25;1;2;48;169;2
930;Roberval;2018-10-01;G;Lac-Bouchette, m;1;;3;327;1;18;48;28;1;2;50;148;3
930;Roberval;2018-10-01;G;Saint-André-du-Lac-Saint-Jean, vl;1;;4;393;5;23;97;30;2;3;45;205;1
930;Roberval;2018-10-01;G;Saint-François-de-Sales, m;1;;5;266;1;17;63;35;1;2;37;156;3
930;Roberval;2018-10-01;G;Saint-François-de-Sales, m;1;;6;267;0;17;40;42;2;0;41;142;1
930;Roberval;2018-10-01;G;Chambord, m;1;;7;319;2;10;53;30;2;1;44;142;4
930;Roberval;2018-10-01;G;Chambord, m;1;;8;351;2;16;63;25;0;3;63;172;2
930;Roberval;2018-10-01;G;Chambord, m;1;;9;340;0;18;84;29;2;3;40;176;2
930;Roberval;2018-10-01;G;Chambord, m;1;;10;355;0;20;64;52;0;1;45;182;3
930;Roberval;2018-10-01;G;Roberval, v;1;;11;383;6;28;48;41;0;2;35;160;3
930;Roberval;2018-10-01;G;Roberval, v;1;;12;368;4;31;59;35;3;1;33;166;4
930;Roberval;2018-10-01;G;Roberval, v;1;;13;369;1;23;65;30;2;1;33;155;3
930;Roberval;2018-10-01;G;Roberval, v;1;;14;371;0;20;65;21;0;0;34;140;4
930;Roberval;2018-10-01;G;Roberval, v;1;;15;393;1;25;47;22;2;2;40;139;5
930;Roberval;2018-10-01;G;Roberval, v;1;;16;386;2;22;57;39;2;3;19;144;3
930;Roberval;2018-10-01;G;Roberval, v;1;;17;369;2;31;71;22;0;2;51;179;1
930;Roberval;2018-10-01;G;Roberval, v;2;;18;377;1;27;46;31;0;3;35;143;2
930;Roberval;2018-10-01;G;Roberval, v;2;;19;360;2;25;60;27;0;1;30;145;3
930;Roberval;2018-10-01;G;Roberval, v;2;;20;355;1;19;52;19;3;2;38;134;3
930;Roberval;2018-10-01;G;Roberval, v;2;;21;346;1;17;59;27;1;2;36;143;2
930;Roberval;2018-10-01;G;Roberval, v;2;;22;350;1;13;74;30;3;1;30;152;1
930;Roberval;2018-10-01;G;Roberval, v;2;;23;353;1;25;45;29;0;1;31;132;1
