Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ayala Paulina N.P.D.Q.;Chénier Stéphane P.M.L.Q.;Cormier Sonya C.A.Q.-É.F.L.;Dubois Karl P.V.Q./G.P.Q.;Laperrière Coralie B.P.;La Rosa Agata P.L.Q./Q.L.P.;Liendo Alexandra P.C.Q./C.P.Q.;Lisée Jean-François P.Q.;Marissal Vincent Q.S.;Raymond-Poirier Catherine P.N.;B.V.;B.R.;
356;Rosemont;2018-10-01;G;Montréal, v;308;;1;416;1;1;12;4;0;13;0;22;37;0;90;4;
356;Rosemont;2018-10-01;G;Montréal, v;308;;2;371;1;0;37;2;0;22;1;55;60;1;179;1;
356;Rosemont;2018-10-01;G;Montréal, v;308;;3;370;2;0;18;4;0;35;0;45;52;1;157;2;
356;Rosemont;2018-10-01;G;Montréal, v;308;;4;369;1;0;17;3;3;17;0;47;110;3;201;3;
356;Rosemont;2018-10-01;G;Montréal, v;308;;5;357;1;0;26;2;1;20;1;71;78;0;200;3;
356;Rosemont;2018-10-01;G;Montréal, v;308;;6;346;7;1;25;4;0;38;3;51;71;3;203;3;
356;Rosemont;2018-10-01;G;Montréal, v;308;;7;403;2;0;28;6;0;30;3;75;88;1;233;0;
356;Rosemont;2018-10-01;G;Montréal, v;308;;8;370;2;1;51;6;1;67;1;77;71;5;282;2;
356;Rosemont;2018-10-01;G;Montréal, v;308;;9;353;3;0;30;1;0;33;1;53;85;2;208;0;
356;Rosemont;2018-10-01;G;Montréal, v;308;;10;361;0;0;9;3;1;38;4;40;82;1;178;2;
356;Rosemont;2018-10-01;G;Montréal, v;308;;11;354;2;0;30;5;0;34;0;65;68;2;206;1;
356;Rosemont;2018-10-01;G;Montréal, v;308;;12;352;1;1;30;3;0;44;1;73;48;1;202;2;
356;Rosemont;2018-10-01;G;Montréal, v;308;;13;352;1;0;24;3;0;40;3;44;53;1;169;3;
356;Rosemont;2018-10-01;G;Montréal, v;308;;14;362;2;0;23;1;1;18;0;57;88;2;192;1;
356;Rosemont;2018-10-01;G;Montréal, v;308;;15;375;1;0;32;4;3;26;2;48;76;3;195;0;
356;Rosemont;2018-10-01;G;Montréal, v;309;;16;341;4;1;19;5;0;21;1;38;51;1;141;3;
356;Rosemont;2018-10-01;G;Montréal, v;309;;17;325;2;0;22;2;0;24;2;35;50;0;137;1;
356;Rosemont;2018-10-01;G;Montréal, v;309;;18;339;0;0;29;3;0;20;1;48;54;0;155;2;
356;Rosemont;2018-10-01;G;Montréal, v;309;;19;345;3;0;31;7;0;33;0;49;58;2;183;3;
356;Rosemont;2018-10-01;G;Montréal, v;310;;20;350;1;0;31;2;0;33;4;44;75;0;190;0;
356;Rosemont;2018-10-01;G;Montréal, v;310;;21;372;0;0;27;4;1;27;2;35;89;2;187;2;
356;Rosemont;2018-10-01;G;Montréal, v;310;;22;348;2;1;27;2;1;22;0;74;57;0;186;3;
356;Rosemont;2018-10-01;G;Montréal, v;310;;23;353;3;0;33;0;0;49;1;39;70;0;195;5;
356;Rosemont;2018-10-01;G;Montréal, v;310;;24;353;2;0;22;4;1;33;1;24;60;3;150;4;
356;Rosemont;2018-10-01;G;Montréal, v;310;;25;356;1;0;27;1;2;17;0;52;82;2;184;4;
356;Rosemont;2018-10-01;G;Montréal, v;310;;26;350;1;0;27;4;0;25;1;62;62;1;183;3;
356;Rosemont;2018-10-01;G;Montréal, v;311;;27;399;1;0;19;1;1;15;0;41;62;3;143;4;
356;Rosemont;2018-10-01;G;Montréal, v;311;;28;382;0;2;23;2;1;46;1;51;70;0;196;2;
356;Rosemont;2018-10-01;G;Montréal, v;311;;29;388;4;0;38;4;0;19;2;61;77;2;207;2;
356;Rosemont;2018-10-01;G;Montréal, v;311;;30;396;1;1;28;7;0;26;1;56;84;1;205;4;
356;Rosemont;2018-10-01;G;Montréal, v;311;;31;397;2;0;28;9;1;31;1;48;81;2;203;1;
356;Rosemont;2018-10-01;G;Montréal, v;311;;32;391;1;1;29;7;1;22;0;38;80;0;179;2;
356;Rosemont;2018-10-01;G;Montréal, v;311;;33;374;0;0;29;1;1;19;0;41;89;2;182;4;
356;Rosemont;2018-10-01;G;Montréal, v;311;;34;359;1;0;26;2;0;44;3;43;69;0;188;0;
356;Rosemont;2018-10-01;G;Montréal, v;311;;35;397;3;1;25;1;1;35;0;44;76;1;187;4;
356;Rosemont;2018-10-01;G;Montréal, v;311;;36;398;3;1;38;5;2;21;1;59;70;4;204;6;
356;Rosemont;2018-10-01;G;Montréal, v;312;;37;384;2;0;13;2;1;15;2;55;90;0;180;4;
356;Rosemont;2018-10-01;G;Montréal, v;312;;38;396;1;0;18;5;1;27;2;50;77;3;184;3;
356;Rosemont;2018-10-01;G;Montréal, v;312;;39;412;2;0;23;5;0;22;0;64;82;2;200;2;
356;Rosemont;2018-10-01;G;Montréal, v;312;;40;387;0;1;20;1;0;42;0;44;62;0;170;0;
356;Rosemont;2018-10-01;G;Montréal, v;312;;41;408;2;0;29;4;1;12;2;59;92;2;203;1;
356;Rosemont;2018-10-01;G;Montréal, v;312;;42;374;2;0;24;3;3;28;0;42;92;2;196;4;
356;Rosemont;2018-10-01;G;Montréal, v;312;;43;381;0;0;15;2;0;10;2;58;98;3;188;3;
356;Rosemont;2018-10-01;G;Montréal, v;312;;44;385;1;0;26;2;1;23;0;51;112;1;217;1;
