Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dubé Hélène Q.S.;Evanko Richard P.C.Q./C.P.Q.;Lacasse Michel C.P.Q.;Marceau Nicolas P.Q.;Thouin Louis-Charles C.A.Q.-É.F.L.;Watson Patrick P.L.Q./Q.L.P.;B.V.;B.R.;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;1A;229;12;0;0;30;43;5;90;1;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;1B;199;15;0;0;16;34;1;66;1;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;2;420;47;4;2;44;121;9;227;5;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;3;396;30;1;1;53;84;9;178;3;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;4;402;19;0;3;40;95;11;168;7;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;5;393;23;1;1;46;65;7;143;3;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;6;383;36;0;1;48;91;8;184;1;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;7;402;28;7;1;53;87;6;182;6;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;8;418;30;2;2;63;96;8;201;2;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;9;403;26;5;1;41;112;8;193;7;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;10;421;35;4;2;66;128;5;240;2;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;11;377;30;0;3;41;82;6;162;4;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;12;390;20;1;3;29;75;2;130;6;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;13;400;29;4;1;55;75;6;170;3;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;14;391;16;4;0;40;88;5;153;5;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;15;397;24;2;7;49;105;3;190;8;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;16;410;22;3;3;39;113;13;193;11;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;17;398;16;3;2;49;103;5;178;1;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;18;404;24;2;0;37;78;6;147;3;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;19;412;32;4;6;49;95;12;198;2;
576;Rousseau;2018-10-01;G;Sainte-Julienne, m;1;;20;413;28;0;2;53;96;14;193;1;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;21;402;16;2;0;35;96;10;159;4;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;22;396;19;0;2;34;81;5;141;5;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;23;390;15;0;3;52;75;18;163;4;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;24;392;14;2;4;33;81;9;143;1;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;25;382;13;0;7;29;98;4;151;3;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;26;382;19;1;1;27;77;5;130;1;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;27;403;13;2;2;26;117;5;165;2;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;28;397;16;1;4;39;91;13;164;3;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;29;388;19;1;1;45;88;4;158;5;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;30;410;27;1;3;31;95;8;165;4;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;31;385;26;2;1;35;109;9;182;8;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;32;394;22;3;2;27;93;6;153;1;
576;Rousseau;2018-10-01;G;Saint-Calixte, m;1;;33;401;25;6;2;52;93;8;186;2;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;34;370;29;0;1;34;88;7;159;4;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;35;395;19;3;3;43;116;8;192;2;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;36;390;27;3;5;53;100;9;197;12;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;37;381;30;4;2;35;104;11;186;7;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;38;391;29;2;1;31;86;10;159;0;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;39;392;11;0;4;46;94;10;165;0;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;40;387;16;1;4;27;78;8;134;4;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;41;399;26;6;7;41;92;13;185;7;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;42;382;20;0;0;43;85;12;160;6;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;43;398;22;1;2;28;123;15;191;6;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;44;390;18;0;0;37;89;5;149;1;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;45;399;15;1;1;39;95;6;157;4;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;46;410;12;2;0;12;77;6;109;5;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;47;389;18;3;2;43;101;8;175;3;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;1;;48;392;10;2;2;47;91;5;157;5;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;49;389;19;5;2;31;123;5;185;2;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;50;412;25;0;1;61;94;8;189;9;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;51;409;24;1;2;42;116;5;190;5;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;52;410;34;4;1;46;108;7;200;6;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;53;393;26;4;2;37;122;6;197;8;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;54;403;23;2;5;32;95;15;172;0;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;55;417;32;2;2;50;130;14;230;5;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;56;422;40;4;2;45;115;5;211;7;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;57;411;19;6;4;64;127;11;231;8;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;58;401;30;3;2;49;71;3;158;7;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;59;405;32;2;4;38;84;7;167;3;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;60A;215;11;1;1;25;61;5;104;1;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;60B;215;27;4;1;31;54;6;123;0;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;61;407;24;2;3;38;107;13;187;10;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;62A;239;27;1;2;28;61;4;123;4;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;62B;208;4;0;0;14;51;2;71;2;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;63;389;40;3;3;47;125;8;226;3;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;64;421;37;3;7;59;118;9;233;4;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;65;398;24;4;1;79;115;8;231;0;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;66;410;30;2;1;42;114;10;199;1;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;67;387;33;2;2;66;95;2;200;8;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;68A;229;23;2;1;26;65;0;117;5;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;68B;234;11;5;3;32;65;7;123;2;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;69;403;24;3;2;40;103;7;179;4;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;70;415;42;2;0;65;120;7;236;4;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;71;418;25;3;2;37;129;7;203;10;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;72;384;20;0;5;52;124;10;211;1;
576;Rousseau;2018-10-01;G;Saint-Lin--Laurentides, v;2;;73;406;27;2;1;54;112;11;207;7;
576;Rousseau;2018-10-01;G;Saint-Roch-Ouest, m;1;;74;213;14;0;1;38;61;13;127;2;
576;Rousseau;2018-10-01;G;Saint-Roch-de-l'Achigan, m;1;;75;373;18;2;2;36;104;22;184;3;
576;Rousseau;2018-10-01;G;Saint-Roch-de-l'Achigan, m;1;;76;409;37;3;5;51;120;4;220;2;
576;Rousseau;2018-10-01;G;Saint-Roch-de-l'Achigan, m;1;;77;380;46;1;5;47;105;2;206;2;
576;Rousseau;2018-10-01;G;Saint-Roch-de-l'Achigan, m;1;;78;384;34;0;2;52;110;10;208;4;
576;Rousseau;2018-10-01;G;Saint-Roch-de-l'Achigan, m;1;;79;390;25;1;0;75;83;11;195;5;
576;Rousseau;2018-10-01;G;Saint-Roch-de-l'Achigan, m;1;;80;391;33;2;1;69;122;7;234;0;
576;Rousseau;2018-10-01;G;Saint-Roch-de-l'Achigan, m;1;;81;389;23;4;1;70;97;18;213;8;
576;Rousseau;2018-10-01;G;Saint-Roch-de-l'Achigan, m;1;;82;377;31;0;1;61;110;7;210;5;
576;Rousseau;2018-10-01;G;Saint-Roch-de-l'Achigan, m;1;;83;395;22;0;2;69;102;2;197;5;
576;Rousseau;2018-10-01;G;Saint-Roch-de-l'Achigan, m;1;;84;419;38;4;0;66;124;10;242;3;
576;Rousseau;2018-10-01;G;Saint-Esprit, m;1;;85;388;25;2;0;56;155;14;252;3;
576;Rousseau;2018-10-01;G;Saint-Esprit, m;1;;86;387;36;1;4;49;92;13;195;10;
576;Rousseau;2018-10-01;G;Saint-Esprit, m;1;;87;406;21;1;0;53;125;11;211;3;
576;Rousseau;2018-10-01;G;Saint-Esprit, m;1;;88;402;18;2;2;34;129;19;204;8;
576;Rousseau;2018-10-01;G;Saint-Alexis, m;1;;89;346;30;3;3;57;87;8;188;3;
576;Rousseau;2018-10-01;G;Saint-Alexis, m;1;;90;374;60;1;4;62;114;11;252;2;
576;Rousseau;2018-10-01;G;Saint-Alexis, m;1;;91;354;28;2;5;80;94;16;225;2;
576;Rousseau;2018-10-01;G;Saint-Jacques, m;1;;92;391;38;1;3;80;77;14;213;11;
576;Rousseau;2018-10-01;G;Saint-Jacques, m;1;;93;401;28;2;3;76;97;7;213;8;
576;Rousseau;2018-10-01;G;Saint-Jacques, m;1;;94;366;30;1;0;67;77;8;183;7;
