Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Jérémy G. C.A.Q.-É.F.L.;Blanchette Luc P.L.Q./Q.L.P.;Chapadeau Gilles P.Q.;Lanouette Guillaume P.C.Q./C.P.Q.;Lessard-Therrien Émilise Q.S.;St-Georges Fernand C.P.Q.;Wells Jessica P.V.Q./G.P.Q.;B.V.;B.R.;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Témiscaming, v;1;;1;366;28;34;5;11;22;0;11;111;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Témiscaming, v;1;;2;348;49;22;8;7;28;0;7;121;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Témiscaming, v;1;;3;357;30;40;3;10;15;1;3;102;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Témiscaming, v;1;;4;371;40;38;7;4;21;2;7;119;3;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Témiscaming, v;1;;5;357;51;45;20;6;25;0;4;151;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Kipawa, m;1;;6;385;60;49;8;7;21;0;10;155;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Kebaowek, r;1;;7;257;4;22;1;2;1;0;9;39;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Hunter's Point, ei;1;Regr. BVO-20;8;1;0;0;0;0;0;0;0;0;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Les Lacs-du-Témiscamingue, no;1;Regr. BVO-7;9;16;0;0;0;0;0;0;0;0;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Laniel, no;1;;10;58;12;13;2;3;9;1;1;41;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Saint-Édouard-de-Fabre, p;1;;11;247;45;23;9;0;50;2;2;131;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Saint-Édouard-de-Fabre, p;1;;12;246;39;15;19;1;66;1;2;143;3;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Duhamel-Ouest, m;1;;13;368;53;41;23;2;74;1;1;195;4;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Duhamel-Ouest, m;1;;14;368;55;45;30;1;50;2;2;185;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Ville-Marie, v;1;;15;399;43;18;28;1;93;4;1;188;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Ville-Marie, v;1;;16;410;63;30;31;2;70;0;3;199;3;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Ville-Marie, v;1;;17;396;46;21;35;0;73;0;2;177;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Ville-Marie, v;1;;18;403;53;17;26;2;69;2;1;170;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Ville-Marie, v;1;;19;392;61;30;23;1;68;1;0;184;5;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Béarn, m;1;;20;287;45;34;30;2;63;0;4;178;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Béarn, m;1;;21;284;55;24;28;4;55;6;1;173;5;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Lorrainville, m;1;;22;329;49;33;30;1;86;4;1;204;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Lorrainville, m;1;;23;331;58;27;27;2;73;1;0;188;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Lorrainville, m;1;;24;328;59;29;41;0;53;4;1;187;4;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Fugèreville, m;1;;25;252;37;17;25;1;51;0;0;131;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Latulipe-et-Gaboury, cu;1;;26;243;25;21;14;0;63;0;1;124;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Belleterre, v;1;;27;228;45;20;18;1;32;2;3;121;3;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Winneway, ei;1;;28;176;0;6;1;1;2;0;1;11;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Laforce, m;1;;29;179;25;8;12;0;15;3;2;65;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Moffet, m;1;;30;144;29;11;4;0;21;1;1;67;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Laverlochère-Angliers, m;1;;31;229;51;25;14;0;38;0;3;131;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Laverlochère-Angliers, m;2;;32;275;47;19;30;2;86;1;1;186;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Laverlochère-Angliers, m;2;;33;262;49;26;15;0;84;3;1;178;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Saint-Eugène-de-Guigues, m;1;;34;338;55;27;49;0;90;4;2;227;3;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Saint-Bruno-de-Guigues, m;1;;35;276;41;19;28;2;72;1;0;163;5;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Saint-Bruno-de-Guigues, m;1;;36;299;62;14;46;2;83;1;0;208;4;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Saint-Bruno-de-Guigues, m;1;;37;287;34;20;22;0;60;1;5;142;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Notre-Dame-du-Nord, m;1;;38;418;66;46;22;3;42;2;0;181;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Notre-Dame-du-Nord, m;1;;39;409;50;33;20;2;54;0;0;159;4;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Timiskaming, r;1;;40;419;11;24;1;0;6;1;2;45;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Nédélec, ct;1;;41;275;34;28;25;1;59;1;2;150;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Guérin, ct;1;;42;230;43;15;19;5;43;1;0;126;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rémigny, m;1;;43;253;33;27;20;3;59;2;1;145;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;1;;44;315;53;22;24;1;42;1;5;148;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;2;;45;340;58;31;35;1;58;2;5;190;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;2;;46;356;54;18;37;1;67;2;2;181;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;3;;47;290;45;23;32;1;49;1;3;154;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;4;;48;333;48;30;28;1;77;0;4;188;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;4;;49;333;91;14;39;0;58;0;2;204;3;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;5;;50;391;70;29;60;2;55;3;4;223;1;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;5;;51;390;82;17;54;3;79;0;2;237;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;5;;52;374;95;26;47;2;53;0;3;226;8;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;5;;53;387;68;32;37;6;81;0;2;226;2;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;6;;54;402;89;19;32;1;78;0;2;221;0;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;6;;55;409;93;14;50;2;66;1;3;229;3;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;6;;56;404;72;9;54;1;89;1;2;228;7;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;6;;57;404;75;45;48;1;75;1;2;247;3;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;6;;58;399;83;26;58;2;71;1;1;242;5;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;6;;59;398;72;32;52;0;102;1;1;260;7;
636;Rouyn-Noranda-Témiscamingue;2018-10-01;G;Rouyn-Noranda, v;6;;60;400;71;27;48;1;69;1;2;219;1;
