Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Côté Kévin Q.S.;Hébert Geneviève C.A.Q.-É.F.L.;Masson Solange P.Q.;Mc Elreavy Cyrille C.P.Q.;Morin Mathieu P.V.Q./G.P.Q.;Poulin Charles P.L.Q./Q.L.P.;B.V.;B.R.;
110;Saint-François;2018-10-01;G;Stanstead-Est, m;1;;1;235;12;45;11;2;4;52;126;2;
110;Saint-François;2018-10-01;G;Stanstead-Est, m;1;;2;228;10;34;9;1;5;45;104;1;
110;Saint-François;2018-10-01;G;Barnston-Ouest, m;1;;3;212;14;39;9;3;2;54;121;0;
110;Saint-François;2018-10-01;G;Barnston-Ouest, m;1;;4;216;19;26;8;0;2;42;97;2;
110;Saint-François;2018-10-01;G;Coaticook, v;1;;5;386;30;48;29;4;4;68;183;5;
110;Saint-François;2018-10-01;G;Coaticook, v;1;;6;397;28;87;32;2;0;58;207;3;
110;Saint-François;2018-10-01;G;Coaticook, v;1;;7;385;34;84;36;3;2;43;202;1;
110;Saint-François;2018-10-01;G;Coaticook, v;1;;8;379;34;73;29;0;4;53;193;1;
110;Saint-François;2018-10-01;G;Coaticook, v;1;;9;385;35;86;37;6;2;51;217;3;
110;Saint-François;2018-10-01;G;Coaticook, v;1;;10;362;38;67;26;2;0;42;175;3;
110;Saint-François;2018-10-01;G;Coaticook, v;1;;11;392;27;39;24;1;1;44;136;0;
110;Saint-François;2018-10-01;G;Coaticook, v;1;;12;382;36;68;35;0;2;43;184;3;
110;Saint-François;2018-10-01;G;Coaticook, v;1;;13;387;29;46;33;2;9;27;146;6;
110;Saint-François;2018-10-01;G;Coaticook, v;2;;14;412;26;76;33;2;3;32;172;5;
110;Saint-François;2018-10-01;G;Coaticook, v;2;;15;403;34;67;31;2;6;45;185;5;
110;Saint-François;2018-10-01;G;Coaticook, v;2;;16;403;35;58;29;2;2;60;186;2;
110;Saint-François;2018-10-01;G;Coaticook, v;2;;17;410;22;68;26;1;3;25;145;3;
110;Saint-François;2018-10-01;G;Coaticook, v;2;;18;401;39;68;45;2;2;39;195;2;
110;Saint-François;2018-10-01;G;Coaticook, v;2;;19;395;43;53;40;3;2;29;170;5;
110;Saint-François;2018-10-01;G;Coaticook, v;2;;20;407;44;60;31;1;3;37;176;3;
110;Saint-François;2018-10-01;G;Coaticook, v;2;;21;415;24;89;42;1;3;41;200;4;
110;Saint-François;2018-10-01;G;Dixville, m;1;;22;243;33;48;21;1;3;39;145;3;
110;Saint-François;2018-10-01;G;Dixville, m;1;;23;242;25;58;31;2;2;33;151;5;
110;Saint-François;2018-10-01;G;Saint-Herménégilde, m;1;;24;270;23;41;24;7;1;30;126;2;
110;Saint-François;2018-10-01;G;Saint-Herménégilde, m;1;;25;270;16;46;22;1;4;30;119;2;
110;Saint-François;2018-10-01;G;East Hereford, m;1;;26;196;16;45;13;1;2;29;106;3;
110;Saint-François;2018-10-01;G;Saint-Venant-de-Paquette, m;1;;27;84;13;12;13;1;1;12;52;0;
110;Saint-François;2018-10-01;G;Saint-Malo, m;1;;28;356;41;89;41;2;7;45;225;0;
110;Saint-François;2018-10-01;G;Sainte-Edwidge-de-Clifton, ct;1;;29;358;42;78;44;3;5;35;207;4;
110;Saint-François;2018-10-01;G;Martinville, m;1;;30;342;47;70;30;2;3;31;183;6;
110;Saint-François;2018-10-01;G;Compton, m;1;;31;381;42;45;48;3;11;60;209;0;
110;Saint-François;2018-10-01;G;Compton, m;1;;32;400;50;60;51;0;3;41;205;6;
110;Saint-François;2018-10-01;G;Compton, m;1;;33;388;61;47;43;4;2;51;208;8;
110;Saint-François;2018-10-01;G;Compton, m;1;;34;388;20;85;34;2;2;53;196;4;
110;Saint-François;2018-10-01;G;Compton, m;1;;35;376;39;56;41;2;5;39;182;3;
110;Saint-François;2018-10-01;G;Compton, m;1;;36;389;45;90;40;3;5;56;239;2;
110;Saint-François;2018-10-01;G;Waterville, v;1;;37;384;45;48;28;2;7;65;195;3;
110;Saint-François;2018-10-01;G;Waterville, v;1;;38;393;84;51;26;2;5;54;222;2;
110;Saint-François;2018-10-01;G;Waterville, v;1;;39;391;49;41;33;1;3;76;203;7;
110;Saint-François;2018-10-01;G;Waterville, v;1;;40;380;36;24;23;8;3;110;204;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;27;;41;422;16;25;19;1;3;100;164;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;27;;42;400;50;15;15;2;11;101;194;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;27;;43;409;33;33;9;2;7;72;156;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;27;;44;388;27;17;5;3;6;82;140;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;27;;45;411;41;31;16;0;4;73;165;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;27;;46;401;45;16;13;3;3;107;187;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;27;;47;407;36;33;10;1;9;83;172;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;27;;48;413;35;19;17;3;7;88;169;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;27;;49;405;40;56;13;2;7;63;181;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;27;;50;405;42;53;14;1;6;88;204;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;28;;51A;226;29;42;30;1;1;27;130;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;28;;51B;202;32;29;21;1;1;24;108;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;28;;52;397;53;48;53;0;8;48;210;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;28;;53;420;76;86;28;4;4;31;229;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;28;;54;399;56;69;40;5;4;42;216;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;28;;55;393;46;55;28;2;5;50;186;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;28;;56;415;54;36;30;4;5;18;147;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;28;;57;409;62;27;20;0;4;9;122;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;28;;58;403;53;32;21;2;2;15;125;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;28;;59;413;37;52;26;2;6;16;139;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;28;;60;392;40;51;30;4;3;39;167;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;29;;61;374;39;48;42;3;6;33;171;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;29;;62;382;47;61;25;1;6;28;168;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;29;;63;399;67;68;32;1;5;30;203;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;29;;64;387;38;58;31;1;2;32;162;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;29;;65;384;40;53;21;2;4;25;145;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;29;;66;399;39;67;22;2;6;33;169;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;29;;67;374;42;48;21;3;4;27;145;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;30;;68;405;54;62;32;2;3;24;177;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;30;;69;379;44;32;22;1;5;15;119;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;30;;70;228;25;17;13;3;2;6;66;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;30;;71;390;60;49;31;1;2;19;162;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;30;;72;393;40;54;25;7;4;21;151;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;30;;73;369;48;60;18;4;5;25;160;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;30;;74;410;32;88;25;3;3;27;178;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;30;;75;381;41;42;23;6;4;27;143;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;30;;76;368;50;45;21;1;0;10;127;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;31;;77;335;45;28;13;0;1;11;98;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;31;;78;345;54;59;22;3;3;19;160;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;31;;79A;220;30;22;16;1;0;21;90;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;31;;79B;208;13;33;9;2;1;13;71;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;31;;80;345;30;53;14;1;1;21;120;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;31;;81;354;40;66;45;3;7;31;192;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;31;;82;368;24;54;20;4;3;24;129;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;31;;83;357;44;47;21;0;4;32;148;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;32;;84;414;42;44;25;3;7;33;154;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;32;;85;416;47;76;30;7;7;28;195;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;32;;86;401;46;53;27;1;3;26;156;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;32;;87;410;49;65;26;2;1;26;169;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;33;;88;361;33;35;22;1;2;25;118;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;33;;89;378;56;88;24;1;3;23;195;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;33;;90;373;49;48;32;2;6;34;171;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;33;;91;390;59;39;5;2;1;27;133;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;33;;92;377;72;28;22;3;3;12;140;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;33;;93;374;42;38;17;2;0;20;119;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;33;;94;393;86;26;25;1;3;13;154;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;33;;95;380;80;54;33;2;6;25;200;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;33;;96;379;44;71;19;1;4;33;172;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;97;401;24;88;44;0;2;52;210;7;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;98;398;60;66;46;1;3;47;223;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;99;423;55;120;50;2;1;32;260;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;100;406;38;76;30;5;3;27;179;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;101;399;41;101;53;2;0;40;237;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;102A;202;32;45;20;2;0;16;115;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;102B;228;26;62;17;2;0;8;115;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;103;398;32;95;37;0;3;27;194;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;104;392;56;60;25;2;5;12;160;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;105;389;43;79;34;6;3;29;194;6;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;106;400;48;112;38;3;6;41;248;6;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;107;421;53;91;30;11;4;37;226;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;108;395;43;124;40;1;2;26;236;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;34;;109;399;45;89;64;1;0;21;220;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;35;;110;375;46;92;43;3;4;49;237;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;35;;111;372;62;59;38;1;2;28;190;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;35;;112;374;42;67;23;2;1;33;168;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;35;;113;378;47;79;25;3;5;34;193;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;35;;114;389;56;87;39;2;2;20;206;2;
110;Saint-François;2018-10-01;G;Sherbrooke, v;35;;115;375;63;78;51;1;3;25;221;6;
110;Saint-François;2018-10-01;G;Sherbrooke, v;35;;116;374;60;71;42;3;6;22;204;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;35;;117;368;59;71;39;3;2;29;203;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;35;;118;388;38;59;20;5;3;23;148;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;119;399;58;85;33;5;2;44;227;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;120;424;47;70;22;1;1;39;180;4;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;121;408;40;52;26;2;4;21;145;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;122;407;52;83;20;7;2;29;193;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;123;394;46;86;29;2;8;29;200;6;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;124A;205;39;33;15;1;1;4;93;5;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;124B;233;29;52;15;3;2;14;115;3;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;125A;217;12;49;17;3;2;23;106;1;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;125B;217;15;44;15;1;0;27;102;0;
110;Saint-François;2018-10-01;G;Sherbrooke, v;36;;126;400;47;106;27;5;2;27;214;5;
