Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Anglade Dominique P.L.Q./Q.L.P.;Duford Jean-Pierre P.V.Q./G.P.Q.;Ella-Oyono Dieudonné P.Q.;Gagnon-Paquin Félix B.P.;Hamel Sylvie C.A.Q.-É.F.L.;Orchard Caroline P.C.Q./C.P.Q.;Racette Benoit Q.S.;Scott Steven N.P.D.Q.;Sullivan Linda P.M.L.Q.;Young Christopher C.I.N.Q.;B.V.;B.R.;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;86;;1;371;75;4;23;2;48;5;31;4;0;0;192;10;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;86;;2;374;59;3;17;0;45;0;32;9;1;3;169;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;86;;3;361;58;3;20;1;38;5;16;0;0;0;141;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;86;;4;361;87;4;18;0;25;1;14;1;1;1;152;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;86;;5;366;53;1;17;1;25;3;22;0;1;1;124;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;86;;6;360;54;2;14;1;30;2;21;1;0;1;126;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;86;;7;371;49;10;19;0;36;3;27;4;1;1;150;6;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;87;;8;362;56;2;14;0;42;3;22;1;0;0;140;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;87;;9;361;95;4;22;1;38;9;25;1;0;0;195;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;87;;10;371;61;4;24;0;33;8;28;2;0;0;160;6;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;87;;11;359;55;3;10;1;30;1;21;3;1;3;128;8;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;87;;12;373;55;7;22;1;37;3;31;5;0;3;164;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;87;;13;384;50;4;32;1;52;3;29;7;0;0;178;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;87;;14;379;32;2;28;2;51;5;39;4;1;0;164;11;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;88;;15;307;50;3;14;0;25;5;34;3;0;0;134;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;88;;16;309;30;3;17;1;24;3;36;3;0;2;119;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;88;;17;321;50;3;32;3;33;1;38;5;0;2;167;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;88;;18;340;54;6;24;2;30;0;30;2;0;1;149;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;89;;19;342;46;3;15;1;29;1;36;0;0;1;132;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;89;;20;342;42;3;26;3;30;6;28;4;0;0;142;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;89;;21;356;71;6;19;1;37;2;28;3;0;0;167;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;89;;22;341;41;1;43;3;32;2;56;1;2;0;181;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;89;;23;351;49;4;23;1;47;1;45;2;0;0;172;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;90;;24;373;34;5;25;1;29;0;56;2;0;0;152;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;90;;25;385;33;4;26;2;46;2;47;3;0;1;164;7;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;90;;26;372;45;5;28;5;47;1;43;2;0;0;176;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;90;;27;375;69;3;22;1;36;1;39;5;1;1;178;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;90;;28;383;31;3;24;2;35;0;19;1;2;0;117;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;91;;29;385;38;5;17;1;52;2;47;2;0;0;164;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;91;;30;380;42;2;23;0;49;4;66;2;0;0;188;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;91;;31;372;41;5;20;0;39;2;76;0;2;1;186;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;91;;32;393;72;8;15;1;36;1;47;3;1;0;184;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;91;;33;389;40;4;22;0;27;1;31;2;0;1;128;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;91;;34;379;59;2;20;0;38;4;39;3;0;0;165;2;
