Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Breton Daniel P.Q.;Chulak Luc N.P.D.Q.;Demers Marijo Q.S.;Pelletier Annie P.L.Q./Q.L.P.;Soucy Chantal C.A.Q.-É.F.L.;B.V.;B.R.;
260;Saint-Hyacinthe;2018-10-01;G;La Présentation, m;1;;1;372;49;6;25;18;125;223;2;
260;Saint-Hyacinthe;2018-10-01;G;La Présentation, m;1;;2;372;48;3;28;41;116;236;8;
260;Saint-Hyacinthe;2018-10-01;G;La Présentation, m;1;;3;382;47;4;29;33;140;253;1;
260;Saint-Hyacinthe;2018-10-01;G;La Présentation, m;1;;4;364;37;6;28;17;121;209;8;
260;Saint-Hyacinthe;2018-10-01;G;La Présentation, m;1;;5;371;39;3;38;23;136;239;7;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;1;;6;403;30;0;41;36;136;243;0;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;1;;7;400;32;2;36;33;130;233;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;1;;8;409;24;1;29;36;130;220;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;1;;9;398;34;3;40;24;146;247;2;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;1;;10;396;48;1;29;134;33;245;9;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;1;;11;412;39;1;23;23;157;243;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;1;;12;417;23;3;32;31;155;244;7;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;1;;13;344;22;0;24;26;93;165;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;2;;14;395;38;2;34;19;105;198;5;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;2;;15;402;45;1;36;16;132;230;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;2;;16;390;39;2;32;38;129;240;5;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;2;;17;395;32;1;32;27;137;229;1;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;2;;18;405;37;3;36;32;139;247;2;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;2;;19;393;38;2;35;23;114;212;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;2;;20;389;43;2;44;28;101;218;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;3;;21;373;48;1;39;36;127;251;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;3;;22;376;40;5;45;14;99;203;2;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;3;;23;371;44;0;39;32;105;220;2;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;3;;24;412;39;4;36;22;109;210;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;3;;25;401;27;4;35;39;126;231;5;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;3;;26;375;25;2;38;39;104;208;7;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;3;;27;377;39;2;20;44;104;209;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;3;;28;387;42;3;21;18;80;164;1;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;3;;29;381;28;5;47;22;86;188;8;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;3;;30;366;29;5;38;22;109;203;7;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;4;;31;397;37;4;23;27;118;209;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;4;;32;404;36;2;54;28;100;220;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;4;;33;413;33;6;57;37;132;265;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;4;;34;396;39;2;44;34;76;195;8;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;4;;35;393;25;1;34;32;97;189;7;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;4;;36;416;25;5;38;26;86;180;8;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;4;;37;407;34;4;35;33;99;205;5;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;4;;38;394;26;3;17;38;86;170;2;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;5;;39;366;23;5;33;21;78;160;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;5;;40;369;36;2;33;21;57;149;8;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;5;;41;355;23;1;26;18;70;138;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;6;;42;304;15;3;28;6;50;102;0;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;6;;43;374;21;2;32;21;76;152;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;6;;44;346;39;2;50;19;54;164;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;6;;45A;267;12;6;20;22;38;98;1;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;6;;45B;206;6;1;21;15;50;93;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;6;;46;354;24;0;26;11;47;108;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;7;;47;377;32;3;28;13;70;146;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;7;;48;354;23;3;29;20;37;112;1;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;7;;49;354;22;3;23;23;78;149;2;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;7;;50;362;29;2;39;35;65;170;5;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;7;;51;338;19;0;39;29;66;153;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;8;;52;366;44;3;29;21;75;172;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;8;;53;353;17;2;24;13;60;116;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;8;;54;350;10;3;46;35;68;162;2;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;8;;55;349;20;3;21;25;73;142;5;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;8;;56;360;19;0;17;23;72;131;0;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;9;;57;405;36;1;22;30;115;204;7;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;9;;58;393;35;2;33;19;134;223;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;9;;59;408;30;2;47;31;122;232;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;9;;60;390;36;3;43;38;95;215;1;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;9;;61;388;31;4;28;42;127;232;1;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;9;;62;385;31;0;28;36;118;213;5;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;9;;63;398;38;4;42;33;106;223;9;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;9;;64;384;29;1;23;45;82;180;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;10;;65;382;20;7;34;10;40;111;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;10;;66;370;21;2;26;10;76;135;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;10;;67;375;20;1;39;16;57;133;2;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;10;;68;354;30;3;31;15;38;117;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;10;;69;368;25;3;34;17;46;125;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;70;365;37;0;48;34;86;205;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;71;388;33;2;25;42;110;212;7;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;72;389;40;6;37;16;105;204;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;73;380;47;2;38;34;91;212;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;74;377;39;2;53;17;83;194;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;75;367;40;0;57;13;86;196;5;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;76;382;34;3;44;25;117;223;7;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;77;381;34;0;32;25;138;229;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;78;366;41;2;28;21;145;237;11;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;79;385;28;3;32;28;116;207;7;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;80;389;46;0;38;33;137;254;1;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;81;394;31;1;32;37;118;219;5;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;11;;82;395;23;1;39;25;137;225;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;12;;83;389;34;1;36;25;96;192;1;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;12;;84;389;25;3;32;28;134;222;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;12;;85;380;29;0;43;35;130;237;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;12;;86;377;34;1;26;43;111;215;7;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;12;;87;403;28;3;26;31;133;221;8;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;12;;88;367;24;2;19;18;86;149;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;12;;89;389;44;4;38;18;120;224;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;12;;90;383;30;0;39;23;125;217;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;12;;91;379;40;3;46;18;96;203;3;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;13;;92;413;35;1;43;17;143;239;6;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;13;;93;392;44;2;41;44;111;242;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;13;;94;366;28;2;37;15;89;171;5;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;13;;95;403;35;2;39;28;100;204;9;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;13;;96;395;37;3;32;19;105;196;0;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;13;;97;400;46;2;25;15;98;186;4;
260;Saint-Hyacinthe;2018-10-01;G;Saint-Hyacinthe, v;14;;98;392;42;3;45;21;112;223;5;
