Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Lalonde Simon Q.S.;Langlois Véronique P.V.Q./G.P.Q.;Lemieux Louis C.A.Q.-É.F.L.;Parent Vanessa P.L.Q./Q.L.P.;Perreault Philippe P.C.Q./C.P.Q.;Ruel Geneviève N.P.D.Q.;St-Jacques Louis C.P.Q.;Turcotte Dave P.Q.;B.V.;B.R.;
212;Saint-Jean;2018-10-01;G;Saint-Blaise-sur-Richelieu, m;1;;1;333;19;1;66;9;0;1;3;71;170;2;
212;Saint-Jean;2018-10-01;G;Saint-Blaise-sur-Richelieu, m;1;;2;320;28;3;59;32;2;0;1;84;209;2;
212;Saint-Jean;2018-10-01;G;Saint-Blaise-sur-Richelieu, m;1;;3;333;25;4;82;16;1;0;4;88;220;2;
212;Saint-Jean;2018-10-01;G;Saint-Blaise-sur-Richelieu, m;1;;4;338;17;8;83;37;0;0;2;75;222;0;
212;Saint-Jean;2018-10-01;G;Saint-Blaise-sur-Richelieu, m;1;;5;323;19;6;92;18;4;0;0;78;217;1;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;1;;6;343;24;2;73;11;1;0;1;51;163;5;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;1;;7;373;25;0;80;21;2;4;0;49;181;5;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;1;;8;353;33;2;81;14;2;2;2;63;199;2;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;1;;9;344;26;5;92;10;2;1;1;49;186;6;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;1;;10;338;49;3;69;16;1;1;1;76;216;2;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;2;;11;348;26;6;86;8;1;1;3;55;186;7;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;2;;12;351;28;7;72;23;0;1;1;82;214;5;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;2;;13;360;32;4;90;24;3;1;0;61;215;3;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;2;;14;356;40;4;91;36;4;1;2;70;248;4;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;2;;15;351;27;3;83;17;2;0;2;63;197;6;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;2;;16;330;19;3;91;18;2;0;3;65;201;1;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;2;;17;352;30;5;87;25;1;1;0;74;223;7;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;2;;18;353;30;6;96;26;2;0;0;76;236;3;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;3;;19;345;29;4;86;18;0;0;1;63;201;6;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;3;;20;315;27;6;58;25;1;1;2;42;162;1;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;3;;21;326;31;5;77;23;4;1;0;50;191;1;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;3;;22;322;23;2;79;25;1;0;1;51;182;1;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;3;;23;342;35;3;73;29;0;2;0;51;193;4;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;3;;24;312;26;0;79;21;1;0;0;52;179;3;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;4;;25;319;29;8;79;35;0;0;4;37;192;2;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;4;;26;328;29;3;54;20;0;0;0;36;142;2;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;4;;27;313;21;3;43;10;2;0;0;35;114;0;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;4;;28;335;26;7;75;26;1;1;2;53;191;1;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;4;;29;317;32;5;71;13;0;0;3;39;163;2;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;4;;30;302;24;4;71;22;4;0;2;50;177;6;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;4;;31;319;15;4;77;26;0;0;0;32;154;3;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;4;;32;320;27;3;58;29;0;1;1;43;162;0;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;5;;33;391;40;2;86;24;2;0;6;66;226;3;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;5;;34;372;26;2;71;20;3;1;3;64;190;3;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;5;;35;372;29;4;85;27;8;0;1;70;224;3;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;5;;36;363;41;7;88;20;3;0;1;66;226;0;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;5;;37;377;37;0;84;20;2;0;0;57;200;3;
212;Saint-Jean;2018-10-01;G;Saint-Jean-sur-Richelieu, v;5;;38;365;39;3;80;22;0;0;4;73;221;7;
