Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourcier Marc P.Q.;Brien Sylvie C.P.Q.;Chassin Youri C.A.Q.-É.F.L.;Desrochers Annabelle P.V.Q./G.P.Q.;Duhaime Ève Q.S.;Michaud Normand P.C.Q./C.P.Q.;Poulin Antoine P.L.Q./Q.L.P.;Simon Christine N.P.D.Q.;Starnino Giuseppe P.L.;B.V.;B.R.;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;1;;1;398;61;6;73;7;35;1;17;2;0;202;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;1;;2;411;45;0;59;4;41;4;10;0;1;164;10;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;1;;3;390;46;2;92;3;34;3;15;1;0;196;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;1;;4;394;32;1;99;5;32;0;12;1;2;184;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;2;;5;327;45;1;62;3;22;2;8;0;1;144;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;2;;6;335;57;0;73;6;29;0;5;2;0;172;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;2;;7;318;33;1;74;2;31;2;12;1;1;157;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;2;;8;331;45;1;75;5;40;0;8;0;0;174;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;9;378;49;0;100;6;38;1;23;0;0;217;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;10;378;45;1;103;4;34;3;19;1;1;211;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;11;394;42;2;78;4;24;1;18;1;0;170;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;12;384;52;4;92;3;41;1;10;1;3;207;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;13;373;59;1;87;9;46;3;11;0;1;217;1;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;14;368;51;1;103;5;40;2;10;1;1;214;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;15;402;46;0;73;3;43;0;14;0;1;180;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;16;369;65;1;83;4;38;4;6;0;0;201;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;17;374;36;2;68;6;34;2;10;1;0;159;4;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;18;383;55;1;80;1;30;1;14;0;3;185;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;3;;19;380;50;1;99;1;17;1;21;0;0;190;3;
