Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baaklini Marc C.A.Q.-É.F.L.;Bah Halimatou P.V.Q./G.P.Q.;Dago Jacques N.P.D.Q.;Deschamps Fernand P.M.L.Q.;Morissette Guy P.C.Q./C.P.Q.;Nicolas Elias Dib P.Q.;Pigeon Marie Josèphe Q.S.;Rizqy Marwah P.L.Q./Q.L.P.;B.V.;B.R.;
318;Saint-Laurent;2018-10-01;G;Montréal, v;21;;1;367;42;3;1;2;4;26;13;99;190;2;
318;Saint-Laurent;2018-10-01;G;Montréal, v;21;;2;366;37;2;3;0;7;9;7;93;158;3;
318;Saint-Laurent;2018-10-01;G;Montréal, v;21;;3;364;29;12;3;1;4;16;14;118;197;0;
318;Saint-Laurent;2018-10-01;G;Montréal, v;21;;4;367;20;5;1;0;9;16;7;129;187;0;
318;Saint-Laurent;2018-10-01;G;Montréal, v;21;;5;368;27;4;3;0;11;7;7;115;174;2;
318;Saint-Laurent;2018-10-01;G;Montréal, v;21;;6;372;33;4;1;0;5;34;29;85;191;2;
318;Saint-Laurent;2018-10-01;G;Montréal, v;21;;7;369;28;5;7;0;9;5;7;96;157;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;22;;8;398;34;5;1;0;3;20;22;128;213;2;
318;Saint-Laurent;2018-10-01;G;Montréal, v;22;;9;385;27;7;2;0;3;4;10;109;162;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;22;;10;403;18;9;4;0;3;8;7;95;144;6;
318;Saint-Laurent;2018-10-01;G;Montréal, v;22;;11;387;36;8;1;1;1;8;18;100;173;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;22;;12;397;31;2;2;1;3;5;7;105;156;2;
318;Saint-Laurent;2018-10-01;G;Montréal, v;22;;13;408;26;5;3;0;5;23;22;78;162;6;
318;Saint-Laurent;2018-10-01;G;Montréal, v;23;;14;374;63;4;3;1;2;24;36;45;178;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;23;;15;343;15;4;3;0;3;6;8;97;136;3;
318;Saint-Laurent;2018-10-01;G;Montréal, v;23;;16;359;11;1;4;0;3;3;5;99;126;6;
318;Saint-Laurent;2018-10-01;G;Montréal, v;23;;17;370;12;2;4;1;4;5;11;83;122;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;23;;18;366;19;2;0;1;1;15;21;81;140;2;
318;Saint-Laurent;2018-10-01;G;Montréal, v;23;;19;370;22;7;2;0;7;13;13;51;115;2;
318;Saint-Laurent;2018-10-01;G;Montréal, v;23;;20;368;50;4;3;0;2;35;26;66;186;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;23;;21;361;33;5;0;0;3;38;37;47;163;6;
318;Saint-Laurent;2018-10-01;G;Montréal, v;24;;22;330;32;3;0;0;1;17;32;63;148;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;24;;23;342;37;9;3;1;1;45;58;53;207;3;
318;Saint-Laurent;2018-10-01;G;Montréal, v;24;;24;344;33;5;3;2;4;24;38;83;192;1;
318;Saint-Laurent;2018-10-01;G;Montréal, v;24;;25;342;28;9;1;1;3;31;38;62;173;4;
