Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Calderon Anna P.V.Q./G.P.Q.;Charron Louis P.L.Q./Q.L.P.;Cossette-Trudel Alexis C.P.Q.;Drouin Jennifer P.Q.;Ivanski Don P.C.Q./C.P.Q.;Klisko Anna C.A.Q.-É.F.L.;Ladouceur Henri B.P.;Massé Manon Q.S.;B.V.;B.R.;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;159;;1;370;6;15;1;28;0;14;0;99;163;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;159;;2;381;2;13;1;29;1;12;1;88;147;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;159;;3;356;10;14;1;28;0;17;1;86;157;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;159;;4;378;6;17;0;34;0;14;0;141;212;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;159;;5;368;5;21;0;31;0;14;0;133;204;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;159;;6;371;8;16;1;34;0;21;0;119;199;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;159;;7;384;10;17;0;27;0;18;2;129;203;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;160;;8;392;6;21;0;23;0;15;0;121;186;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;160;;9;401;10;15;0;20;0;11;0;119;175;3;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;160;;10;412;5;23;2;25;1;26;0;93;175;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;160;;11;407;6;20;0;21;0;10;2;135;194;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;160;;12;379;4;17;0;31;1;18;2;104;177;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;160;;13;401;8;27;0;29;0;14;0;87;165;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;160;;14;404;6;24;1;30;2;32;1;102;198;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;161;;15;388;8;8;0;22;0;13;0;134;185;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;161;;16;403;8;16;0;30;0;17;0;129;200;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;161;;17;400;3;23;0;13;1;35;1;125;201;6;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;161;;18;372;3;14;0;24;0;18;3;101;163;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;161;;19;386;6;16;1;18;2;24;0;78;145;4;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;161;;20;377;7;25;3;27;1;14;0;104;181;6;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;161;;21;379;5;34;0;11;1;20;1;75;147;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;162;;22;407;8;35;1;16;0;25;0;88;173;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;162;;23;399;4;46;0;14;1;13;1;71;150;4;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;162;;24;381;5;28;0;28;0;13;2;86;162;4;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;162;;25;400;4;21;1;25;3;25;1;146;226;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;162;;26;424;12;56;0;23;1;28;0;97;217;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;162;;27;398;5;20;1;28;0;21;1;90;166;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;162;;28;400;3;27;1;14;1;28;0;73;147;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;162;;29;421;4;24;0;35;0;30;0;84;177;3;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;162;;30;411;7;38;0;21;3;18;1;103;191;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;162;;31;374;10;24;0;13;0;14;3;50;114;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;163;;32;395;4;27;0;21;1;20;0;74;147;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;163;;33;379;4;28;2;20;1;15;2;82;154;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;163;;34;375;4;32;0;32;2;21;2;47;140;5;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;163;;35;386;4;33;0;29;1;22;0;96;185;3;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;163;;36;358;8;25;0;19;0;12;0;76;140;4;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;164;;37;396;8;27;0;26;0;7;0;112;180;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;164;;38;387;7;29;1;23;0;13;0;74;147;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;164;;39;419;9;44;0;19;2;17;1;86;178;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;164;;40;411;8;29;0;13;2;17;0;73;142;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;164;;41;393;1;26;1;23;0;13;0;115;179;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;164;;42;391;6;26;0;16;0;14;1;106;169;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;165;;43;340;3;20;2;28;0;18;1;103;175;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;165;;44;333;8;22;0;12;3;11;0;73;129;6;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;165;;45;326;3;48;1;25;3;16;0;81;177;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;165;;46;351;4;22;0;18;0;16;1;69;130;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;165;;47;347;7;17;0;22;1;13;1;94;155;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;165;;48;343;9;11;1;18;0;10;0;100;149;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;166;;49;370;7;43;0;46;0;20;0;69;185;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;166;;50;355;5;23;1;17;2;18;0;102;168;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;166;;51;365;8;29;0;18;1;17;0;74;147;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;167;;52;363;5;20;1;23;0;11;1;70;131;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;167;;53;383;5;32;0;21;0;15;1;62;136;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;167;;54;384;8;25;0;22;1;15;3;87;161;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;167;;55;356;4;24;1;24;1;11;1;95;161;3;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;167;;56;377;15;27;1;32;0;21;0;88;184;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;167;;57;363;7;41;0;34;2;17;1;103;205;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;167;;58;389;7;41;1;18;0;26;2;44;139;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;167;;59;375;11;45;1;36;0;24;0;89;206;3;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;168;;60;385;10;37;1;27;0;21;0;48;144;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;168;;61;395;8;27;0;36;1;30;1;30;133;3;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;168;;62;406;9;53;0;32;1;16;1;71;183;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;168;;63;396;11;47;0;9;0;17;2;91;177;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;168;;64;390;7;31;0;37;1;15;0;88;179;4;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;168;;65;390;12;25;0;24;2;12;3;104;182;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;168;;66;380;15;24;0;31;1;8;0;119;198;6;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;168;;67;386;1;42;1;19;1;15;0;93;172;1;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;169;;68;374;10;63;0;15;0;12;2;88;190;0;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;169;;69;377;12;65;0;13;2;15;1;94;202;5;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;169;;70;370;10;58;1;11;2;13;1;95;191;2;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;169;;71;365;10;30;1;11;2;19;2;70;145;3;
330;Sainte-Marie-Saint-Jacques;2018-10-01;G;Montréal, v;169;;72;382;13;43;1;7;2;12;0;63;141;4;
