Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bergevin Caroline P.V.Q./G.P.Q.;Blanchard Benoit P.C.Q./C.P.Q.;Charron Simon Q.S.;Constantin Marc-André P.Q.;Giguère Alain N.P.D.Q.;Habel Jean P.L.Q./Q.L.P.;Louis-Charles Valérie C.I.N.Q.;Skeete Christopher C.A.Q.-É.F.L.;B.V.;B.R.;
470;Sainte-Rose;2018-10-01;G;Laval, v;13;;1;383;6;6;20;29;4;64;0;64;193;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;13;;2;390;8;3;19;40;2;52;0;81;205;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;13;;3;401;8;2;34;34;1;75;2;87;243;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;13;;4;386;9;3;27;23;1;50;1;62;176;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;13;;5;379;2;4;26;25;1;62;0;54;174;7;
470;Sainte-Rose;2018-10-01;G;Laval, v;13;;6;382;1;2;32;32;1;47;1;92;208;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;13;;7;391;7;3;29;24;2;57;2;89;213;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;13;;8;378;3;2;31;29;3;45;1;68;182;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;13;;9;388;4;1;45;32;4;44;0;88;218;8;
470;Sainte-Rose;2018-10-01;G;Laval, v;13;;10;407;7;0;35;37;1;46;0;122;248;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;11;377;3;2;20;29;0;79;3;75;211;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;12;389;5;2;16;20;0;79;0;92;214;0;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;13;388;5;0;27;35;0;42;0;69;178;6;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;14;388;2;2;17;18;0;61;1;66;167;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;15;385;2;5;26;15;0;83;0;92;223;7;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;16;422;1;3;21;29;0;60;1;99;214;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;17;384;13;5;28;19;3;58;0;61;187;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;18;379;2;7;45;33;4;45;0;73;209;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;19;388;9;3;29;31;1;57;2;82;214;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;20;388;2;2;26;31;1;50;3;79;194;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;21;402;2;4;25;20;2;45;0;73;171;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;22;388;9;1;27;22;1;55;1;78;194;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;14;;23;371;5;1;15;29;1;50;0;51;152;6;
