Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fréchette-Bonnier Maya Q.S.;Geraci Antonino P.V.Q./G.P.Q.;Grigoriev Nikolai P.C.Q./C.P.Q.;Héroux Hélène P.M.L.Q.;Jugureanu Marcelina P.L.Q./Q.L.P.;McCann Danielle C.A.Q.-É.F.L.;Therrien Alain P.Q.;B.V.;B.R.;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;1;;1;374;27;4;2;1;32;58;44;168;3;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;1;;2;367;42;3;2;0;16;100;51;214;6;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;1;;3;354;30;1;4;0;24;82;43;184;3;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;1;;4;356;38;4;0;0;28;78;49;197;4;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;1;;5;362;33;0;5;1;17;105;34;195;2;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;1;;6;352;35;4;1;0;31;93;49;213;1;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;1;;7;357;30;4;3;1;24;104;43;209;5;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;2;;8;365;42;8;3;0;21;85;37;196;3;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;2;;9;362;47;3;2;0;18;75;50;195;4;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;2;;10;364;38;5;9;1;18;84;50;205;3;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;2;;11;377;25;6;3;2;20;66;40;162;7;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;2;;12;358;38;6;3;2;28;70;45;192;6;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;2;;13;364;42;2;3;0;26;67;33;173;8;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;2;;14;352;31;5;2;1;18;90;47;194;4;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;2;;15;356;36;6;1;0;35;89;42;209;4;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;2;;16;377;44;5;2;0;15;75;51;192;7;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;2;;17;424;38;7;3;1;24;99;49;221;3;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;2;;18;363;39;2;2;1;26;85;56;211;0;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;3;;19;383;56;5;2;0;33;86;61;243;4;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;3;;20;379;37;9;2;0;28;79;52;207;3;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;3;;21;392;34;3;4;1;24;114;56;236;6;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;3;;22;388;43;1;1;1;21;79;53;199;7;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;3;;23;395;34;5;0;1;30;90;44;204;9;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;3;;24;393;32;4;2;0;45;104;52;239;5;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;3;;25;397;46;4;2;0;29;91;55;227;9;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;3;;26;390;37;3;2;0;33;91;37;203;10;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;3;;27;400;37;1;2;1;35;94;59;229;2;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;4;;28;381;34;4;4;0;35;96;42;215;0;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;4;;29;393;39;6;1;0;20;108;43;217;7;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;4;;30;397;27;3;2;1;11;103;52;199;4;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;4;;31;386;45;2;1;0;29;110;52;239;6;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;4;;32;405;34;6;5;0;12;88;48;193;1;
230;Sanguinet;2018-10-01;G;Sainte-Catherine, v;4;;33;392;41;5;3;0;31;98;57;235;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;1;;34;385;25;5;2;1;19;94;54;200;2;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;1;;35;403;25;3;2;1;26;93;42;192;6;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;1;;36;402;20;5;0;0;23;63;46;157;5;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;1;;37;399;24;3;3;1;22;65;45;163;1;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;1;;38;376;34;2;1;5;25;100;53;220;2;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;1;;39;383;26;1;0;0;21;89;55;192;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;1;;40;387;29;5;4;0;35;91;51;215;9;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;1;;41;377;25;8;6;0;33;89;62;223;5;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;1;;42;369;35;9;2;0;13;61;38;158;5;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;2;;43;377;28;4;4;0;31;72;65;204;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;2;;44;378;20;3;3;2;38;76;60;202;1;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;2;;45;384;24;3;2;0;38;112;46;225;1;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;2;;46;365;21;6;1;0;38;84;35;185;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;2;;47;396;25;6;0;0;37;85;47;200;6;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;2;;48;391;37;4;3;0;48;69;61;222;3;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;2;;49;392;41;2;4;0;28;86;64;225;2;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;2;;50;382;25;4;2;0;35;90;48;204;5;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;2;;51;369;31;4;0;0;22;77;39;173;7;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;3;;52;380;37;4;2;0;42;90;44;219;1;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;3;;53;397;41;1;7;0;26;104;43;222;2;
