Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Côté-Rouleau Marie-Maud P.V.Q./G.P.Q.;Fortin Luc P.L.Q./Q.L.P.;Labrie Christine Q.S.;Lainé Luc Ind;Lebrasseur Éric C.P.Q.;Louis-Jean Mona N.P.D.Q.;Richard Sara P.N.;Rousseau Guillaume P.Q.;Roy Jossy B.P.;Tétreault Patrick Ind;Vachon Bruno C.A.Q.-É.F.L.;B.V.;B.R.;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;1;421;6;98;31;1;0;2;1;28;0;0;67;234;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;2;384;3;54;45;0;0;0;0;24;1;0;38;165;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;3;391;1;51;33;0;1;0;0;32;0;0;67;185;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;4;402;6;57;58;0;0;2;0;21;0;0;43;187;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;5;408;1;44;46;0;1;2;0;15;2;0;46;157;5;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;6;409;1;45;47;0;3;3;1;16;0;1;38;155;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;7;387;2;51;54;0;0;0;0;33;0;2;45;187;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;8;393;0;54;57;0;0;0;0;37;0;0;51;199;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;9;399;4;37;67;1;0;2;0;13;0;0;55;179;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;10;398;3;50;64;0;0;0;0;26;0;0;70;213;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;11;395;3;44;64;0;3;0;2;30;0;0;60;206;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;7;;12;396;1;41;55;0;0;1;1;17;1;0;50;167;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;8;;13;372;0;48;33;0;1;0;0;18;0;0;49;149;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;8;;14;344;1;42;29;0;1;0;0;13;1;0;53;140;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;8;;15;354;1;65;44;0;1;0;0;32;0;0;57;200;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;8;;16;363;2;49;38;1;1;1;0;25;1;0;56;174;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;8;;17;358;2;80;9;0;0;0;2;25;0;0;62;180;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;8;;18;377;1;51;36;0;1;0;0;22;1;0;53;165;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;9;;19;365;0;50;61;0;2;1;0;28;0;0;47;189;5;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;9;;20;381;1;36;61;1;0;0;1;26;0;0;53;179;6;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;9;;21;346;0;29;45;0;0;0;1;19;0;0;29;123;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;9;;22;357;3;28;64;0;1;1;1;25;0;0;31;154;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;9;;23;367;2;39;50;0;0;0;0;16;0;0;46;153;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;9;;24;357;2;46;45;0;0;0;0;38;1;0;40;172;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;9;;25;360;1;61;58;0;1;1;0;33;0;0;55;210;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;10;;26;333;2;51;53;0;1;0;0;41;0;0;50;198;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;10;;27;334;3;56;56;0;0;0;0;39;1;0;46;201;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;10;;28;325;0;37;54;0;1;2;0;27;0;0;38;159;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;10;;29;335;0;48;41;0;0;0;0;37;1;0;26;153;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;11;;30;378;2;53;72;2;1;0;1;41;1;0;49;222;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;11;;31;364;3;48;66;1;0;0;1;31;0;0;48;198;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;11;;32;378;4;77;39;0;0;0;1;30;0;0;37;188;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;11;;33;379;1;36;74;1;2;2;0;23;1;0;43;183;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;11;;34;367;0;46;35;1;0;0;0;20;0;0;40;142;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;11;;35;394;4;41;59;0;4;1;0;25;0;0;57;191;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;11;;36;359;1;79;38;0;0;0;1;16;0;0;34;169;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;11;;37;363;2;46;67;0;0;0;0;36;0;0;28;179;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;12;;38;406;2;78;82;0;0;0;0;43;0;0;52;257;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;12;;39;405;3;66;84;1;0;0;0;51;0;0;49;254;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;12;;40;403;2;65;88;1;1;1;0;43;0;0;38;239;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;12;;41;409;3;51;101;0;1;3;1;36;1;0;40;237;6;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;12;;42;401;3;16;113;0;0;1;0;46;1;1;24;205;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;12;;43A;211;0;27;35;0;0;0;1;24;0;0;18;105;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;12;;43B;242;1;27;58;1;0;1;0;18;0;0;31;137;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;13;;44;385;2;59;88;0;2;0;1;24;0;0;36;212;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;13;;45;395;4;31;105;0;3;2;0;36;1;0;31;213;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;13;;46;391;0;40;83;1;1;0;0;32;0;0;54;211;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;13;;47;377;5;35;97;1;3;0;0;48;0;0;19;208;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;14;;48;393;1;42;125;0;0;0;0;33;0;0;22;223;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;14;;49;412;3;50;113;1;0;2;2;47;1;0;22;241;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;14;;50;388;1;28;107;0;0;1;1;29;0;0;16;183;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;14;;51;334;3;13;75;0;1;1;1;19;0;0;24;137;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;14;;52A;220;0;15;50;0;1;1;0;8;0;0;10;85;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;14;;52B;234;2;11;46;0;0;2;0;15;0;0;12;88;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;14;;53;409;2;22;71;0;0;1;2;11;1;0;24;134;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;15;;54;388;2;22;109;0;0;1;2;22;2;0;18;178;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;15;;55;397;3;29;121;1;0;1;1;22;0;0;24;202;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;15;;56;400;3;46;89;1;1;1;1;28;0;0;28;198;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;15;;57;396;2;42;85;0;2;1;0;40;2;0;39;213;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;16;;58;392;1;31;76;0;0;3;1;28;0;0;23;163;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;16;;59;397;3;41;35;0;0;0;2;30;1;0;53;165;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;16;;60;379;0;41;82;0;0;0;5;29;1;0;57;215;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;16;;61;384;2;42;65;0;0;0;0;37;1;0;49;196;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;16;;62;399;0;57;74;1;0;1;0;45;1;0;68;247;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;16;;63;382;3;63;60;0;1;1;0;18;0;0;74;220;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;16;;64;398;3;37;76;1;1;2;0;37;0;0;81;238;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;16;;65;375;0;35;50;0;2;0;1;26;0;0;79;193;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;16;;66;379;1;42;68;0;1;1;1;24;0;0;70;208;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;16;;67;384;1;43;67;1;1;1;0;25;1;1;58;199;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;16;;68;395;0;50;56;0;1;0;0;30;0;0;67;204;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;17;;69;345;4;34;54;0;2;2;5;35;0;1;59;196;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;17;;70;344;3;47;72;0;2;0;0;22;0;1;41;188;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;17;;71;332;4;24;77;2;1;0;0;17;0;0;31;156;2;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;17;;72;367;4;19;66;1;2;1;1;34;1;0;36;165;5;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;18;;73;425;5;35;75;8;2;3;2;32;1;1;40;204;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;18;;74A;244;2;17;45;0;0;0;0;16;0;0;16;96;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;18;;74B;193;1;13;34;0;1;0;1;18;0;0;17;85;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;18;;75;398;1;55;43;0;0;1;1;19;0;0;59;179;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;18;;76;413;1;26;83;0;4;0;1;21;0;0;46;182;6;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;18;;77;407;5;29;94;1;2;3;2;26;0;1;34;197;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;19;;78;331;6;11;56;0;1;3;0;19;3;0;23;122;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;19;;79;346;4;14;84;0;2;1;1;23;2;0;15;146;4;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;19;;80;350;1;20;59;0;1;1;0;15;1;0;23;121;1;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;19;;81;350;4;13;72;1;1;0;0;17;0;0;18;126;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;19;;82;331;1;14;57;0;1;0;0;13;0;0;19;105;3;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;20;;83;352;1;11;38;0;2;1;0;13;0;0;23;89;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;20;;84;388;2;30;76;0;2;1;4;29;1;0;39;184;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;20;;85;357;2;28;62;0;0;3;1;20;1;1;19;137;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;20;;86;353;3;27;63;0;1;0;1;31;2;0;38;166;0;
116;Sherbrooke;2018-10-01;G;Sherbrooke, v;20;;87;361;6;28;71;0;2;0;4;22;2;0;41;176;7;
