Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Berthiaume Jean-Patrick B.P.;Charlebois Lucie P.L.Q./Q.L.P.;D.-Henry Samuelle P.Q.;Jitaru Bianca P.V.Q./G.P.Q.;Larue-Bourdages Maxime Q.S.;Madelein Etienne N.P.D.Q.;Marquis Patrick É.A.;Picard Marilyne C.A.Q.-É.F.L.;Prud'homme Dominik C.P.Q.;Trombino Felice P.C.Q./C.P.Q.;B.V.;B.R.;
220;Soulanges;2018-10-01;G;Pointe-Fortune, vl;1;;1;226;1;57;13;3;18;1;0;35;3;0;131;1;
220;Soulanges;2018-10-01;G;Pointe-Fortune, vl;1;;2;235;0;31;26;2;19;1;0;77;3;0;159;2;
220;Soulanges;2018-10-01;G;Rigaud, v;1;;3;381;1;70;23;5;35;4;0;78;2;2;220;6;
220;Soulanges;2018-10-01;G;Rigaud, v;1;;4;375;2;53;27;6;17;0;3;82;4;1;195;3;
220;Soulanges;2018-10-01;G;Rigaud, v;1;;5;378;3;54;36;3;19;4;0;90;1;3;213;3;
220;Soulanges;2018-10-01;G;Rigaud, v;1;;6;384;2;82;19;7;16;2;0;69;2;3;202;0;
220;Soulanges;2018-10-01;G;Rigaud, v;1;;7;399;1;78;13;6;16;2;0;84;0;7;207;3;
220;Soulanges;2018-10-01;G;Rigaud, v;1;;8;395;0;92;19;7;29;3;0;62;1;2;215;3;
220;Soulanges;2018-10-01;G;Rigaud, v;1;;9;402;1;58;19;8;32;1;1;78;2;1;201;3;
220;Soulanges;2018-10-01;G;Rigaud, v;1;;10;394;0;55;26;11;24;6;0;74;0;1;197;1;
220;Soulanges;2018-10-01;G;Rigaud, v;1;;11;380;0;62;21;5;36;1;0;93;0;1;219;2;
220;Soulanges;2018-10-01;G;Rigaud, v;1;;12;391;4;38;30;4;30;4;0;95;2;3;210;9;
220;Soulanges;2018-10-01;G;Rigaud, v;2;;13;368;0;51;23;3;25;2;0;107;1;1;213;5;
220;Soulanges;2018-10-01;G;Rigaud, v;2;;14;372;1;63;25;8;17;4;0;88;1;3;210;1;
220;Soulanges;2018-10-01;G;Rigaud, v;2;;15;355;1;51;25;3;27;1;0;80;3;3;194;5;
220;Soulanges;2018-10-01;G;Rigaud, v;2;;16;366;2;47;23;6;15;5;0;88;0;0;186;1;
220;Soulanges;2018-10-01;G;Rigaud, v;2;;17;369;3;35;25;1;26;2;0;66;2;1;161;3;
220;Soulanges;2018-10-01;G;Rigaud, v;2;;18;355;2;36;26;4;27;3;0;85;1;0;184;2;
220;Soulanges;2018-10-01;G;Très-Saint-Rédempteur, m;1;;19;383;2;44;31;3;35;5;0;101;0;3;224;0;
220;Soulanges;2018-10-01;G;Très-Saint-Rédempteur, m;1;;20;335;2;33;20;7;13;1;0;77;2;0;155;4;
220;Soulanges;2018-10-01;G;Sainte-Marthe, m;1;;21;282;0;56;14;3;11;2;0;49;2;1;138;2;
220;Soulanges;2018-10-01;G;Sainte-Marthe, m;1;;22;278;1;57;21;2;10;0;0;59;2;1;153;2;
220;Soulanges;2018-10-01;G;Sainte-Marthe, m;1;;23;265;1;42;11;4;28;1;0;48;0;1;136;1;
220;Soulanges;2018-10-01;G;Sainte-Justine-de-Newton, m;1;;24;371;2;35;24;2;29;0;0;118;5;1;216;3;
220;Soulanges;2018-10-01;G;Sainte-Justine-de-Newton, m;1;;25;374;1;47;33;7;40;1;0;87;0;1;217;4;
