Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barhone Mohammed P.L.Q./Q.L.P.;Blanchard Manon Q.S.;Cadieux Walker Mel-Lyna P.V.Q./G.P.Q.;Carmant Lionel C.A.Q.-É.F.L.;Lamarre Diane P.Q.;Leduc Jonathan N.P.D.Q.;Verty Gerardin P.C.Q./C.P.Q.;B.V.;B.R.;
250;Taillon;2018-10-01;G;Longueuil, v;35;;1;307;22;21;3;47;38;1;1;133;1;
250;Taillon;2018-10-01;G;Longueuil, v;35;;2;334;35;24;6;60;35;5;0;165;2;
250;Taillon;2018-10-01;G;Longueuil, v;35;;3;329;24;20;2;66;26;0;3;141;1;
250;Taillon;2018-10-01;G;Longueuil, v;35;;4;316;28;13;2;76;42;4;0;165;1;
250;Taillon;2018-10-01;G;Longueuil, v;35;;5;320;49;20;3;61;46;0;5;184;3;
250;Taillon;2018-10-01;G;Longueuil, v;36;;6;374;34;41;3;67;40;1;0;186;5;
250;Taillon;2018-10-01;G;Longueuil, v;36;;7;378;24;41;0;59;63;0;1;188;3;
250;Taillon;2018-10-01;G;Longueuil, v;36;;8;362;35;32;1;84;41;3;0;196;6;
250;Taillon;2018-10-01;G;Longueuil, v;36;;9;391;24;32;7;90;43;2;2;200;1;
250;Taillon;2018-10-01;G;Longueuil, v;36;;10;398;19;43;8;44;44;2;1;161;7;
250;Taillon;2018-10-01;G;Longueuil, v;36;;11;388;37;28;1;49;37;2;1;155;1;
250;Taillon;2018-10-01;G;Longueuil, v;36;;12;368;28;29;5;62;63;2;2;191;3;
250;Taillon;2018-10-01;G;Longueuil, v;36;;13;384;36;35;5;73;55;3;1;208;9;
250;Taillon;2018-10-01;G;Longueuil, v;36;;14;364;22;41;4;73;52;1;2;195;3;
250;Taillon;2018-10-01;G;Longueuil, v;37;;15;421;21;32;6;40;26;4;1;130;4;
250;Taillon;2018-10-01;G;Longueuil, v;37;;16;396;16;20;3;46;31;1;0;117;3;
250;Taillon;2018-10-01;G;Longueuil, v;37;;17A;219;14;12;3;17;17;2;0;65;0;
250;Taillon;2018-10-01;G;Longueuil, v;37;;17B;235;17;9;2;21;16;2;1;68;2;
250;Taillon;2018-10-01;G;Longueuil, v;37;;18A;227;10;16;1;19;19;1;0;66;5;
250;Taillon;2018-10-01;G;Longueuil, v;37;;18B;201;7;14;2;11;21;1;1;57;0;
250;Taillon;2018-10-01;G;Longueuil, v;37;;19;376;30;21;5;50;40;3;6;155;3;
250;Taillon;2018-10-01;G;Longueuil, v;37;;20;404;38;28;8;52;49;0;0;175;2;
250;Taillon;2018-10-01;G;Longueuil, v;37;;21;409;50;42;9;69;46;4;3;223;3;
250;Taillon;2018-10-01;G;Longueuil, v;38;;22;396;11;34;3;34;48;0;2;132;2;
250;Taillon;2018-10-01;G;Longueuil, v;38;;23;386;44;24;11;66;44;1;0;190;5;
250;Taillon;2018-10-01;G;Longueuil, v;38;;24;376;17;29;2;34;37;2;2;123;4;
250;Taillon;2018-10-01;G;Longueuil, v;38;;25;383;25;31;5;36;38;2;0;137;0;
250;Taillon;2018-10-01;G;Longueuil, v;38;;26;383;25;27;3;36;30;3;4;128;7;
250;Taillon;2018-10-01;G;Longueuil, v;38;;27;388;47;25;4;47;26;7;0;156;3;
250;Taillon;2018-10-01;G;Longueuil, v;38;;28;399;22;42;3;65;33;2;0;167;3;
250;Taillon;2018-10-01;G;Longueuil, v;38;;29;424;23;42;2;36;35;0;1;139;2;
250;Taillon;2018-10-01;G;Longueuil, v;38;;30;383;12;39;3;40;34;4;0;132;2;
250;Taillon;2018-10-01;G;Longueuil, v;38;;31;394;39;32;7;47;38;3;1;167;2;
250;Taillon;2018-10-01;G;Longueuil, v;39;;32;385;24;31;1;54;35;1;0;146;1;
250;Taillon;2018-10-01;G;Longueuil, v;39;;33;355;29;44;3;52;45;3;4;180;3;
250;Taillon;2018-10-01;G;Longueuil, v;39;;34;381;43;35;4;49;47;2;0;180;4;
250;Taillon;2018-10-01;G;Longueuil, v;39;;35;372;17;42;6;50;62;3;1;181;4;
250;Taillon;2018-10-01;G;Longueuil, v;39;;36;366;23;42;7;43;41;3;1;160;8;
250;Taillon;2018-10-01;G;Longueuil, v;39;;37;402;22;26;7;39;44;1;1;140;0;
250;Taillon;2018-10-01;G;Longueuil, v;39;;38;347;21;22;4;43;26;1;1;118;3;
250;Taillon;2018-10-01;G;Longueuil, v;39;;39;346;28;30;9;46;43;3;2;161;3;
250;Taillon;2018-10-01;G;Longueuil, v;40;;40;377;27;39;5;49;51;2;1;174;3;
250;Taillon;2018-10-01;G;Longueuil, v;40;;41;388;25;33;6;52;32;1;3;152;4;
250;Taillon;2018-10-01;G;Longueuil, v;40;;42;364;26;35;1;55;44;1;3;165;10;
250;Taillon;2018-10-01;G;Longueuil, v;40;;43;374;20;46;4;46;46;3;7;172;10;
250;Taillon;2018-10-01;G;Longueuil, v;40;;44;354;30;26;5;60;62;0;0;183;5;
250;Taillon;2018-10-01;G;Longueuil, v;40;;45;390;44;46;12;58;50;1;1;212;1;
250;Taillon;2018-10-01;G;Longueuil, v;40;;46;381;21;47;4;47;44;2;2;167;7;
250;Taillon;2018-10-01;G;Longueuil, v;40;;47;374;23;50;7;51;39;1;0;171;3;
250;Taillon;2018-10-01;G;Longueuil, v;40;;48;377;11;51;8;60;48;2;1;181;0;
250;Taillon;2018-10-01;G;Longueuil, v;40;;49;382;12;38;7;32;22;3;1;115;5;
250;Taillon;2018-10-01;G;Longueuil, v;41;;50;403;21;37;3;35;42;1;3;142;2;
250;Taillon;2018-10-01;G;Longueuil, v;41;;51;383;24;47;6;67;69;2;0;215;5;
250;Taillon;2018-10-01;G;Longueuil, v;41;;52;388;14;64;4;44;67;4;3;200;1;
250;Taillon;2018-10-01;G;Longueuil, v;41;;53;385;32;24;5;40;85;0;2;188;0;
250;Taillon;2018-10-01;G;Longueuil, v;41;;54;397;17;48;4;32;37;5;1;144;0;
250;Taillon;2018-10-01;G;Longueuil, v;41;;55;409;32;52;1;55;108;2;1;251;2;
250;Taillon;2018-10-01;G;Longueuil, v;41;;56;412;26;37;1;46;49;2;1;162;5;
250;Taillon;2018-10-01;G;Longueuil, v;42;;57;398;21;38;5;65;54;1;0;184;2;
250;Taillon;2018-10-01;G;Longueuil, v;42;;58;392;19;37;3;70;60;0;2;191;2;
250;Taillon;2018-10-01;G;Longueuil, v;42;;59;387;23;35;5;74;56;3;2;198;1;
250;Taillon;2018-10-01;G;Longueuil, v;42;;60;381;29;26;4;67;46;0;0;172;3;
250;Taillon;2018-10-01;G;Longueuil, v;42;;61;386;29;53;5;55;61;1;0;204;4;
250;Taillon;2018-10-01;G;Longueuil, v;42;;62;387;33;32;6;67;56;2;1;197;5;
250;Taillon;2018-10-01;G;Longueuil, v;42;;63;406;21;37;7;36;46;1;0;148;5;
250;Taillon;2018-10-01;G;Longueuil, v;42;;64;385;22;37;6;78;30;1;2;176;2;
250;Taillon;2018-10-01;G;Longueuil, v;42;;65;384;11;38;6;73;44;2;1;175;0;
250;Taillon;2018-10-01;G;Longueuil, v;42;;66;296;23;26;3;53;30;2;0;137;2;
250;Taillon;2018-10-01;G;Longueuil, v;42;;67;403;20;54;7;61;65;2;2;211;2;
250;Taillon;2018-10-01;G;Longueuil, v;42;;68;397;20;44;5;72;69;1;2;213;4;
250;Taillon;2018-10-01;G;Longueuil, v;42;;69;382;26;40;7;78;39;1;0;191;3;
250;Taillon;2018-10-01;G;Longueuil, v;42;;70;386;47;31;4;79;57;2;0;220;2;
250;Taillon;2018-10-01;G;Longueuil, v;42;;71;377;30;29;7;78;64;4;0;212;0;
250;Taillon;2018-10-01;G;Longueuil, v;42;;72;382;32;35;5;78;63;3;2;218;3;
250;Taillon;2018-10-01;G;Longueuil, v;42;;73;381;42;36;3;60;56;1;0;198;4;
250;Taillon;2018-10-01;G;Longueuil, v;42;;74;387;53;18;6;73;62;1;1;214;6;
250;Taillon;2018-10-01;G;Longueuil, v;42;;75;391;34;42;1;82;72;5;1;237;2;
250;Taillon;2018-10-01;G;Longueuil, v;43;;76;355;52;34;3;43;62;2;1;197;2;
250;Taillon;2018-10-01;G;Longueuil, v;43;;77;358;25;52;7;47;71;1;0;203;1;
250;Taillon;2018-10-01;G;Longueuil, v;43;;78;352;39;38;5;58;71;3;0;214;1;
250;Taillon;2018-10-01;G;Longueuil, v;43;;79;358;26;53;3;46;73;0;3;204;5;
250;Taillon;2018-10-01;G;Longueuil, v;43;;80;355;24;26;5;53;36;1;0;145;4;
250;Taillon;2018-10-01;G;Longueuil, v;43;;81;347;32;58;5;55;47;3;2;202;6;
250;Taillon;2018-10-01;G;Longueuil, v;43;;82;352;36;46;5;54;49;1;2;193;4;
250;Taillon;2018-10-01;G;Longueuil, v;43;;83;366;35;46;5;53;39;1;2;181;5;
250;Taillon;2018-10-01;G;Longueuil, v;44;;84;388;42;41;1;52;42;4;4;186;2;
250;Taillon;2018-10-01;G;Longueuil, v;44;;85;386;27;9;3;50;55;1;1;146;0;
250;Taillon;2018-10-01;G;Longueuil, v;44;;86;398;25;21;6;58;41;1;1;153;2;
250;Taillon;2018-10-01;G;Longueuil, v;44;;87;405;41;47;3;53;90;1;0;235;0;
250;Taillon;2018-10-01;G;Longueuil, v;44;;88;405;49;42;6;76;66;1;0;240;7;
250;Taillon;2018-10-01;G;Longueuil, v;44;;89;402;47;37;6;73;61;2;3;229;4;
250;Taillon;2018-10-01;G;Longueuil, v;44;;90;415;47;29;5;94;46;1;0;222;2;
250;Taillon;2018-10-01;G;Longueuil, v;44;;91;398;33;19;1;64;51;0;2;170;3;
250;Taillon;2018-10-01;G;Longueuil, v;44;;92;404;32;26;6;89;52;0;2;207;5;
250;Taillon;2018-10-01;G;Longueuil, v;44;;93;375;24;30;1;66;41;1;2;165;4;
250;Taillon;2018-10-01;G;Longueuil, v;44;;94;389;41;21;1;86;59;1;1;210;1;
250;Taillon;2018-10-01;G;Longueuil, v;45;;95;396;22;46;4;65;43;2;0;182;3;
250;Taillon;2018-10-01;G;Longueuil, v;45;;96;378;33;35;4;48;54;2;5;181;4;
250;Taillon;2018-10-01;G;Longueuil, v;45;;97;381;35;27;8;71;50;0;1;192;4;
250;Taillon;2018-10-01;G;Longueuil, v;45;;98;377;25;55;5;67;56;1;0;209;0;
250;Taillon;2018-10-01;G;Longueuil, v;45;;99;370;31;40;3;70;41;1;1;187;4;
250;Taillon;2018-10-01;G;Longueuil, v;45;;100;379;40;38;6;53;49;2;1;189;3;
250;Taillon;2018-10-01;G;Longueuil, v;45;;101;375;44;39;1;44;29;4;1;162;3;
250;Taillon;2018-10-01;G;Longueuil, v;45;;102;362;20;18;4;66;50;3;2;163;6;
250;Taillon;2018-10-01;G;Longueuil, v;45;;103;367;21;27;1;67;51;3;2;172;1;
250;Taillon;2018-10-01;G;Longueuil, v;45;;104;390;40;33;1;72;37;1;2;186;1;
250;Taillon;2018-10-01;G;Longueuil, v;45;;105;417;46;30;2;86;57;4;1;226;3;
250;Taillon;2018-10-01;G;Longueuil, v;45;;106;373;49;26;2;61;47;4;3;192;6;
250;Taillon;2018-10-01;G;Longueuil, v;45;;107;368;39;29;2;75;52;1;2;200;0;
250;Taillon;2018-10-01;G;Longueuil, v;45;;108;377;56;29;5;76;39;1;5;211;3;
250;Taillon;2018-10-01;G;Longueuil, v;46;;109;383;43;35;8;76;57;2;0;221;0;
250;Taillon;2018-10-01;G;Longueuil, v;46;;110;392;39;42;2;83;48;4;1;219;4;
250;Taillon;2018-10-01;G;Longueuil, v;46;;111;387;27;46;1;86;59;3;2;224;4;
250;Taillon;2018-10-01;G;Longueuil, v;46;;112;373;48;32;4;55;64;2;4;209;0;
250;Taillon;2018-10-01;G;Longueuil, v;46;;113;383;34;41;5;50;58;2;3;193;4;
250;Taillon;2018-10-01;G;Longueuil, v;46;;114;389;31;46;3;61;69;3;1;214;2;
250;Taillon;2018-10-01;G;Longueuil, v;46;;115;383;29;35;6;74;52;2;4;202;5;
250;Taillon;2018-10-01;G;Longueuil, v;46;;116;380;22;48;5;75;63;2;3;218;2;
250;Taillon;2018-10-01;G;Longueuil, v;46;;117;382;23;42;4;68;59;4;2;202;7;
250;Taillon;2018-10-01;G;Longueuil, v;46;;118;386;25;25;6;103;56;2;0;217;0;
250;Taillon;2018-10-01;G;Longueuil, v;46;;119;392;25;33;5;77;63;2;0;205;3;
250;Taillon;2018-10-01;G;Longueuil, v;47;;120;386;28;27;3;75;49;3;2;187;3;
250;Taillon;2018-10-01;G;Longueuil, v;47;;121;370;24;23;5;56;32;0;0;140;1;
250;Taillon;2018-10-01;G;Longueuil, v;47;;122;374;24;26;6;57;56;2;3;174;4;
250;Taillon;2018-10-01;G;Longueuil, v;47;;123;361;21;41;5;64;75;3;1;210;7;
250;Taillon;2018-10-01;G;Longueuil, v;47;;124;357;30;34;1;62;80;1;0;208;4;
250;Taillon;2018-10-01;G;Longueuil, v;47;;125;361;29;37;3;70;71;1;0;211;1;
250;Taillon;2018-10-01;G;Longueuil, v;47;;126;359;28;30;4;71;59;2;0;194;1;
250;Taillon;2018-10-01;G;Longueuil, v;47;;127;377;24;34;5;77;53;0;1;194;6;
250;Taillon;2018-10-01;G;Longueuil, v;47;;128;354;50;13;3;74;34;1;0;175;0;
250;Taillon;2018-10-01;G;Longueuil, v;47;;129;360;61;27;4;86;50;0;5;233;2;
250;Taillon;2018-10-01;G;Longueuil, v;47;;130;349;58;18;2;78;45;0;1;202;0;
250;Taillon;2018-10-01;G;Longueuil, v;47;;131;363;33;45;4;69;55;3;2;211;2;
250;Taillon;2018-10-01;G;Longueuil, v;47;;132;363;44;20;5;77;54;2;0;202;4;
250;Taillon;2018-10-01;G;Longueuil, v;47;;133;347;39;17;1;86;43;0;2;188;2;
250;Taillon;2018-10-01;G;Longueuil, v;47;;134;420;63;10;0;88;43;3;2;209;3;
250;Taillon;2018-10-01;G;Longueuil, v;35;Regr. BVO-4;500;331;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Longueuil, v;41;Regr. BVO-53;501;108;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Longueuil, v;41;Regr. BVO-53;502;196;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Longueuil, v;42;Regr. BVO-65;503;165;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Longueuil, v;44;Regr. BVO-84;504;72;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Longueuil, v;44;Regr. BVO-84;505;266;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Longueuil, v;44;Regr. BVO-84;506;118;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Longueuil, v;44;Regr. BVO-94;507;484;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Longueuil, v;44;Regr. BVO-94;508;74;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Longueuil, v;45;Regr. BVO-95;509;96;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Longueuil, v;45;Regr. BVO-96;510;113;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Longueuil, v;47;Regr. BVO-120;511;174;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;BVA1: SV no 1 à 7;;;;0;52;59;5;139;110;6;1;372;4;
250;Taillon;2018-10-01;G;BVA2: SV no 8 à 13;;;;0;60;45;10;138;99;1;3;356;2;
250;Taillon;2018-10-01;G;BVA3: SV no 14 à 19;;;;0;29;35;1;72;55;2;1;195;3;
250;Taillon;2018-10-01;G;BVA4: SV no 20 à 21, 102 à 105;;;;0;58;47;10;170;104;5;1;395;5;
250;Taillon;2018-10-01;G;BVA5: SV no 106 à 110, 112;;;;0;50;39;3;135;113;1;3;344;4;
250;Taillon;2018-10-01;G;BVA6: SV no 22 à 27;;;;0;52;29;2;101;76;2;1;263;0;
250;Taillon;2018-10-01;G;BVA7: SV no 28 à 33;;;;0;36;53;8;109;84;4;0;294;8;
250;Taillon;2018-10-01;G;BVA8: SV no 34 à 39;;;;0;47;68;4;93;100;1;3;316;9;
250;Taillon;2018-10-01;G;BVA9: SV no 83 à 86, 91 à 92;;;;0;72;50;2;186;144;4;0;458;12;
250;Taillon;2018-10-01;G;BVA10: SV no 40 à 45;;;;0;13;39;7;39;48;1;3;150;6;
250;Taillon;2018-10-01;G;BVA11: SV no 46 à 51;;;;0;24;41;1;59;70;5;1;201;3;
250;Taillon;2018-10-01;G;BVA12: SV no 52 à 56, 76;;;;0;55;50;4;77;129;1;0;316;2;
250;Taillon;2018-10-01;G;BVA13: SV no 77 à 82;;;;0;33;61;4;59;82;1;0;240;5;
250;Taillon;2018-10-01;G;BVA14: SV no 57 à 62;;;;0;28;32;7;84;86;1;0;238;6;
250;Taillon;2018-10-01;G;BVA15: SV no 63 à 68;;;;0;23;25;3;73;66;3;1;194;7;
250;Taillon;2018-10-01;G;BVA16: SV no 69 à 75;;;;0;43;28;4;75;76;1;0;227;0;
250;Taillon;2018-10-01;G;BVA17: SV no 87 à 89, 126 à 128;;;;0;47;25;4;91;81;1;1;250;3;
250;Taillon;2018-10-01;G;BVA18: SV no 90, 93 à 97;;;;0;63;53;6;149;145;6;1;423;3;
250;Taillon;2018-10-01;G;BVA19: SV no 98 à 101, 111, 113;;;;0;39;67;6;140;123;1;2;378;5;
250;Taillon;2018-10-01;G;BVA20: SV no 114 à 119;;;;0;60;50;2;158;148;2;2;422;5;
250;Taillon;2018-10-01;G;BVA21: SV no 120 à 125;;;;0;39;35;4;105;116;0;2;301;2;
250;Taillon;2018-10-01;G;BVA22: SV no 129 à 134;;;;0;93;16;1;153;82;1;1;347;1;
250;Taillon;2018-10-01;G;Vote en installation d'hébergement;;;;0;331;75;15;445;355;16;7;1244;30;
250;Taillon;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;62;16;5;35;37;1;0;156;3;
250;Taillon;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;460;528;53;1065;833;26;10;2975;41;
250;Taillon;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
250;Taillon;2018-10-01;G;Vote hors circonscription;;;;0;61;223;19;66;101;3;3;476;17;
250;Taillon;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;35;0;0;0;0;0;0;0;0;0;
