Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy É.A.;Dorion Catherine Q.S.;Duguay Roger N.P.D.Q.;Grégoire Élisabeth P.V.Q./G.P.Q.;Lavallée Diane P.Q.;Lavoie Christian C.P.Q.;Pouliot Nicolas P.N.;Solomykina Svetlana C.A.Q.-É.F.L.;Tanlet Florent P.L.Q./Q.L.P.;B.V.;B.R.;
730;Taschereau;2018-10-01;G;Québec, v;39;;1;364;0;65;2;4;51;0;2;47;41;212;0;
730;Taschereau;2018-10-01;G;Québec, v;39;;2;377;0;59;0;1;57;0;0;34;56;207;0;
730;Taschereau;2018-10-01;G;Québec, v;39;;3;388;0;97;0;6;51;0;3;32;46;235;2;
730;Taschereau;2018-10-01;G;Québec, v;39;;4;371;0;93;1;5;50;0;1;37;31;218;1;
730;Taschereau;2018-10-01;G;Québec, v;39;;5;361;0;51;0;3;30;0;0;24;46;154;0;
730;Taschereau;2018-10-01;G;Québec, v;39;;6;377;0;94;2;5;37;0;0;34;33;205;3;
730;Taschereau;2018-10-01;G;Québec, v;39;;7;364;0;77;1;1;28;1;0;33;37;178;1;
730;Taschereau;2018-10-01;G;Québec, v;39;;8;371;1;56;1;0;52;1;2;34;46;193;2;
730;Taschereau;2018-10-01;G;Québec, v;40;;9;386;0;81;1;3;31;2;0;32;36;186;2;
730;Taschereau;2018-10-01;G;Québec, v;40;;10;411;0;62;0;3;35;0;0;31;42;173;4;
730;Taschereau;2018-10-01;G;Québec, v;40;;11;411;0;110;2;5;37;0;2;38;34;228;1;
730;Taschereau;2018-10-01;G;Québec, v;40;;12A;194;0;17;0;1;12;0;0;14;18;62;2;
730;Taschereau;2018-10-01;G;Québec, v;40;;12B;232;0;27;2;2;11;0;1;16;20;79;0;
730;Taschereau;2018-10-01;G;Québec, v;40;;13;399;1;12;0;0;26;0;0;29;26;94;0;
730;Taschereau;2018-10-01;G;Québec, v;40;;14;413;0;94;0;5;38;2;3;33;21;196;2;
730;Taschereau;2018-10-01;G;Québec, v;41;;15;393;1;69;1;3;26;1;2;60;19;182;7;
730;Taschereau;2018-10-01;G;Québec, v;41;;16;390;0;59;0;2;16;2;1;51;22;153;2;
730;Taschereau;2018-10-01;G;Québec, v;41;;17;386;0;49;3;3;29;0;0;68;25;177;4;
730;Taschereau;2018-10-01;G;Québec, v;41;;18;375;0;78;3;2;15;1;1;42;28;170;0;
730;Taschereau;2018-10-01;G;Québec, v;42;;19;418;0;103;1;1;30;2;1;42;18;198;4;
730;Taschereau;2018-10-01;G;Québec, v;42;;20;416;1;116;5;1;23;2;4;54;20;226;3;
730;Taschereau;2018-10-01;G;Québec, v;42;;21;407;1;98;1;2;20;0;2;57;9;190;6;
730;Taschereau;2018-10-01;G;Québec, v;42;;22;408;0;74;2;3;21;0;2;89;30;221;8;
730;Taschereau;2018-10-01;G;Québec, v;42;;23;396;1;78;1;2;21;1;4;62;26;196;3;
730;Taschereau;2018-10-01;G;Québec, v;42;;24;395;2;74;0;3;36;0;2;54;15;186;2;
730;Taschereau;2018-10-01;G;Québec, v;42;;25;400;3;67;3;4;21;1;4;71;7;181;4;
