Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;B-Godbout Anne Q.S.;Dubois Carole P.V.Q./G.P.Q.;Fitzgibbon Pierre C.A.Q.-É.F.L.;Goyette Mathieu C.P.Q.;Néron Jules P.C.Q./C.P.Q.;Selam Margaux P.L.Q./Q.L.P.;Traversy Mathieu P.Q.;B.V.;B.R.;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;1;405;34;8;93;1;3;21;67;227;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;2;393;32;11;98;1;1;11;55;209;11;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;3;399;29;6;114;1;3;50;38;241;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;4;403;44;6;119;5;1;22;54;251;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;5;411;26;4;127;2;0;22;57;238;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;6;392;19;6;93;3;1;25;56;203;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;7;418;37;1;99;1;2;23;53;216;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;8A;197;18;2;70;0;1;21;11;123;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;8B;231;14;2;64;0;0;37;27;144;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;9;391;14;3;92;2;1;44;48;204;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;10;420;31;4;102;1;3;48;49;238;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;11;403;34;5;91;0;3;40;49;222;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;12;400;25;1;144;0;0;31;46;247;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;13;406;21;3;100;0;0;56;58;238;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;14;410;39;3;104;1;1;58;50;256;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;5;;15;386;27;1;94;3;4;32;40;201;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;16;381;35;1;80;1;1;51;70;239;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;17;374;25;3;108;2;6;33;50;227;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;6;;18;369;25;1;88;1;1;53;44;213;6;
