Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boulet Jean C.A.Q.-É.F.L.;Camirand Marie-Claude P.Q.;Delage Valérie Q.S.;Girard Jean-Denis P.L.Q./Q.L.P.;Hénault Daniel P.C.Q./C.P.Q.;Simidzija Adis P.V.Q./G.P.Q.;B.V.;B.R.;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;4;;1;346;75;51;42;44;6;4;222;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;4;;2;335;89;41;24;55;4;4;217;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;4;;3;342;103;33;27;52;7;4;226;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;4;;4;358;107;29;27;37;3;4;207;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;4;;5;347;97;28;32;54;6;4;221;8;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;4;;6;349;92;40;36;50;3;3;224;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;5;;7;382;113;40;32;40;4;7;236;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;5;;8;384;107;33;26;53;2;2;223;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;5;;9;379;129;40;22;48;3;3;245;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;5;;10;382;108;31;23;42;3;6;213;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;5;;11;392;83;34;49;40;5;5;216;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;5;;12;387;70;18;38;30;2;6;164;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;5;;13;367;76;24;25;28;9;1;163;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;5;;14;424;69;18;20;58;2;2;169;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;6;;15;377;85;25;34;39;2;3;188;6;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;6;;16;370;99;26;32;58;7;2;224;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;6;;17;379;109;47;38;52;1;1;248;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;6;;18;367;75;30;36;21;4;5;171;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;6;;19;391;122;35;28;50;2;3;240;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;;20;392;83;28;24;37;7;5;184;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;;21;395;104;28;28;33;4;1;198;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;;22;390;94;26;28;33;7;1;189;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;;23;397;79;25;25;36;5;5;175;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;;24;402;81;41;35;24;8;0;189;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;;25;411;72;33;27;40;5;6;183;7;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;;26;381;68;23;29;18;2;1;141;6;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;;27;394;71;19;32;28;4;3;157;6;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;;28;398;75;21;14;36;1;1;148;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;7;;29;393;66;25;25;28;5;3;152;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;8;;30;383;70;22;35;24;2;2;155;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;8;;31;402;74;28;33;35;7;4;181;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;8;;32;409;60;21;21;22;2;3;129;7;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;9;;33;345;56;23;27;26;2;1;135;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;9;;34;361;57;24;29;30;3;5;148;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;9;;35;343;64;17;26;22;7;4;140;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;9;;36;345;45;23;39;18;3;3;131;6;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;9;;37;361;45;21;38;39;1;6;150;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;9;;38;358;49;22;34;23;2;8;138;5;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;10;;39;375;66;17;23;25;6;2;139;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;10;;40;351;57;19;32;28;6;3;145;10;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;10;;41;365;83;30;51;29;3;4;200;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;10;;42;333;82;13;35;24;3;4;161;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;10;;43;346;45;18;27;29;3;4;126;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;10;;44;365;69;35;37;32;3;3;179;7;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;10;;45;369;78;25;33;25;1;4;166;4;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;11;;46;277;41;17;33;19;1;4;115;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;11;;47;279;43;28;26;21;1;5;124;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;11;;48;273;29;19;15;13;0;3;79;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;12;;49;401;43;26;38;24;1;3;135;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;12;;50;419;39;20;31;19;0;3;112;2;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;12;;51;335;33;22;49;11;1;3;119;0;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;12;;52;418;51;25;44;49;0;4;173;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;13;;53;287;29;19;19;24;2;3;96;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;13;;54;304;34;14;46;23;0;4;121;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;13;;55;309;41;22;44;17;1;2;127;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;13;;56;332;48;31;26;29;0;4;138;1;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;14;;57;359;26;18;56;13;5;3;121;3;
660;Trois-Rivières;2018-10-01;G;Trois-Rivières, v;14;;58;354;29;17;48;21;4;3;122;0;
