Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boucher Jean P.L.Q./Q.L.P.;Couture Louis R. N.P.D.Q.;Croteau Alexandre P.C.Q./C.P.Q.;Lamothe Denis C.A.Q.-É.F.L.;Mattson Jonathan P.Q.;Roos Cristina P.V.Q./G.P.Q.;Tukkiapik Alisha Q.S.;B.V.;B.R.;
938;Ungava;2018-10-01;G;Chibougamau, v;1;;1;360;14;1;1;42;71;2;7;138;1;
938;Ungava;2018-10-01;G;Chibougamau, v;1;;2;350;13;0;3;47;56;2;11;132;2;
938;Ungava;2018-10-01;G;Chibougamau, v;1;;3;347;23;3;1;34;73;2;12;148;3;
938;Ungava;2018-10-01;G;Chibougamau, v;1;;4;299;30;3;0;43;46;3;5;130;3;
938;Ungava;2018-10-01;G;Chibougamau, v;1;;5;349;17;1;5;37;47;1;5;113;4;
938;Ungava;2018-10-01;G;Chibougamau, v;1;;6;331;18;0;1;25;47;0;11;102;4;
938;Ungava;2018-10-01;G;Chibougamau, v;1;;7;338;24;1;0;24;53;2;11;115;0;
938;Ungava;2018-10-01;G;Chibougamau, v;1;;8;362;31;0;3;40;71;1;11;157;2;
938;Ungava;2018-10-01;G;Chibougamau, v;2;;9;385;17;1;1;42;60;2;10;133;2;
938;Ungava;2018-10-01;G;Chibougamau, v;2;;10;388;28;1;1;38;81;1;11;161;3;
938;Ungava;2018-10-01;G;Chibougamau, v;2;;11;402;18;2;2;37;57;3;13;132;7;
938;Ungava;2018-10-01;G;Chibougamau, v;2;;12;390;28;3;8;29;67;0;12;147;4;
938;Ungava;2018-10-01;G;Chibougamau, v;2;;13;381;29;2;4;53;80;4;4;176;5;
938;Ungava;2018-10-01;G;Chibougamau, v;2;;14;396;29;1;5;49;85;0;14;183;5;
938;Ungava;2018-10-01;G;Chibougamau, v;2;;15A;211;16;0;1;36;27;1;4;85;3;
938;Ungava;2018-10-01;G;Chibougamau, v;2;;15B;227;10;1;0;25;42;1;6;85;1;
938;Ungava;2018-10-01;G;Chapais, v;1;;16;403;33;2;5;48;45;4;15;152;5;
938;Ungava;2018-10-01;G;Chapais, v;1;;17;360;30;3;3;49;52;3;11;151;0;
938;Ungava;2018-10-01;G;Chapais, v;1;;18;412;33;3;5;56;44;1;20;162;5;
938;Ungava;2018-10-01;G;Lebel-sur-Quévillon, v;1;;19;345;18;3;3;56;41;3;18;142;5;
938;Ungava;2018-10-01;G;Lebel-sur-Quévillon, v;1;;20;340;21;2;0;49;52;3;16;143;8;
938;Ungava;2018-10-01;G;Lebel-sur-Quévillon, v;1;;21;334;24;2;3;52;34;4;18;137;5;
938;Ungava;2018-10-01;G;Lebel-sur-Quévillon, v;1;;22;340;17;2;0;56;40;5;18;138;5;
938;Ungava;2018-10-01;G;Lebel-sur-Quévillon, v;1;;23;327;21;1;4;54;41;0;10;131;3;
938;Ungava;2018-10-01;G;Matagami, v;1;;24;390;34;1;4;55;37;5;24;160;6;
938;Ungava;2018-10-01;G;Matagami, v;1;;25;355;28;0;5;54;35;6;25;153;5;
938;Ungava;2018-10-01;G;Matagami, v;1;;26;379;41;3;3;99;29;1;15;191;13;
938;Ungava;2018-10-01;G;Kangiqsualujjuaq, vn;1;;27;563;18;3;2;8;0;3;18;52;1;
938;Ungava;2018-10-01;G;Kuujjuaq, vn;1;;28;901;49;2;2;15;5;4;44;121;0;
938;Ungava;2018-10-01;G;Kuujjuaq, vn;1;;29;311;31;2;0;9;7;4;30;83;1;
