Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bluntss Hugo B.P.;Caron Linda P.L.Q./Q.L.P.;des Greniers Lise P.C.Q./C.P.Q.;Lafrenière Ian C.A.Q.-É.F.L.;Lecourtois Ian N.P.D.Q.;Marginean Stéphane C.P.Q.;Ney Patrick P.Q.;Vincent André Q.S.;B.V.;B.R.;
240;Vachon;2018-10-01;G;Longueuil, v;48;;1;400;5;9;2;67;3;4;36;27;153;6;
240;Vachon;2018-10-01;G;Longueuil, v;48;;2;389;2;20;3;81;3;2;18;23;152;4;
240;Vachon;2018-10-01;G;Longueuil, v;48;;3;388;1;39;4;94;6;0;27;38;209;1;
240;Vachon;2018-10-01;G;Longueuil, v;48;;4;379;0;52;1;77;6;1;36;34;207;6;
240;Vachon;2018-10-01;G;Longueuil, v;48;;5;392;1;43;0;87;6;2;28;43;210;3;
240;Vachon;2018-10-01;G;Longueuil, v;48;;6;390;4;36;0;65;5;2;39;39;190;3;
240;Vachon;2018-10-01;G;Longueuil, v;48;;7;400;3;41;3;81;7;2;33;38;208;5;
240;Vachon;2018-10-01;G;Longueuil, v;48;;8;404;3;38;1;108;1;4;31;33;219;3;
240;Vachon;2018-10-01;G;Longueuil, v;49;;9;384;4;39;3;75;9;2;32;24;188;5;
240;Vachon;2018-10-01;G;Longueuil, v;49;;10;393;4;31;3;84;3;2;30;27;184;7;
240;Vachon;2018-10-01;G;Longueuil, v;49;;11;400;2;36;1;96;5;2;35;38;215;2;
240;Vachon;2018-10-01;G;Longueuil, v;49;;12;398;2;71;1;91;5;2;27;24;223;2;
240;Vachon;2018-10-01;G;Longueuil, v;49;;13;393;1;41;4;76;2;0;41;24;189;7;
240;Vachon;2018-10-01;G;Longueuil, v;49;;14;392;3;52;5;80;4;1;32;32;209;3;
240;Vachon;2018-10-01;G;Longueuil, v;49;;15;400;3;43;5;89;1;0;35;25;201;5;
240;Vachon;2018-10-01;G;Longueuil, v;50;;16;391;3;47;6;59;5;0;37;29;186;2;
240;Vachon;2018-10-01;G;Longueuil, v;50;;17;381;2;52;5;61;2;1;29;18;170;5;
240;Vachon;2018-10-01;G;Longueuil, v;50;;18;398;1;34;6;83;0;1;32;28;185;2;
240;Vachon;2018-10-01;G;Longueuil, v;50;;19;383;2;39;5;79;2;4;45;37;213;5;
240;Vachon;2018-10-01;G;Longueuil, v;50;;20;393;3;50;5;95;2;0;28;24;207;1;
240;Vachon;2018-10-01;G;Longueuil, v;50;;21;387;0;27;1;78;2;0;43;29;180;4;
240;Vachon;2018-10-01;G;Longueuil, v;50;;22;376;1;25;1;88;1;2;15;33;166;0;
240;Vachon;2018-10-01;G;Longueuil, v;50;;23;398;3;34;1;64;2;2;34;29;169;1;
240;Vachon;2018-10-01;G;Longueuil, v;50;;24;404;1;22;3;82;3;0;38;34;183;4;
240;Vachon;2018-10-01;G;Longueuil, v;51;;25;377;3;40;0;91;2;0;41;23;200;6;
240;Vachon;2018-10-01;G;Longueuil, v;51;;26;392;1;40;2;83;5;0;27;36;194;3;
240;Vachon;2018-10-01;G;Longueuil, v;51;;27;384;0;60;1;69;5;1;35;31;202;1;
240;Vachon;2018-10-01;G;Longueuil, v;51;;28;363;3;21;2;85;3;2;38;43;197;6;
240;Vachon;2018-10-01;G;Longueuil, v;51;;29;378;4;46;2;58;1;1;20;33;165;4;
240;Vachon;2018-10-01;G;Longueuil, v;51;;30;381;1;30;1;73;2;1;30;26;164;0;
240;Vachon;2018-10-01;G;Longueuil, v;51;;31;393;4;32;1;62;4;5;35;41;184;2;
240;Vachon;2018-10-01;G;Longueuil, v;51;;32A;347;0;10;0;21;0;0;5;3;39;0;
240;Vachon;2018-10-01;G;Longueuil, v;51;;32B;328;0;44;0;53;3;2;18;23;143;8;
240;Vachon;2018-10-01;G;Longueuil, v;52;;33;388;5;28;2;74;2;3;21;39;174;2;
240;Vachon;2018-10-01;G;Longueuil, v;52;;34;383;2;34;3;82;4;2;45;35;207;7;
240;Vachon;2018-10-01;G;Longueuil, v;52;;35;397;0;39;0;69;0;2;21;32;163;2;
240;Vachon;2018-10-01;G;Longueuil, v;52;;36;390;0;32;3;82;3;1;40;28;189;5;
240;Vachon;2018-10-01;G;Longueuil, v;52;;37;391;3;30;3;94;3;1;32;21;187;2;
240;Vachon;2018-10-01;G;Longueuil, v;52;;38;398;0;38;2;53;1;0;26;14;134;2;
240;Vachon;2018-10-01;G;Longueuil, v;52;;39;394;2;33;0;79;3;1;19;29;166;7;
240;Vachon;2018-10-01;G;Longueuil, v;53;;40;416;3;12;2;72;2;0;33;35;159;3;
240;Vachon;2018-10-01;G;Longueuil, v;53;;41;406;3;29;3;91;0;1;46;30;203;0;
240;Vachon;2018-10-01;G;Longueuil, v;53;;42A;203;0;22;0;47;2;0;11;27;109;2;
240;Vachon;2018-10-01;G;Longueuil, v;53;;42B;243;0;10;0;52;0;0;14;18;94;1;
240;Vachon;2018-10-01;G;Longueuil, v;53;;43;417;0;55;4;105;4;1;49;16;234;4;
240;Vachon;2018-10-01;G;Longueuil, v;53;;44A;211;3;17;3;37;0;0;17;19;96;4;
240;Vachon;2018-10-01;G;Longueuil, v;53;;44B;238;1;20;3;66;2;0;16;8;116;5;
240;Vachon;2018-10-01;G;Longueuil, v;53;;45;420;2;26;7;78;3;1;17;37;171;6;
240;Vachon;2018-10-01;G;Longueuil, v;54;;46;396;2;33;3;93;8;0;28;31;198;4;
240;Vachon;2018-10-01;G;Longueuil, v;54;;47;392;0;56;1;93;2;2;39;32;225;7;
240;Vachon;2018-10-01;G;Longueuil, v;54;;48;394;0;30;0;88;8;1;48;40;215;5;
240;Vachon;2018-10-01;G;Longueuil, v;54;;49;404;1;31;2;74;2;0;31;37;178;8;
240;Vachon;2018-10-01;G;Longueuil, v;54;;50;403;1;47;0;93;4;1;34;31;211;0;
240;Vachon;2018-10-01;G;Longueuil, v;54;;51;406;0;51;3;82;3;2;40;39;220;3;
240;Vachon;2018-10-01;G;Longueuil, v;54;;52;393;2;35;1;45;3;1;33;25;145;6;
240;Vachon;2018-10-01;G;Longueuil, v;54;;53;407;4;33;1;92;10;0;31;34;205;11;
240;Vachon;2018-10-01;G;Longueuil, v;54;;54;380;2;44;3;95;1;0;43;27;215;6;
240;Vachon;2018-10-01;G;Longueuil, v;54;;55;395;1;47;4;74;2;2;47;46;223;3;
240;Vachon;2018-10-01;G;Longueuil, v;54;;56;396;4;41;1;109;1;0;38;27;221;1;
240;Vachon;2018-10-01;G;Longueuil, v;54;;57;395;1;46;2;101;1;0;21;33;205;5;
240;Vachon;2018-10-01;G;Longueuil, v;54;;58;399;1;74;1;90;3;2;31;30;232;6;
240;Vachon;2018-10-01;G;Longueuil, v;54;;59;407;0;73;3;92;5;1;20;28;222;3;
240;Vachon;2018-10-01;G;Longueuil, v;54;;60;395;0;50;4;97;4;2;49;34;240;1;
240;Vachon;2018-10-01;G;Longueuil, v;54;;61;419;1;22;2;64;2;3;40;50;184;5;
240;Vachon;2018-10-01;G;Longueuil, v;54;;62;405;1;30;8;91;1;0;31;29;191;3;
240;Vachon;2018-10-01;G;Longueuil, v;55;;63;390;1;33;3;97;1;2;22;40;199;5;
240;Vachon;2018-10-01;G;Longueuil, v;55;;64;382;1;29;0;65;3;1;24;31;154;8;
240;Vachon;2018-10-01;G;Longueuil, v;55;;65;401;3;30;4;95;4;0;37;28;201;2;
240;Vachon;2018-10-01;G;Longueuil, v;55;;66;390;0;27;3;62;4;3;33;37;169;4;
240;Vachon;2018-10-01;G;Longueuil, v;55;;67;395;1;28;1;83;2;1;27;28;171;6;
240;Vachon;2018-10-01;G;Longueuil, v;55;;68;390;1;33;2;65;1;1;35;25;163;6;
240;Vachon;2018-10-01;G;Longueuil, v;55;;69;377;2;22;1;94;1;0;27;16;163;4;
240;Vachon;2018-10-01;G;Longueuil, v;55;;70;385;0;34;1;74;2;0;21;31;163;4;
240;Vachon;2018-10-01;G;Longueuil, v;55;;71;392;1;14;5;85;1;1;32;42;181;5;
240;Vachon;2018-10-01;G;Longueuil, v;55;;72;377;3;24;2;76;4;1;40;24;174;3;
240;Vachon;2018-10-01;G;Longueuil, v;55;;73A;219;0;20;0;54;0;1;16;22;113;1;
240;Vachon;2018-10-01;G;Longueuil, v;55;;73B;223;1;24;0;64;4;0;14;11;118;1;
240;Vachon;2018-10-01;G;Longueuil, v;55;;74;383;1;46;5;72;0;2;34;30;190;6;
240;Vachon;2018-10-01;G;Longueuil, v;55;;75;385;5;59;2;78;4;2;45;33;228;3;
240;Vachon;2018-10-01;G;Longueuil, v;55;;76;374;2;67;3;87;1;0;30;24;214;3;
240;Vachon;2018-10-01;G;Longueuil, v;55;;77;395;1;66;1;102;1;1;33;26;231;0;
240;Vachon;2018-10-01;G;Longueuil, v;55;;78;397;1;54;2;103;2;2;55;23;242;3;
240;Vachon;2018-10-01;G;Longueuil, v;55;;79;396;3;66;5;82;1;1;31;28;217;4;
240;Vachon;2018-10-01;G;Longueuil, v;55;;80;372;0;62;0;93;3;0;37;39;234;1;
240;Vachon;2018-10-01;G;Longueuil, v;55;;81;405;1;36;8;71;5;1;28;22;172;7;
240;Vachon;2018-10-01;G;Longueuil, v;55;;82;394;4;43;3;87;3;2;41;21;204;2;
240;Vachon;2018-10-01;G;Longueuil, v;55;;83;395;1;54;2;80;2;0;29;28;196;6;
240;Vachon;2018-10-01;G;Longueuil, v;55;;84;378;1;45;2;99;3;1;30;17;198;4;
240;Vachon;2018-10-01;G;Longueuil, v;56;;85;397;0;48;3;82;2;1;19;40;195;1;
240;Vachon;2018-10-01;G;Longueuil, v;56;;86;402;5;27;3;95;1;0;33;51;215;0;
240;Vachon;2018-10-01;G;Longueuil, v;56;;87A;238;0;18;3;60;2;1;25;13;122;2;
240;Vachon;2018-10-01;G;Longueuil, v;56;;87B;245;0;11;4;70;0;1;18;15;119;2;
240;Vachon;2018-10-01;G;Longueuil, v;56;;88;408;3;36;3;134;3;4;32;26;241;5;
240;Vachon;2018-10-01;G;Longueuil, v;56;;89;404;2;21;1;98;1;1;48;23;195;9;
240;Vachon;2018-10-01;G;Longueuil, v;56;;90;398;3;30;4;110;3;5;27;40;222;5;
240;Vachon;2018-10-01;G;Longueuil, v;56;;91;406;1;43;2;109;3;2;35;43;238;4;
240;Vachon;2018-10-01;G;Longueuil, v;56;;92;392;3;37;1;113;0;0;42;32;228;6;
240;Vachon;2018-10-01;G;Longueuil, v;56;;93;413;3;28;8;92;2;3;32;20;188;5;
240;Vachon;2018-10-01;G;Longueuil, v;56;;94;414;1;46;4;108;1;0;27;38;225;2;
240;Vachon;2018-10-01;G;Longueuil, v;56;;95;398;2;44;2;108;1;2;40;20;219;7;
240;Vachon;2018-10-01;G;Longueuil, v;56;;96;398;0;60;2;105;2;1;37;23;230;2;
240;Vachon;2018-10-01;G;Longueuil, v;57;;97;401;1;34;1;67;2;1;18;32;156;2;
240;Vachon;2018-10-01;G;Longueuil, v;57;;98;396;1;69;1;64;4;0;30;25;194;0;
240;Vachon;2018-10-01;G;Longueuil, v;57;;99;416;1;49;3;101;1;0;34;40;229;7;
240;Vachon;2018-10-01;G;Longueuil, v;57;;100;409;4;62;3;83;1;1;17;16;187;5;
240;Vachon;2018-10-01;G;Longueuil, v;57;;101;409;1;45;2;90;0;0;24;36;198;1;
240;Vachon;2018-10-01;G;Longueuil, v;57;;102;409;2;50;6;79;2;2;45;36;222;4;
240;Vachon;2018-10-01;G;Longueuil, v;57;;103;413;2;48;2;79;2;2;37;24;196;2;
240;Vachon;2018-10-01;G;Longueuil, v;57;;104;412;1;83;2;78;5;1;19;17;206;5;
240;Vachon;2018-10-01;G;Longueuil, v;57;;105;409;1;52;0;92;2;0;26;22;195;4;
240;Vachon;2018-10-01;G;Longueuil, v;58;;106;393;4;52;2;59;0;0;36;31;184;4;
240;Vachon;2018-10-01;G;Longueuil, v;58;;107;397;2;64;1;59;3;0;38;23;190;1;
240;Vachon;2018-10-01;G;Longueuil, v;58;;108;383;1;77;4;52;1;3;23;28;189;3;
240;Vachon;2018-10-01;G;Longueuil, v;58;;109;391;3;53;2;76;2;0;27;20;183;4;
240;Vachon;2018-10-01;G;Longueuil, v;58;;110;382;2;38;0;81;2;0;22;33;178;4;
240;Vachon;2018-10-01;G;Longueuil, v;58;;111;395;0;60;0;64;7;2;22;25;180;1;
240;Vachon;2018-10-01;G;Longueuil, v;58;;112;383;1;64;2;63;1;0;18;22;171;3;
240;Vachon;2018-10-01;G;Longueuil, v;59;;113;377;1;66;2;72;0;1;24;19;185;2;
240;Vachon;2018-10-01;G;Longueuil, v;59;;114;372;1;54;3;75;4;0;38;28;203;4;
240;Vachon;2018-10-01;G;Longueuil, v;59;;115;364;3;26;0;64;4;2;36;26;161;1;
240;Vachon;2018-10-01;G;Longueuil, v;59;;116;359;1;46;4;80;3;0;38;32;204;2;
240;Vachon;2018-10-01;G;Longueuil, v;59;;117;360;1;41;3;87;0;0;43;19;194;4;
240;Vachon;2018-10-01;G;Longueuil, v;59;;118;367;3;46;3;80;2;1;25;23;183;2;
240;Vachon;2018-10-01;G;Longueuil, v;60;;119;363;0;50;4;65;3;0;20;27;169;3;
240;Vachon;2018-10-01;G;Longueuil, v;60;;120;350;1;42;2;54;0;3;19;20;141;3;
240;Vachon;2018-10-01;G;Longueuil, v;60;;121;371;4;37;5;64;1;1;28;28;168;2;
240;Vachon;2018-10-01;G;Longueuil, v;60;;122;379;2;54;1;69;3;2;25;14;170;7;
240;Vachon;2018-10-01;G;Longueuil, v;60;;123;386;0;38;4;81;1;0;29;32;185;7;
240;Vachon;2018-10-01;G;Longueuil, v;61;;124;409;3;59;2;71;2;1;22;21;181;5;
240;Vachon;2018-10-01;G;Longueuil, v;61;;125;371;2;44;5;66;2;0;24;32;175;2;
240;Vachon;2018-10-01;G;Longueuil, v;61;;126;400;2;44;6;47;4;1;24;26;154;3;
240;Vachon;2018-10-01;G;Longueuil, v;61;;127;399;2;40;2;59;2;1;21;32;159;7;
240;Vachon;2018-10-01;G;Longueuil, v;61;;128;410;1;32;0;68;6;0;31;33;171;1;
240;Vachon;2018-10-01;G;Longueuil, v;61;;129;388;1;40;0;80;3;4;23;39;190;6;
240;Vachon;2018-10-01;G;Longueuil, v;54;Regr. BVO-61;500;37;0;0;0;0;0;0;0;0;0;0;
240;Vachon;2018-10-01;G;Longueuil, v;55;Regr. BVO-71;501;76;0;0;0;0;0;0;0;0;0;0;
240;Vachon;2018-10-01;G;Longueuil, v;55;Regr. BVO-71;502;30;0;0;0;0;0;0;0;0;0;0;
240;Vachon;2018-10-01;G;Longueuil, v;55;Regr. BVO-68;503;184;0;0;0;0;0;0;0;0;0;0;
240;Vachon;2018-10-01;G;BVA1: SV no 10, 14 à 19;;;;0;2;71;1;239;2;1;115;47;478;5;
240;Vachon;2018-10-01;G;BVA2: SV no 73 à 79;;;;0;0;57;0;143;1;0;66;28;295;4;
240;Vachon;2018-10-01;G;BVA3: SV no 80 à 81, 84 à 86, 88;;;;0;0;47;0;136;0;0;55;28;266;3;
240;Vachon;2018-10-01;G;BVA4: SV no 89 à 93;;;;0;0;14;2;83;1;1;33;9;143;6;
240;Vachon;2018-10-01;G;BVA5: SV no 82 à 83, 97 à 100;;;;0;0;75;5;158;1;4;62;36;341;5;
240;Vachon;2018-10-01;G;BVA6: SV no 101 à 106;;;;0;2;89;2;186;3;0;54;39;375;6;
240;Vachon;2018-10-01;G;BVA7: SV no 107 à 112;;;;0;4;164;4;258;4;2;97;48;581;9;
240;Vachon;2018-10-01;G;BVA8: SV no 11 à 13, 113 à 115;;;;0;1;51;1;154;4;0;70;43;324;5;
240;Vachon;2018-10-01;G;BVA9: SV no 116 à 122;;;;0;3;97;8;192;3;1;81;50;435;11;
240;Vachon;2018-10-01;G;BVA10: SV no 123 à 129;;;;0;2;100;7;217;1;0;107;65;499;10;
240;Vachon;2018-10-01;G;BVA11: SV no 35, 46 à 51;;;;0;2;94;3;338;5;5;147;86;680;14;
240;Vachon;2018-10-01;G;BVA12: SV no 52 à 58;;;;0;1;60;0;216;5;2;73;62;419;8;
240;Vachon;2018-10-01;G;BVA13: SV no 59 à 62, 64 à 65;;;;0;1;51;6;143;4;0;62;44;311;7;
240;Vachon;2018-10-01;G;BVA14: SV no 66 à 72;;;;0;3;100;7;268;6;1;84;54;523;6;
240;Vachon;2018-10-01;G;BVA15: SV no 63, 87, 94 à 96;;;;0;1;40;3;114;1;0;26;9;194;2;
240;Vachon;2018-10-01;G;BVA16: SV no 1 à 2, 26 à 30;;;;0;2;68;3;167;3;3;68;45;359;4;
240;Vachon;2018-10-01;G;BVA17: SV no 31 à 34, 36 à 38;;;;0;1;109;7;317;0;5;123;57;619;6;
240;Vachon;2018-10-01;G;BVA18: SV no 39 à 45;;;;0;2;57;4;162;5;3;75;32;340;8;
240;Vachon;2018-10-01;G;BVA19: SV no 3 à 9;;;;0;3;100;7;232;3;0;112;59;516;6;
240;Vachon;2018-10-01;G;BVA20: SV no 20 à 25;;;;0;4;66;4;170;1;4;54;42;345;8;
240;Vachon;2018-10-01;G;Vote en installation d'hébergement;;;;0;2;55;6;57;3;5;17;10;155;5;
240;Vachon;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;0;35;1;53;3;0;22;8;122;0;
240;Vachon;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;10;434;28;926;39;8;360;244;2049;30;
240;Vachon;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;
240;Vachon;2018-10-01;G;Vote hors circonscription;;;;0;5;66;3;86;8;4;60;208;440;14;
240;Vachon;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;17;0;0;0;0;0;0;0;0;0;0;
240;Vachon;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;7;0;0;0;0;0;0;0;0;0;0;
240;Vachon;2018-10-01;G;Total de la circonscription;;;;51519;278;7536;436;15625;453;200;6106;5194;35828;676;
240;Vachon;2018-10-01;G;Majorité en faveur de Ian Lafrenière : 8089
