Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Mario C.A.Q.-É.F.L.;Côté Carl Ind;Dallaire David C.P.Q.;Duquette William P.Q.;Fortin Alain P.C.Q./C.P.Q.;Huot Patrick P.L.Q./Q.L.P.;Poliquin Carl-André P.N.;Raymond Samuel P.V.Q./G.P.Q.;Voisine Monique Q.S.;B.V.;B.R.;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;101;;1;381;104;0;0;22;11;63;0;0;14;214;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;101;;2;387;107;2;0;22;14;46;0;4;15;210;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;101;;3;379;97;2;0;13;14;53;4;6;33;222;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;101;;4;390;101;2;3;24;8;48;2;3;34;225;9;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;101;;5;386;99;1;0;26;11;82;2;3;24;248;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;101;;6;385;121;1;0;24;26;43;1;4;25;245;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;101;;7;381;100;1;1;19;5;38;0;3;21;188;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;101;;8;392;82;3;2;21;8;39;2;3;24;184;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;9;399;93;3;0;28;10;57;2;3;18;214;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;10;397;105;0;2;25;10;55;4;2;31;234;9;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;11;406;124;0;2;27;7;47;0;3;27;237;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;12;417;121;1;0;16;19;42;0;2;29;230;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;13;402;92;2;0;21;3;43;1;0;10;172;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;14;414;72;3;1;16;8;41;0;4;19;164;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;15;394;113;2;0;13;12;77;0;4;15;236;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;16;410;116;0;2;19;9;58;1;3;16;224;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;17;407;113;1;1;7;4;25;1;5;26;183;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;18;400;127;4;0;12;15;53;0;1;19;231;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;19;394;85;1;0;12;6;54;0;1;16;175;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;20;396;77;1;1;20;8;40;2;2;6;157;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;21;410;106;1;2;17;9;62;1;2;20;220;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;22;416;110;4;0;15;7;74;0;6;27;243;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;23;389;54;1;4;8;2;36;1;0;18;124;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;102;;24;417;71;1;2;21;5;39;1;6;22;168;4;
