Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourbonnais Claude C.A.Q.-É.F.L.;Erchov Igor Q.S.;Lapalme Philip P.Q.;Mossa Jason P.V.Q./G.P.Q.;Nichols Marie-Claude P.L.Q./Q.L.P.;Piché-Jetté Camille B.P.;Pilon Daniel C.P.Q.;Robertson Ryan P.C.Q./C.P.Q.;Young Ryan N.P.D.Q.;B.V.;B.R.;
224;Vaudreuil;2018-10-01;G;Pincourt, v;1;;1;384;52;14;15;3;62;1;0;6;0;153;0;
224;Vaudreuil;2018-10-01;G;Pincourt, v;1;;2;389;57;17;14;4;58;1;1;2;1;155;2;
224;Vaudreuil;2018-10-01;G;Pincourt, v;1;;3;405;60;11;22;5;77;1;3;4;4;187;6;
224;Vaudreuil;2018-10-01;G;Pincourt, v;1;;4;392;52;19;22;7;93;0;3;10;3;209;1;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;5;404;25;16;15;12;117;1;4;6;2;198;0;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;6;409;37;18;7;9;107;0;3;2;0;183;1;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;7;412;27;18;15;7;129;1;1;2;4;204;2;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;8;397;47;19;8;8;109;0;3;6;6;206;3;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;9;420;47;11;15;2;88;2;5;8;3;181;1;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;10;419;58;8;13;9;92;1;3;5;3;192;7;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;11;400;63;17;14;6;76;1;2;2;3;184;1;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;12;416;59;12;8;9;102;1;1;2;1;195;0;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;13;413;69;17;8;6;99;1;0;8;5;213;2;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;14;403;45;24;10;5;101;2;3;7;9;206;2;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;15;411;67;10;19;9;103;1;2;8;6;225;5;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;16;398;34;9;11;4;116;1;0;10;7;192;3;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;17;390;50;12;10;3;123;2;1;1;6;208;0;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;18;400;37;5;4;4;120;0;0;6;3;179;1;
224;Vaudreuil;2018-10-01;G;Pincourt, v;2;;19;398;34;13;9;7;146;0;0;5;1;215;2;
224;Vaudreuil;2018-10-01;G;Pincourt, v;3;;20;385;56;17;13;4;78;0;0;9;5;182;1;
224;Vaudreuil;2018-10-01;G;Pincourt, v;3;;21;392;60;21;16;11;76;0;0;2;2;188;2;
224;Vaudreuil;2018-10-01;G;Pincourt, v;3;;22;395;42;10;17;6;110;1;1;5;6;198;2;
224;Vaudreuil;2018-10-01;G;Pincourt, v;3;;23;400;47;25;15;5;79;0;4;4;3;182;0;
224;Vaudreuil;2018-10-01;G;Pincourt, v;3;;24;396;56;17;28;2;67;2;0;4;4;180;2;
224;Vaudreuil;2018-10-01;G;Pincourt, v;3;;25;405;64;26;11;8;71;0;3;5;6;194;4;
224;Vaudreuil;2018-10-01;G;Pincourt, v;3;;26;389;75;30;25;8;55;0;2;3;4;202;1;
224;Vaudreuil;2018-10-01;G;Pincourt, v;3;;27;401;57;18;24;6;76;4;0;3;5;193;4;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;1;;28A;229;53;12;10;4;35;1;1;2;0;118;3;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;1;;28B;244;38;15;9;1;37;0;0;5;0;105;2;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;1;;29;395;70;23;19;8;98;2;0;4;1;225;4;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;1;;30;400;67;35;31;6;77;1;3;1;3;224;0;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;1;;31;409;65;33;22;6;77;4;0;3;6;216;2;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;1;;32;399;59;24;22;5;95;1;0;5;0;211;3;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;1;;33;403;69;16;13;5;104;0;2;6;2;217;2;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;34;415;54;12;20;8;94;0;3;2;0;193;0;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;35;418;69;31;8;11;83;0;0;4;1;207;4;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;36;410;80;23;19;5;103;1;2;3;2;238;3;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;37;391;81;18;23;8;65;1;3;4;4;207;1;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;38;414;103;24;27;10;66;1;1;4;2;238;2;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;39A;210;48;19;15;5;36;0;4;1;2;130;0;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;39B;216;44;16;13;7;41;0;1;4;0;126;0;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;40;397;80;24;10;3;78;1;4;4;6;210;5;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;41;414;76;27;11;3;99;2;3;3;8;232;1;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;42;420;94;16;24;6;82;0;2;4;3;231;3;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;43;417;61;17;10;9;110;1;1;6;3;218;1;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;44;410;78;21;23;4;102;2;3;2;0;235;3;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;45;396;77;34;15;6;88;0;3;3;4;230;1;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;46;392;62;26;10;11;65;0;2;3;6;185;5;
224;Vaudreuil;2018-10-01;G;Notre-Dame-de-l'Île-Perrot, v;2;;47;403;83;22;23;6;76;1;1;3;2;217;3;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;1;;48;351;56;14;16;5;44;0;3;6;3;147;6;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;1;;49;362;38;22;24;5;122;1;1;2;5;220;4;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;1;;50;358;64;15;24;2;54;2;1;7;7;176;4;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;1;;51;362;72;20;16;5;52;4;1;5;1;176;1;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;1;;52;344;57;21;10;5;46;0;0;2;2;143;1;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;1;;53;359;46;22;23;4;41;0;4;1;1;142;3;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;1;;54;352;39;11;12;4;72;2;2;7;3;152;2;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;2;;55;378;92;19;16;4;33;2;2;4;3;175;4;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;2;;56;381;45;30;28;9;34;1;0;3;2;152;4;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;2;;57;394;42;18;23;3;75;1;1;1;6;170;3;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;2;;58;382;64;16;9;10;68;1;2;2;3;175;3;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;2;;59;405;58;15;23;8;82;1;3;2;5;197;4;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;2;;60;380;62;19;19;9;68;1;0;11;2;191;4;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;2;;61;407;83;16;32;3;47;4;5;9;3;202;1;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;3;;62;357;82;26;20;9;43;2;3;1;5;191;6;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;3;;63;375;69;28;20;4;70;0;2;1;1;195;1;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;3;;64;346;72;25;24;6;66;3;1;8;0;205;6;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;3;;65;358;45;10;25;10;70;5;0;4;3;172;1;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;3;;66;365;60;17;21;7;61;3;6;12;6;193;5;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;3;;67;356;55;23;18;8;71;2;0;1;3;181;2;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;3;;68;364;45;15;16;7;90;1;4;7;4;189;0;
224;Vaudreuil;2018-10-01;G;L'Île-Perrot, v;3;;69;355;69;19;14;10;84;1;5;5;2;209;4;
224;Vaudreuil;2018-10-01;G;Terrasse-Vaudreuil, m;1;;70;361;53;32;21;9;104;1;4;2;4;230;4;
224;Vaudreuil;2018-10-01;G;Terrasse-Vaudreuil, m;1;;71;385;63;27;26;8;76;0;1;2;3;206;6;
224;Vaudreuil;2018-10-01;G;Terrasse-Vaudreuil, m;1;;72;372;47;30;28;9;62;2;1;1;7;187;9;
224;Vaudreuil;2018-10-01;G;Terrasse-Vaudreuil, m;1;;73;390;70;20;33;2;58;1;5;0;5;194;5;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;74;387;67;26;15;6;80;0;0;3;2;199;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;75;397;57;16;14;5;68;0;6;3;9;178;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;76;395;36;8;5;5;80;1;0;4;3;142;4;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;77;383;45;3;9;9;84;1;0;2;5;158;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;78;397;58;24;29;5;69;2;3;7;3;200;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;79;410;34;15;16;8;102;2;0;4;4;185;3;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;80;399;57;20;21;5;72;1;3;1;4;184;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;81;385;68;26;18;1;86;2;3;0;5;209;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;82;386;71;10;9;8;81;1;5;1;2;188;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;83;394;56;17;11;1;73;0;4;3;3;168;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;84;382;36;11;10;4;87;2;1;4;2;157;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;85A;250;21;3;1;5;63;0;1;1;1;96;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;85B;241;23;7;4;4;54;0;0;0;1;93;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;86;387;36;5;9;3;92;0;1;2;1;149;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;87A;240;26;11;10;2;39;0;1;1;1;91;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;87B;245;24;9;2;3;64;0;0;1;0;103;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;88;408;57;8;8;5;84;0;1;6;4;173;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;89;401;37;10;10;4;93;1;1;4;3;163;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;90A;230;23;6;7;2;56;1;1;0;1;97;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;90B;221;29;9;3;5;66;1;0;1;1;115;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;91;420;46;6;14;0;68;0;2;5;2;143;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;92;401;49;10;15;3;85;0;0;4;2;168;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;93A;210;25;8;15;0;33;0;1;4;1;87;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;93B;217;33;10;6;0;69;0;0;0;0;118;1;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;94;404;56;11;15;6;75;0;2;5;2;172;5;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;95;400;69;13;21;3;96;0;1;4;3;210;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;96;404;66;14;10;3;87;0;2;7;2;191;0;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;97;406;44;14;13;4;93;0;2;1;4;175;2;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;98;394;56;10;18;3;82;2;2;2;5;180;7;
224;Vaudreuil;2018-10-01;G;Vaudreuil-Dorion, v;1;;99;398;51;11;11;0;40;1;0;1;0;115;4;
