Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit Lisette P.C.Q./C.P.Q.;Bergeron Stéphane P.Q.;Dansereau Suzanne C.A.Q.-É.F.L.;Downey Pierre-Olivier P.V.Q./G.P.Q.;Hillel Vincent N.P.D.Q.;Péloquin Jean-René Q.S.;Wnorowska Agnieszka P.L.Q./Q.L.P.;B.V.;B.R.;
256;Verchères;2018-10-01;G;Calixa-Lavallée, m;1;;1;392;4;130;106;7;2;39;21;309;2;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;2;360;3;87;48;2;1;29;5;175;4;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;3;406;2;57;93;3;1;46;11;213;6;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;4;386;2;79;64;3;4;27;3;182;4;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;5;386;3;104;68;4;1;30;4;214;3;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;6;379;3;63;88;3;1;19;10;187;3;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;7;410;3;81;91;3;0;33;15;226;3;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;8;394;1;79;68;2;3;18;6;177;0;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;9;385;0;83;86;0;0;13;7;189;2;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;10;374;2;97;47;3;2;31;6;188;2;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;11;400;0;73;81;1;2;29;13;199;4;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;12;396;1;77;108;3;2;24;7;222;8;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;13;382;4;53;84;1;3;24;8;177;3;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;14;388;1;56;59;3;1;22;9;151;6;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;15;387;1;96;71;1;2;13;13;197;4;
256;Verchères;2018-10-01;G;Contrecoeur, v;1;;16;390;0;93;83;4;0;25;11;216;3;
256;Verchères;2018-10-01;G;Contrecoeur, v;2;;17;388;4;74;87;2;1;31;20;219;1;
256;Verchères;2018-10-01;G;Contrecoeur, v;2;;18;387;2;100;79;4;1;19;18;223;4;
256;Verchères;2018-10-01;G;Verchères, m;1;;19;355;2;104;84;1;2;36;24;253;3;
256;Verchères;2018-10-01;G;Verchères, m;1;;20;348;2;105;79;4;6;39;8;243;1;
256;Verchères;2018-10-01;G;Verchères, m;1;;21;347;1;108;71;1;0;42;11;234;2;
256;Verchères;2018-10-01;G;Verchères, m;1;;22;350;3;117;85;3;2;21;14;245;3;
256;Verchères;2018-10-01;G;Verchères, m;1;;23;346;2;120;77;5;1;31;12;248;7;
256;Verchères;2018-10-01;G;Verchères, m;1;;24;363;1;106;67;3;0;40;13;230;6;
256;Verchères;2018-10-01;G;Verchères, m;1;;25;351;3;98;66;5;1;45;7;225;5;
256;Verchères;2018-10-01;G;Verchères, m;2;;26;371;1;95;72;7;0;30;29;234;6;
256;Verchères;2018-10-01;G;Verchères, m;2;;27;354;2;130;87;7;0;39;6;271;3;
256;Verchères;2018-10-01;G;Verchères, m;2;;28;361;1;135;91;5;2;34;9;277;4;
256;Verchères;2018-10-01;G;Verchères, m;2;;29;359;2;90;83;2;3;36;9;225;3;
256;Verchères;2018-10-01;G;Verchères, m;2;;30;357;2;124;76;2;0;33;12;249;5;
256;Verchères;2018-10-01;G;Varennes, v;1;;31;399;2;99;82;4;1;32;24;244;4;
256;Verchères;2018-10-01;G;Varennes, v;1;;32A;233;0;48;47;6;1;36;2;140;3;
256;Verchères;2018-10-01;G;Varennes, v;1;;32B;208;1;44;40;2;3;22;11;123;0;
256;Verchères;2018-10-01;G;Varennes, v;1;;33;411;5;108;83;6;3;30;17;252;4;
256;Verchères;2018-10-01;G;Varennes, v;1;;34;418;1;72;74;4;2;37;15;205;2;
256;Verchères;2018-10-01;G;Varennes, v;1;;35;406;1;108;55;6;4;47;16;237;4;
256;Verchères;2018-10-01;G;Varennes, v;1;;36;425;1;97;74;1;2;40;25;240;6;
256;Verchères;2018-10-01;G;Varennes, v;1;;37;422;0;67;60;2;2;35;9;175;1;
256;Verchères;2018-10-01;G;Varennes, v;2;;38;360;6;75;73;7;5;38;13;217;0;
256;Verchères;2018-10-01;G;Varennes, v;2;;39;367;2;91;75;5;6;33;18;230;3;
256;Verchères;2018-10-01;G;Varennes, v;2;;40;368;2;84;84;5;2;31;18;226;1;
256;Verchères;2018-10-01;G;Varennes, v;2;;41;366;1;92;72;1;0;33;21;220;5;
256;Verchères;2018-10-01;G;Varennes, v;2;;42;361;1;94;70;5;1;42;12;225;3;
256;Verchères;2018-10-01;G;Varennes, v;2;;43;362;2;110;61;4;4;32;17;230;6;
256;Verchères;2018-10-01;G;Varennes, v;3;;44;383;0;82;90;5;5;33;9;224;6;
256;Verchères;2018-10-01;G;Varennes, v;3;;45;390;1;89;78;0;4;35;20;227;3;
256;Verchères;2018-10-01;G;Varennes, v;3;;46;389;0;81;64;2;2;38;8;195;4;
256;Verchères;2018-10-01;G;Varennes, v;3;;47;393;0;95;76;3;3;39;13;229;3;
256;Verchères;2018-10-01;G;Varennes, v;3;;48;388;1;99;82;3;6;23;15;229;3;
256;Verchères;2018-10-01;G;Varennes, v;3;;49;384;2;97;87;3;2;40;15;246;3;
256;Verchères;2018-10-01;G;Varennes, v;3;;50;384;1;85;71;1;4;61;17;240;2;
256;Verchères;2018-10-01;G;Varennes, v;3;;51;390;1;82;71;5;4;44;8;215;2;
256;Verchères;2018-10-01;G;Varennes, v;3;;52;390;0;87;92;1;4;51;11;246;6;
256;Verchères;2018-10-01;G;Varennes, v;3;;53;382;2;101;70;8;6;34;24;245;0;
256;Verchères;2018-10-01;G;Varennes, v;3;;54;400;1;104;60;5;2;47;17;236;4;
256;Verchères;2018-10-01;G;Varennes, v;3;;55;388;1;94;82;3;1;29;23;233;3;
256;Verchères;2018-10-01;G;Varennes, v;3;;56;383;2;82;81;5;1;33;10;214;4;
256;Verchères;2018-10-01;G;Varennes, v;3;;57;399;2;69;66;1;3;27;8;176;2;
256;Verchères;2018-10-01;G;Varennes, v;4;;58;407;0;83;90;4;3;26;17;223;2;
256;Verchères;2018-10-01;G;Varennes, v;4;;59;414;1;105;96;2;1;33;26;264;4;
256;Verchères;2018-10-01;G;Varennes, v;4;;60;403;1;91;85;6;2;23;18;226;6;
256;Verchères;2018-10-01;G;Varennes, v;4;;61;409;0;86;74;5;2;28;30;225;5;
256;Verchères;2018-10-01;G;Varennes, v;4;;62;408;0;75;81;3;2;35;15;211;5;
256;Verchères;2018-10-01;G;Varennes, v;4;;63;408;2;76;93;1;5;27;35;239;2;
256;Verchères;2018-10-01;G;Varennes, v;4;;64;416;1;91;93;0;3;25;32;245;3;
256;Verchères;2018-10-01;G;Varennes, v;4;;65;393;2;73;99;4;2;29;29;238;2;
256;Verchères;2018-10-01;G;Varennes, v;4;;66;405;1;102;78;5;0;38;22;246;6;
256;Verchères;2018-10-01;G;Varennes, v;4;;67;389;1;94;80;6;1;37;16;235;4;
256;Verchères;2018-10-01;G;Varennes, v;4;;68;409;2;85;65;11;0;55;18;236;2;
256;Verchères;2018-10-01;G;Varennes, v;4;;69;408;3;74;56;3;1;52;11;200;4;
256;Verchères;2018-10-01;G;Varennes, v;4;;70;391;1;75;92;1;0;28;30;227;5;
256;Verchères;2018-10-01;G;Varennes, v;4;;71;409;1;98;113;1;2;13;36;264;1;
256;Verchères;2018-10-01;G;Sainte-Julie, v;1;;72;391;3;80;97;7;3;29;37;256;0;
256;Verchères;2018-10-01;G;Sainte-Julie, v;1;;73;404;0;87;76;6;2;50;43;264;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;1;;74;397;1;69;90;10;6;24;57;257;1;
256;Verchères;2018-10-01;G;Sainte-Julie, v;1;;75;411;1;103;101;7;3;43;36;294;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;1;;76;402;2;70;70;8;0;49;21;220;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;1;;77;413;4;55;98;6;2;45;24;234;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;2;;78;355;2;54;79;2;2;34;15;188;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;2;;79;395;3;56;136;1;2;36;32;266;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;2;;80;401;0;77;96;6;4;45;15;243;5;
