Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fortier Constantin P.Q.;Fortin Raphaël N.P.D.Q.;Leduc Nicole C.A.Q.-É.F.L.;Melançon Isabelle P.L.Q./Q.L.P.;Milette Marc-André P.N.;Moryoussef Yedidya-Eitan P.C.Q./C.P.Q.;Richard Hugo B.P.;Roy Vanessa Q.S.;Studd Eileen P.M.L.Q.;Tyrrell Alex P.V.Q./G.P.Q.;B.V.;B.R.
300;Verdun;2018-10-01;G;Montréal, v;69;;1;349;34;5;30;63;0;1;0;55;0;5;193;1
300;Verdun;2018-10-01;G;Montréal, v;69;;2;372;32;3;61;71;2;0;0;36;0;9;214;0
300;Verdun;2018-10-01;G;Montréal, v;69;;3;352;33;1;41;66;0;0;0;38;0;5;184;2
300;Verdun;2018-10-01;G;Montréal, v;69;;4;376;36;6;50;63;2;2;0;39;1;7;206;1
300;Verdun;2018-10-01;G;Montréal, v;69;;5;372;11;3;8;11;0;0;1;10;1;2;47;1
300;Verdun;2018-10-01;G;Montréal, v;70;;6;342;22;3;42;71;1;1;0;42;0;5;187;1
300;Verdun;2018-10-01;G;Montréal, v;70;;7;365;23;4;33;68;0;3;0;45;0;4;180;1
300;Verdun;2018-10-01;G;Montréal, v;70;;8;352;15;6;33;45;0;0;0;39;0;5;143;1
300;Verdun;2018-10-01;G;Montréal, v;70;;9;337;22;2;25;63;1;1;0;42;0;1;157;4
300;Verdun;2018-10-01;G;Montréal, v;70;;10;350;17;6;33;56;1;3;0;52;0;4;172;0
300;Verdun;2018-10-01;G;Montréal, v;70;;11;346;25;2;42;45;0;0;2;39;0;6;161;2
300;Verdun;2018-10-01;G;Montréal, v;71;;12;363;11;3;18;49;1;2;1;42;0;7;134;4
300;Verdun;2018-10-01;G;Montréal, v;71;;13;358;24;2;41;46;1;0;0;2;0;4;120;2
300;Verdun;2018-10-01;G;Montréal, v;71;;14;390;27;3;45;75;0;2;2;41;0;3;198;0
300;Verdun;2018-10-01;G;Montréal, v;71;;15;378;28;2;33;71;0;5;0;51;0;8;198;1
300;Verdun;2018-10-01;G;Montréal, v;71;;16;358;30;1;30;63;1;0;1;56;0;5;187;2
300;Verdun;2018-10-01;G;Montréal, v;71;;17;366;25;1;45;74;2;1;1;36;1;6;192;2
300;Verdun;2018-10-01;G;Montréal, v;72;;18;330;21;5;51;45;0;1;0;49;0;6;178;1
300;Verdun;2018-10-01;G;Montréal, v;72;;19;328;24;3;26;49;2;1;0;44;1;4;154;1
300;Verdun;2018-10-01;G;Montréal, v;72;;20;335;44;1;43;55;2;0;2;33;0;12;192;1
300;Verdun;2018-10-01;G;Montréal, v;72;;21;321;17;12;30;45;0;0;0;43;0;9;156;2
300;Verdun;2018-10-01;G;Montréal, v;73;;22;359;21;3;21;43;0;0;2;50;1;4;145;2
