Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ahmed Mamoun N.P.D.Q.;Benjamin Frantz P.L.Q./Q.L.P.;Bernardo Beverly Ind;Gaspard Janny C.A.Q.-É.F.L.;Lafrenière Sylvain Q.S.;Pépino Hugo B.P.;Sanon Mounddy P.Q.;St-Onge Patrick P.C.Q./C.P.Q.;B.V.;B.R.
358;Viau;2018-10-01;G;Montréal, v;261;;1;354;1;52;0;13;7;1;5;2;81;5
358;Viau;2018-10-01;G;Montréal, v;261;;2;362;2;73;3;19;12;0;2;1;112;1
358;Viau;2018-10-01;G;Montréal, v;261;;3;349;2;57;0;17;20;5;3;1;105;3
358;Viau;2018-10-01;G;Montréal, v;261;;4;361;2;51;0;15;12;1;7;3;91;4
358;Viau;2018-10-01;G;Montréal, v;262;;5;409;3;106;1;24;11;0;7;4;156;3
358;Viau;2018-10-01;G;Montréal, v;262;;6;395;1;87;1;21;16;1;3;1;131;5
358;Viau;2018-10-01;G;Montréal, v;262;;7;405;12;85;1;11;15;3;9;1;137;4
358;Viau;2018-10-01;G;Montréal, v;262;;8;392;11;130;2;17;15;2;8;1;186;0
358;Viau;2018-10-01;G;Montréal, v;263;;9;339;7;104;1;10;20;1;7;0;150;5
358;Viau;2018-10-01;G;Montréal, v;263;;10;345;1;59;0;20;22;0;7;0;109;15
358;Viau;2018-10-01;G;Montréal, v;263;;11;339;2;61;1;24;24;0;8;3;123;5
358;Viau;2018-10-01;G;Montréal, v;263;;12;337;6;86;0;17;12;2;7;3;133;2
358;Viau;2018-10-01;G;Montréal, v;263;;13;336;3;67;5;29;25;1;12;3;145;6
358;Viau;2018-10-01;G;Montréal, v;264;;14;363;4;87;1;20;17;1;7;4;141;4
358;Viau;2018-10-01;G;Montréal, v;264;;15;371;5;54;1;32;22;0;20;2;136;2
358;Viau;2018-10-01;G;Montréal, v;264;;16;370;2;100;2;16;13;2;8;3;146;4
358;Viau;2018-10-01;G;Montréal, v;264;;17;349;2;80;0;21;17;0;4;3;127;3
358;Viau;2018-10-01;G;Montréal, v;264;;18;359;3;89;1;11;20;0;7;0;131;5
358;Viau;2018-10-01;G;Montréal, v;264;;19;355;1;66;2;36;48;0;19;4;176;3
358;Viau;2018-10-01;G;Montréal, v;264;;20;351;0;59;1;28;43;1;14;1;147;5
358;Viau;2018-10-01;G;Montréal, v;264;;21;378;6;89;3;24;17;0;8;3;150;5
