Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boyer Jean-Marc Ind;Demers Rachel C.P.Q.;Kocini Andriana N.P.D.Q.;Landerman Rachel P.C.Q./C.P.Q.;Messier Mélanie P.V.Q./G.P.Q.;Moreau Sylvie P.Q.;Reeves Michel C.A.Q.-É.F.L.;Rousselle Jean P.L.Q./Q.L.P.;Trottier-Gascon Caroline Q.S.;B.V.;B.R.
476;Vimont;2018-10-01;G;Laval, v;63;;1;409;0;1;3;3;8;39;96;83;30;263;5
476;Vimont;2018-10-01;G;Laval, v;63;;2;408;1;2;1;2;5;22;76;94;28;231;3
476;Vimont;2018-10-01;G;Laval, v;63;;3;400;1;2;3;5;9;20;56;83;28;207;8
476;Vimont;2018-10-01;G;Laval, v;63;;4;382;1;3;0;4;6;30;68;76;19;207;7
476;Vimont;2018-10-01;G;Laval, v;63;;5;400;1;2;1;5;4;25;91;47;20;196;2
476;Vimont;2018-10-01;G;Laval, v;63;;6;411;2;1;0;1;4;20;58;64;28;178;0
476;Vimont;2018-10-01;G;Laval, v;64;;7;332;0;2;2;0;3;30;62;58;32;189;3
476;Vimont;2018-10-01;G;Laval, v;64;;8;332;0;0;4;3;2;37;77;53;32;208;8
476;Vimont;2018-10-01;G;Laval, v;64;;9;333;0;3;4;0;4;18;64;85;32;210;2
476;Vimont;2018-10-01;G;Laval, v;64;;10;331;2;0;3;3;1;16;50;83;16;174;3
476;Vimont;2018-10-01;G;Laval, v;64;;11;325;0;0;1;2;2;22;47;116;8;198;3
476;Vimont;2018-10-01;G;Laval, v;65;;12;387;1;1;1;3;6;17;61;108;26;224;3
476;Vimont;2018-10-01;G;Laval, v;65;;13;379;0;0;1;4;9;29;73;110;15;241;3
476;Vimont;2018-10-01;G;Laval, v;65;;14;395;1;0;5;0;3;19;72;69;29;198;5
476;Vimont;2018-10-01;G;Laval, v;65;;15;380;0;0;3;2;2;12;41;105;15;180;2
476;Vimont;2018-10-01;G;Laval, v;65;;16;378;0;0;1;4;1;1;27;163;3;200;0
476;Vimont;2018-10-01;G;Laval, v;65;;17;387;2;1;0;4;0;16;56;96;13;188;0
476;Vimont;2018-10-01;G;Laval, v;65;;18;400;0;0;2;3;6;8;64;129;7;219;3
476;Vimont;2018-10-01;G;Laval, v;65;;19;367;0;1;0;3;4;25;52;84;27;196;4
476;Vimont;2018-10-01;G;Laval, v;65;;20;383;1;0;2;3;4;28;59;85;16;198;2
476;Vimont;2018-10-01;G;Laval, v;65;;21;387;2;0;2;2;3;13;41;112;19;194;4
476;Vimont;2018-10-01;G;Laval, v;66;;22;365;1;0;2;1;4;27;70;61;30;196;1
476;Vimont;2018-10-01;G;Laval, v;66;;23;353;0;3;1;4;0;21;53;59;21;162;7
476;Vimont;2018-10-01;G;Laval, v;66;;24;356;5;0;2;5;6;23;61;53;33;188;1
476;Vimont;2018-10-01;G;Laval, v;66;;25;349;1;0;1;1;5;31;58;61;25;183;1
476;Vimont;2018-10-01;G;Laval, v;66;;26;353;1;1;0;2;1;21;72;28;26;152;4
476;Vimont;2018-10-01;G;Laval, v;67;;27;385;2;0;1;2;4;25;61;66;15;176;0
476;Vimont;2018-10-01;G;Laval, v;67;;28;380;0;0;5;1;5;30;48;86;33;208;1
476;Vimont;2018-10-01;G;Laval, v;67;;29;378;1;1;5;0;6;21;71;88;21;214;1
476;Vimont;2018-10-01;G;Laval, v;67;;30;386;1;1;2;2;2;43;92;51;40;234;3
476;Vimont;2018-10-01;G;Laval, v;67;;31;378;2;0;4;2;4;21;68;66;26;193;5
476;Vimont;2018-10-01;G;Laval, v;67;;32;392;0;0;1;3;9;39;60;53;35;200;7
476;Vimont;2018-10-01;G;Laval, v;67;;33;382;1;2;1;2;2;20;84;67;18;197;5
476;Vimont;2018-10-01;G;Laval, v;67;;34;389;0;0;1;3;3;16;56;91;17;187;3
476;Vimont;2018-10-01;G;Laval, v;68;;35;384;0;0;2;1;2;15;55;65;24;164;1
476;Vimont;2018-10-01;G;Laval, v;68;;36;387;0;0;1;4;4;20;69;81;33;212;2
476;Vimont;2018-10-01;G;Laval, v;68;;37;388;0;1;1;4;4;30;51;91;15;197;1
476;Vimont;2018-10-01;G;Laval, v;68;;38;379;2;1;0;0;5;41;71;70;28;218;0
476;Vimont;2018-10-01;G;Laval, v;68;;39;395;1;2;1;1;3;16;45;94;14;177;2
476;Vimont;2018-10-01;G;Laval, v;68;;40;376;1;1;2;1;6;36;58;62;26;193;5
476;Vimont;2018-10-01;G;Laval, v;68;;41;392;0;0;2;3;7;17;55;86;23;193;4
476;Vimont;2018-10-01;G;Laval, v;68;;42;380;1;1;1;4;7;19;60;59;33;185;6
476;Vimont;2018-10-01;G;Laval, v;68;;43;389;1;5;4;1;5;24;71;48;16;175;3
476;Vimont;2018-10-01;G;Laval, v;69;;44;401;2;1;2;0;13;19;48;79;28;192;4
476;Vimont;2018-10-01;G;Laval, v;69;;45;400;2;1;2;0;6;32;59;84;17;203;0
476;Vimont;2018-10-01;G;Laval, v;69;;46;407;0;1;2;0;0;27;56;42;25;153;0
476;Vimont;2018-10-01;G;Laval, v;69;;47;405;1;0;0;2;3;10;57;84;26;183;3
476;Vimont;2018-10-01;G;Laval, v;69;;48;409;1;1;1;2;4;20;57;81;24;191;3
476;Vimont;2018-10-01;G;Laval, v;69;;49;413;0;1;2;9;6;16;35;135;17;221;0
476;Vimont;2018-10-01;G;Laval, v;69;;50;413;0;1;1;1;3;14;69;114;13;216;1
476;Vimont;2018-10-01;G;Laval, v;69;;51;395;1;0;1;3;3;8;69;99;14;198;0
476;Vimont;2018-10-01;G;Laval, v;69;;52;411;3;1;1;2;2;18;46;100;14;187;1
476;Vimont;2018-10-01;G;Laval, v;69;;53;418;0;1;0;0;9;9;40;169;8;236;2
476;Vimont;2018-10-01;G;Laval, v;69;;54;403;1;0;0;6;5;11;67;126;6;222;1
476;Vimont;2018-10-01;G;Laval, v;69;;55;401;0;0;1;12;3;8;45;143;6;218;4
476;Vimont;2018-10-01;G;Laval, v;69;;56;413;1;0;2;4;1;6;52;147;9;222;3
476;Vimont;2018-10-01;G;Laval, v;69;;57;414;0;0;0;0;12;21;59;112;21;225;1
476;Vimont;2018-10-01;G;Laval, v;69;;58;405;0;0;3;1;2;11;45;135;18;215;3
476;Vimont;2018-10-01;G;Laval, v;69;;59;400;1;0;1;1;6;17;50;110;14;200;3
476;Vimont;2018-10-01;G;Laval, v;70;;60;346;1;0;0;2;7;42;75;77;25;229;2
476;Vimont;2018-10-01;G;Laval, v;70;;61;357;0;1;5;1;3;30;60;56;13;169;4
476;Vimont;2018-10-01;G;Laval, v;70;;62;349;1;3;2;2;7;21;60;61;25;182;1
476;Vimont;2018-10-01;G;Laval, v;70;;63;352;0;1;4;1;2;38;84;33;30;193;2
476;Vimont;2018-10-01;G;Laval, v;70;;64;351;2;0;0;0;5;16;59;81;19;182;2
476;Vimont;2018-10-01;G;Laval, v;71;;65;394;0;1;2;2;4;31;60;54;30;184;1
476;Vimont;2018-10-01;G;Laval, v;71;;66;377;0;1;2;3;1;24;55;76;20;182;10
476;Vimont;2018-10-01;G;Laval, v;71;;67;380;2;1;1;0;9;20;59;79;50;221;4
476;Vimont;2018-10-01;G;Laval, v;71;;68;385;1;1;1;2;0;30;66;44;32;177;6
476;Vimont;2018-10-01;G;Laval, v;71;;69;376;0;0;4;5;2;16;70;76;12;185;5
476;Vimont;2018-10-01;G;Laval, v;72;;70;367;0;0;0;1;5;19;71;90;14;200;5
476;Vimont;2018-10-01;G;Laval, v;72;;71;389;0;0;1;1;5;26;77;92;24;226;8
