Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit J. Marion P.Q.;Colangelo Lauzon Mikey P.C.Q./C.P.Q.;Kuhn Samuel Dajakran P.V.Q./G.P.Q.;Lawson Nicholas Peter N.P.D.Q.;Maccarone Jennifer P.L.Q./Q.L.P.;Morin Michelle C.A.Q.-É.F.L.;Piskunova Ekaterina Q.S.;B.V.;B.R.
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;1;;1;376;2;3;6;4;169;7;5;196;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;1;;2;372;5;5;6;4;155;13;7;195;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;1;;3;384;1;3;0;4;154;9;0;171;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;1;;4;380;1;4;6;0;157;11;3;182;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;1;;5;377;1;4;3;4;150;14;6;182;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;1;;6;385;5;3;4;0;123;11;4;150;2
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;1;;7;376;0;4;3;0;99;7;0;113;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;1;;8;363;0;6;4;0;123;13;4;150;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;2;;9;372;1;5;3;1;134;5;4;153;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;2;;10;389;4;8;6;2;140;10;10;180;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;2;;11;386;1;0;1;2;124;9;11;148;2
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;2;;12;395;5;2;7;9;125;15;6;169;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;2;;13;366;4;3;4;2;111;12;14;150;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;2;;14;372;6;2;9;2;147;26;7;199;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;2;;15;376;0;4;4;8;127;5;6;154;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;2;;16;376;5;4;3;2;144;9;4;171;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;3;;17;351;4;4;7;5;116;10;4;150;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;3;;18;382;2;6;9;2;146;2;3;170;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;3;;19;360;6;3;3;5;121;10;13;161;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;3;;20;386;1;3;3;3;163;9;14;196;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;3;;21;368;3;4;10;6;144;18;11;196;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;3;;22;354;1;4;20;15;85;5;18;148;2
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;3;;23;374;2;3;9;8;118;10;8;158;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;3;;24;382;4;3;18;9;128;19;8;189;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;3;;25;371;2;6;6;7;115;8;16;160;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;3;;26;365;3;0;5;5;111;10;17;151;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;4;;27;379;6;6;10;14;101;8;8;153;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;4;;28;357;5;5;11;8;88;15;16;148;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;4;;29;381;1;6;1;9;114;16;12;159;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;4;;30;383;6;4;9;9;149;10;5;192;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;4;;31;393;2;2;0;5;137;8;2;156;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;4;;32;389;1;4;10;1;137;13;1;167;1
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;4;;33;371;0;3;0;3;111;7;2;126;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;4;;34;378;1;3;2;2;124;4;4;140;0
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;4;;35;384;10;3;14;10;132;15;17;201;3
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;4;;36;363;2;0;22;6;98;11;15;154;5
332;Westmount-Saint-Louis;2018-10-01;G;Westmount, v;4;;37;382;4;1;2;2;74;7;8;98;1
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;152;;38;346;6;9;4;4;65;17;14;119;0
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;152;;39;382;7;3;1;6;74;24;22;137;3
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;152;;40;335;1;1;3;2;55;6;13;81;1
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;152;;41;336;8;7;1;2;69;9;15;111;2
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;152;;42;378;3;5;8;6;61;17;15;115;0
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;152;;43;333;5;2;6;4;55;6;11;89;1
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;153;;44;375;2;0;6;1;40;13;17;79;1
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;153;;45;365;7;2;1;2;64;6;11;93;2
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;153;;46;361;5;1;3;0;36;10;5;60;1
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;153;;47;364;4;4;2;3;56;6;8;83;0
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;153;;48;401;5;2;2;4;65;5;10;93;1
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;153;;49;365;4;2;1;3;44;12;11;77;0
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;153;;50;356;5;2;7;5;71;9;10;109;0
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;153;;51;401;15;7;4;5;96;14;15;156;0
332;Westmount-Saint-Louis;2018-10-01;G;Montréal, v;154;;52;385;1;2;2;3;136;7;7;158;0
