code_postal,n,lat,long
G0A1A0,9,46.8470462,-71.944144
G0A1E0,41,47.04563006666667,-70.89427195555555
G0A1H0,103,46.900192825,-71.144036425
G0A1L0,38,NA,NA
G0A1N0,50,46.96229314,-71.02926563999999
G0A1S0,34,46.6438803,-71.96581997777778
G0A1W0,19,NA,NA
G0A1X0,10,NA,NA
G0A2A0,3,NA,NA
G0A2J0,10,46.8640513,-71.7275677
G0A2K0,35,46.91622586666667,-71.08527033333334
G0A2L0,5,47.32324133333333,-70.58698286666666
G0A2M0,18,47.4969879,-70.28802575
G0A2R0,57,46.6995133375,-71.591607978125
G0A2Y0,26,46.6956539,-71.8853586
G0A3A0,7,46.9962088,-72.1813200625
G0A3B0,24,46.73931845,-72.1172429
G0A3C0,18,47.020190525,-70.933526125
G0A3G0,24,46.77211436666667,-71.8056415
G0A3J0,3,47.4239625,-70.3645532
G0A3K0,80,47.02957983636364,-71.19468127272728
G0A3L0,15,46.65904023333333,-72.1402332
G0A3P0,13,NA,NA
G0A3R0,35,47.117803,-70.858383
G0A3S0,17,46.9979509,-70.8119266
G0A3T0,2,NA,NA
G0A3V0,5,47.58198874,-70.40900857999999
G0A3W0,18,46.92634133333333,-70.88633333333334
G0A3X0,11,47.0600138,-70.8487482
G0A3Y0,1,47.4577948,-70.3634398
G0A3Z0,15,46.8646388,-70.9984784
G0A4A0,26,NA,NA
G0A4B0,28,46.680934889999996,-72.04945286
G0A4C0,19,NA,NA
G0A4E0,17,46.8721195,-71.09637935
G0A4H0,1,NA,NA
G0A4J0,23,47.1454684,-70.76667403333333
G0A4K0,10,47.5638941,-70.52947134
G0A4L0,20,46.79310615,-72.26680905
G0A4S0,29,47.00428794067796,-71.47235469152542
G0A4V0,17,46.8641065,-71.35971313333334
G0C1A0,1,NA,NA
G0C1E0,39,48.04950427777778,-65.48506487777777
G0C1G0,6,48.43593476666667,-64.3392098
G0C1H0,15,48.09107672,-65.64508572000001
G0C1J0,53,48.10398936666667,-66.1252614
G0C1K0,6,48.34960173508772,-64.67949369298246
G0C1L0,4,48.03123845714286,-66.69297714285715
G0C1N0,2,NA,NA
G0C1P0,11,NA,NA
G0C1T0,9,48.2515147,-65.89246755
G0C1V0,4,48.39845208,-64.4962666
G0C1W0,2,48.391785039999995,-64.550959
G0C1Y0,71,48.181824039999995,-65.92895787
G0C1Z0,4,48.111767,-66.2242715
G0C2A0,2,48.27508975,-64.73446035
