"Numéro de la circonscription";"Numéro du candidat";"Nom";"Prénom";"Numéro du parti politique";"Abréviation du parti politique";"Nombre total de votes";"Taux de vote";"Nombre de votes en avance"
"648";"2358";"Dufour";"Pierre";"27";"C.A.Q.-E.F.L.";"9762";"47.17";"6718"
"648";"2758";"Matte";"Jean-Maurice";"6";"P.L.Q./Q.L.P.";"3044";"14.71";"0"
"648";"2266";"Gingras";"Benjamin";"40";"Q.S.";"2838";"13.71";"0"
"648";"2573";"Rouleau";"Jacline";"8";"P.Q.";"2565";"12.39";"0"
"648";"2362";"Perron-Tellier";"Maxym";"22";"P.C.Q-E.E.D.";"2486";"12.01";"0"
"642";"2177";"Blais";"Suzanne";"27";"C.A.Q.-E.F.L.";"10399";"46.75";"5780"
"642";"2639";"Doré";"Samuel";"8";"P.Q.";"4619";"20.76";"0"
"642";"2463";"Lapierre";"Alexis";"40";"Q.S.";"3623";"16.29";"0"
"642";"2762";"Vigneault";"François";"22";"P.C.Q-E.E.D.";"2293";"10.31";"0"
"642";"2886";"Bourgeois";"Guy";"6";"P.L.Q./Q.L.P.";"1153";"5.18";"0"
"642";"2988";"Blanchette";"Jonathan";"99209";"U.N.";"159";"0.71";"0"
"338";"2636";"Morin";"André A.";"6";"P.L.Q./Q.L.P.";"10981";"42.26";"6513"
"338";"2442";"Lévesque";"Elyse";"40";"Q.S.";"4468";"17.2";"0"
"338";"2377";"Otoya Celis";"Rosmeri";"27";"C.A.Q.-E.F.L.";"4446";"17.11";"0"
"338";"2732";"Gentile";"Stéphanie";"22";"P.C.Q-E.E.D.";"2955";"11.37";"0"
"338";"2740";"Lecours";"Véronique";"8";"P.Q.";"2565";"9.87";"0"
"338";"2720";"Al Nseir";"Roula";"10";"P.V.Q./G.P.Q.";"569";"2.19";"0"
"366";"2211";"Boivin Roy";"Karine";"27";"C.A.Q.-E.F.L.";"9376";"35.56";"1331"
"366";"2202";"Gagnon";"Chantal";"6";"P.L.Q./Q.L.P.";"8045";"30.52";"0"
"366";"2669";"Pageau";"Laurence";"40";"Q.S.";"3893";"14.77";"0"
"366";"2733";"Adda";"Yastene";"8";"P.Q.";"2910";"11.04";"0"
"366";"2813";"Deneault";"Genevieve";"22";"P.C.Q-E.E.D.";"1887";"7.16";"0"
"366";"2921";"Gélinas";"Claude";"99237";"C.Q.";"203";"0.77";"0"
"366";"2826";"LeRougetel";"Katy";"0";"Ind";"49";"0.19";"0"
"520";"2474";"Grondin";"Agnès";"27";"C.A.Q.-E.F.L.";"14725";"45.1";"9434"
"520";"2724";"Girard";"François";"8";"P.Q.";"5291";"16.21";"0"
"520";"2500";"Elayoubi";"Karim";"22";"P.C.Q-E.E.D.";"4807";"14.72";"0"
"520";"2333";"Lachaine";"Marcel";"40";"Q.S.";"3523";"10.79";"0"
"520";"2615";"LeBel";"Philippe";"6";"P.L.Q./Q.L.P.";"3325";"10.18";"0"
"520";"2967";"Lalonde";"Jean";"99263";"P.C.Q./C.P.Q";"436";"1.34";"0"
"520";"2734";"Alvarez";"Luis";"10";"P.V.Q./G.P.Q.";"429";"1.31";"0"
"520";"2915";"Milot";"Marie-Eve";"99286";"D.D.";"113";"0.35";"0"
"144";"2243";"Lefebvre";"Eric";"27";"C.A.Q.-E.F.L.";"23447";"51.75";"12260"
"144";"2465";"Henoud";"Tarek";"22";"P.C.Q-E.E.D.";"11187";"24.69";"0"
"144";"2982";"Beauchesne";"Mario";"8";"P.Q.";"4538";"10.02";"0"
"144";"2332";"Fortin";"Pascale";"40";"Q.S.";"4179";"9.22";"0"
"144";"2875";"Arantes";"Luciana";"6";"P.L.Q./Q.L.P.";"1702";"3.76";"0"
"144";"2654";"Martel";"Trystan";"99237";"C.Q.";"256";"0.57";"0"
"806";"2191";"Provençal";"Luc";"27";"C.A.Q.-E.F.L.";"14590";"43.43";"202"
"806";"2581";"Dumais";"Olivier";"22";"P.C.Q-E.E.D.";"14388";"42.83";"0"
"806";"2986";"Lavoie-Savard";"Paméla";"8";"P.Q.";"1994";"5.94";"0"
"806";"2350";"Jacques-Côté";"François";"40";"Q.S.";"1522";"4.53";"0"
"806";"2664";"Rouleau";"Clermont";"6";"P.L.Q./Q.L.P.";"951";"2.83";"0"
"806";"2634";"Mathieu-Poulin";"Gwendoline";"99237";"C.Q.";"146";"0.43";"0"
"802";"2170";"Poulin";"Samuel";"27";"C.A.Q.-E.F.L.";"16615";"44.55";"428"
"802";"2337";"Poulin";"Jonathan";"22";"P.C.Q-E.E.D.";"16187";"43.4";"0"
"802";"2209";"Fecteau";"Olivier";"40";"Q.S.";"1623";"4.35";"0"
"802";"2960";"Major";"Jean-François";"8";"P.Q.";"1505";"4.04";"0"
"802";"2756";"Poulin";"Antoine";"6";"P.L.Q./Q.L.P.";"1057";"2.83";"0"
"802";"2482";"Mercier";"Hans";"37";"P51";"306";"0.82";"0"
"218";"2281";"Reid";"Claude";"27";"C.A.Q.-E.F.L.";"17882";"53.78";"12242"
"218";"2331";"Desforges";"Claudine";"8";"P.Q.";"5640";"16.96";"0"
"218";"2521";"Poirier";"Emilie";"40";"Q.S.";"4299";"12.93";"0"
"218";"2245";"Dauphinais";"Chantal";"22";"P.C.Q-E.E.D.";"3112";"9.36";"0"
"218";"2976";"Blanchard";"Marc";"6";"P.L.Q./Q.L.P.";"1940";"5.83";"0"
"218";"3040";"Savard";"Hélène";"10";"P.V.Q./G.P.Q.";"243";"0.73";"0"
"218";"2983";"Taillefer";"Mathieu";"99237";"C.Q.";"136";"0.41";"0"
"822";"2175";"Lachance";"Stéphanie";"27";"C.A.Q.-E.F.L.";"15065";"45.74";"3453"
"822";"2176";"Tardif";"Michel";"22";"P.C.Q-E.E.D.";"11612";"35.26";"0"
"822";"2847";"Fontaine";"Jean-Daniel";"8";"P.Q.";"2908";"8.83";"0"
"822";"2539";"D'Auteuil Sirois";"Jérôme";"40";"Q.S.";"1988";"6.04";"0"
"822";"2859";"Bégin";"François";"6";"P.L.Q./Q.L.P.";"1360";"4.13";"0"
"566";"2439";"Proulx";"Caroline";"27";"C.A.Q.-E.F.L.";"21256";"50.97";"12574"
"566";"2196";"Boucher";"Julie";"8";"P.Q.";"8682";"20.82";"0"
"566";"2218";"Drainville";"Amélie";"40";"Q.S.";"5877";"14.09";"0"
"566";"2593";"Primeau";"Benoit";"22";"P.C.Q-E.E.D.";"4585";"10.99";"0"
"566";"3015";"Abdallah";"Hassan";"6";"P.L.Q./Q.L.P.";"1064";"2.55";"0"
"566";"2262";"Aubin";"Claire";"99237";"C.Q.";"242";"0.58";"0"
"588";"2385";"Duranceau";"France-Élaine";"27";"C.A.Q.-E.F.L.";"15927";"45.26";"8668"
"588";"2842";"Freire";"Guillaume";"8";"P.Q.";"7259";"20.63";"0"
"588";"2277";"Francoeur";"Julie";"40";"Q.S.";"5682";"16.15";"0"
"588";"2546";"Meloni";"Philippe";"22";"P.C.Q-E.E.D.";"3444";"9.79";"0"
"588";"2914";"Nadeau";"André";"6";"P.L.Q./Q.L.P.";"2115";"6.01";"0"
"588";"2814";"Steinberger";"Karine";"10";"P.V.Q./G.P.Q.";"448";"1.27";"0"
"588";"2435";"Ouellette";"Marie-Eve";"99281";"P.H.Q.";"162";"0.46";"0"
"588";"2956";"Fortin";"Samuel";"99237";"C.Q.";"151";"0.43";"0"
"536";"2602";"Laframboise";"Mario";"27";"C.A.Q.-E.F.L.";"21149";"49.45";"14549"
"536";"2811";"Labelle";"Frédéric";"8";"P.Q.";"6600";"15.43";"0"
"536";"2698";"Michaud";"Éric";"40";"Q.S.";"5987";"14.0";"0"
"536";"2840";"Mercho";"Alexandre";"6";"P.L.Q./Q.L.P.";"4718";"11.03";"0"
"536";"2408";"Daou";"Grace";"22";"P.C.Q-E.E.D.";"4175";"9.76";"0"
"536";"3037";"Hanna";"Marie-France";"99286";"D.D.";"140";"0.33";"0"
"850";"2477";"Blouin";"Catherine";"27";"C.A.Q.-E.F.L.";"9919";"44.45";"3211"
"850";"2178";"Deschênes";"Alexis";"8";"P.Q.";"6708";"30.06";"0"
"850";"2186";"Cyr Wright";"Catherine";"40";"Q.S.";"2417";"10.83";"0"
"850";"2778";"Cyr";"Christian";"6";"P.L.Q./Q.L.P.";"1911";"8.56";"0"
"850";"2427";"Therrien";"François";"22";"P.C.Q-E.E.D.";"1219";"5.46";"0"
"850";"2891";"Lauzon";"Anne-Marie";"99275";"U.F.F.";"82";"0.37";"0"
"850";"3004";"Rioux";"Jocelyn";"99237";"C.Q.";"57";"0.26";"0"
"258";"2185";"Jolin-Barrette";"Simon";"27";"C.A.Q.-E.F.L.";"22760";"51.23";"14114"
"258";"2413";"Laprise";"Paule";"8";"P.Q.";"8646";"19.46";"0"
"258";"2205";"Landry";"Benoît";"40";"Q.S.";"6726";"15.14";"0"
"258";"2195";"Racicot";"Jean-Félix";"22";"P.C.Q-E.E.D.";"3357";"7.56";"0"
"258";"3007";"Charles";"Eribert";"6";"P.L.Q./Q.L.P.";"2326";"5.24";"0"
