"Numéro de la circonscription";"Nom de la circonscription";"Dernière date de mise à jour au format ISO 8601";"Résultats finaux";"Nombre de bureaux complétés";"Nombre total de bureaux";"Nombre de votes valides";"Nombre de votes rejetés";"Nombre de votes exercés";"Nombre d'électeurs inscrits";"Taux de vote valide";"Taux de vote rejeté";"Taux de participation"
"648";"Abitibi-Est";"2022-10-04T18:27:03,848-04:00";"true";"126";"126";"20695";"404";"21099";"33723";"98.09";"1.91";"62.57"
"642";"Abitibi-Ouest";"2022-10-04T18:27:03,848-04:00";"true";"139";"139";"22246";"319";"22565";"35424";"98.59";"1.41";"63.7"
"338";"Acadie";"2022-10-04T18:27:03,848-04:00";"true";"165";"165";"25984";"434";"26418";"49427";"98.36";"1.64";"53.45"
"366";"Anjou-Louis-Riel";"2022-10-04T18:27:03,848-04:00";"true";"133";"133";"26363";"427";"26790";"41956";"98.41";"1.59";"63.85"
"520";"Argenteuil";"2022-10-04T18:27:03,848-04:00";"true";"177";"177";"32649";"495";"33144";"51647";"98.51";"1.49";"64.17"
"144";"Arthabaska";"2022-10-04T18:27:03,848-04:00";"true";"207";"207";"45309";"720";"46029";"62120";"98.44";"1.56";"74.1"
"806";"Beauce-Nord";"2022-10-04T18:27:03,848-04:00";"true";"151";"151";"33591";"372";"33963";"44093";"98.9";"1.1";"77.03"
"802";"Beauce-Sud";"2022-10-04T18:27:03,848-04:00";"true";"180";"180";"37293";"468";"37761";"49732";"98.76";"1.24";"75.93"
"218";"Beauharnois";"2022-10-04T18:27:03,848-04:00";"true";"175";"175";"33252";"530";"33782";"50930";"98.43";"1.57";"66.33"
"822";"Bellechasse";"2022-10-04T18:27:03,848-04:00";"true";"165";"165";"32933";"497";"33430";"45261";"98.51";"1.49";"73.86"
"566";"Berthier";"2022-10-04T18:27:03,848-04:00";"true";"211";"211";"41706";"613";"42319";"62369";"98.55";"1.45";"67.85"
"588";"Bertrand";"2022-10-04T18:27:03,848-04:00";"true";"181";"181";"35188";"448";"35636";"55022";"98.74";"1.26";"64.77"
"536";"Blainville";"2022-10-04T18:27:03,848-04:00";"true";"202";"202";"42769";"601";"43370";"60137";"98.61";"1.39";"72.12"
"850";"Bonaventure";"2022-10-04T18:27:03,848-04:00";"true";"134";"134";"22313";"257";"22570";"35960";"98.86";"1.14";"62.76"
"258";"Borduas";"2022-10-04T18:27:03,848-04:00";"true";"194";"194";"44429";"488";"44917";"59936";"98.91";"1.09";"74.94"
"360";"Bourassa-Sauvé";"2022-10-04T18:27:03,848-04:00";"true";"164";"164";"24182";"547";"24729";"46257";"97.79";"2.21";"53.46"
"204";"Brome-Missisquoi";"2022-10-04T18:27:03,848-04:00";"true";"233";"233";"44856";"537";"45393";"66769";"98.82";"1.18";"67.99"
"370";"Camille-Laurin";"2022-10-04T18:27:03,848-04:00";"true";"173";"173";"28690";"2728";"31418";"49518";"91.32";"8.68";"63.45"
"238";"Chambly";"2022-10-04T18:27:03,848-04:00";"true";"172";"172";"38170";"460";"38630";"52394";"98.81";"1.19";"73.73"
"676";"Champlain";"2022-10-04T18:27:03,848-04:00";"true";"206";"206";"42068";"542";"42610";"60032";"98.73";"1.27";"70.98"
"620";"Chapleau";"2022-10-04T18:27:03,848-04:00";"true";"189";"189";"31284";"383";"31667";"53875";"98.79";"1.21";"58.78"
"748";"Charlesbourg";"2022-10-04T18:27:03,848-04:00";"true";"198";"198";"42042";"570";"42612";"57117";"98.66";"1.34";"74.6"
