"Numéro du parti politique";"Nom du parti politique";"Abréviation du parti politique";"Nombre total de votes";"Taux total de vote";"Nombre de circonscriptions en avance";"Taux de circonscriptions en avance"
"27";"Coalition avenir Québec - L'équipe François Legault";"C.A.Q.-E.F.L.";"1685509";"40.983";"90";"72.0"
"6";"Parti libéral du Québec/Quebec Liberal Party";"P.L.Q./Q.L.P.";"591066";"14.3717";"21";"16.8"
"40";"Québec solidaire";"Q.S.";"634525";"15.4284";"11";"8.8"
"8";"Parti québécois";"P.Q.";"600691";"14.6058";"3";"2.4"
"22";"Parti conservateur du Québec - Équipe Éric Duhaime";"P.C.Q-E.E.D.";"530768";"12.9056";"0";"0.0"
"10";"Parti vert du Québec/Green Party of Québec";"P.V.Q./G.P.Q.";"31054";"0.7551";"0";"0.0"
"99263";"Parti canadien du Québec / Canadian Party of Québec";"P.C.Q./C.P.Q";"12981";"0.3156";"0";"0.0"
"99237";"Climat Québec";"C.Q.";"8644";"0.2102";"0";"0.0"
"99285";"Bloc Montréal - Équipe Balarama Holness";"B.M.-E.B.H.";"7774";"0.189";"0";"0.0"
"99286";"Démocratie directe";"D.D.";"2421";"0.0589";"0";"0.0"
"0";"Candidats indépendants/Independent candidates";"Ind.";"2121";"0.0516";"0";"0.0"
"23";"Parti nul";"P.N.";"1074";"0.0261";"0";"0.0"
"99275";"L'union fait la force";"U.F.F.";"1041";"0.0253";"0";"0.0"
"37";"Parti 51";"P51";"689";"0.0168";"0";"0.0"
"7";"Parti marxiste-léniniste du Québec";"P.M.L.Q.";"675";"0.0164";"0";"0.0"
"29";"Équipe autonomiste";"E.A.";"556";"0.0135";"0";"0.0"
"42";"Parti culinaire du Québec";"P.Cu.Q.";"356";"0.0087";"0";"0.0"
"99281";"Parti humain du Québec";"P.H.Q.";"262";"0.0064";"0";"0.0"
"99209";"Union nationale";"U.N.";"159";"0.0039";"0";"0.0"
"99293";"Alliance pour la famille et les communautés";"A.F.C.";"148";"0.0036";"0";"0.0"
"99291";"Parti libertarien du Québec";"P.Li.Q.";"116";"0.0028";"0";"0.0"
"99236";"Parti accès propriété et équité";"P.A.P.E.";"70";"0.0017";"0";"0.0"
