datetime,kWh,code_kWh,temperature,code_temperature,date,hour,month,week
2018-08-14T23:00:00Z,0.33,R,23,R,2018-08-14,23,2018-08-01,2018-08-12
2018-08-14T22:00:00Z,0.34,R,23,R,2018-08-14,22,2018-08-01,2018-08-12
2018-08-14T21:00:00Z,0.29,R,23,R,2018-08-14,21,2018-08-01,2018-08-12
2018-08-14T20:00:00Z,0.31,R,22,R,2018-08-14,20,2018-08-01,2018-08-12
2018-08-14T19:00:00Z,0.35,R,23,R,2018-08-14,19,2018-08-01,2018-08-12
2018-08-14T18:00:00Z,0.33,R,24,R,2018-08-14,18,2018-08-01,2018-08-12
2018-08-14T17:00:00Z,0.33,R,26,R,2018-08-14,17,2018-08-01,2018-08-12
2018-08-14T16:00:00Z,1.7,R,27,R,2018-08-14,16,2018-08-01,2018-08-12
2018-08-14T15:00:00Z,0.31,R,30,R,2018-08-14,15,2018-08-01,2018-08-12
2018-08-14T14:00:00Z,0.3,R,29,R,2018-08-14,14,2018-08-01,2018-08-12
2018-08-14T13:00:00Z,0.29,R,29,R,2018-08-14,13,2018-08-01,2018-08-12
2018-08-14T12:00:00Z,0.29,R,28,R,2018-08-14,12,2018-08-01,2018-08-12
2018-08-14T11:00:00Z,0.33,R,27,R,2018-08-14,11,2018-08-01,2018-08-12
2018-08-14T10:00:00Z,0.3,R,27,R,2018-08-14,10,2018-08-01,2018-08-12
2018-08-14T09:00:00Z,0.29,R,26,R,2018-08-14,9,2018-08-01,2018-08-12
2018-08-14T08:00:00Z,0.29,R,25,R,2018-08-14,8,2018-08-01,2018-08-12
2018-08-14T07:00:00Z,0.33,R,24,R,2018-08-14,7,2018-08-01,2018-08-12
2018-08-14T06:00:00Z,1.51,R,21,R,2018-08-14,6,2018-08-01,2018-08-12
2018-08-14T05:00:00Z,0.51,R,19,R,2018-08-14,5,2018-08-01,2018-08-12
2018-08-14T04:00:00Z,0.32,R,19,R,2018-08-14,4,2018-08-01,2018-08-12
2018-08-14T03:00:00Z,0.31,R,19,R,2018-08-14,3,2018-08-01,2018-08-12
2018-08-14T02:00:00Z,0.3,R,18,R,2018-08-14,2,2018-08-01,2018-08-12
2018-08-14T01:00:00Z,0.33,R,19,R,2018-08-14,1,2018-08-01,2018-08-12
2018-08-14T00:00:00Z,0.31,R,17,R,2018-08-14,0,2018-08-01,2018-08-12
2018-08-13T23:00:00Z,0.3,R,19,R,2018-08-13,23,2018-08-01,2018-08-12
2018-08-13T22:00:00Z,0.32,R,19,R,2018-08-13,22,2018-08-01,2018-08-12
2018-08-13T21:00:00Z,0.31,R,22,R,2018-08-13,21,2018-08-01,2018-08-12
2018-08-13T20:00:00Z,0.31,R,21,R,2018-08-13,20,2018-08-01,2018-08-12
2018-08-13T19:00:00Z,1.28,R,22,R,2018-08-13,19,2018-08-01,2018-08-12
2018-08-13T18:00:00Z,0.34,R,24,R,2018-08-13,18,2018-08-01,2018-08-12
2018-08-13T17:00:00Z,0.31,R,26,R,2018-08-13,17,2018-08-01,2018-08-12
2018-08-13T16:00:00Z,0.31,R,28,R,2018-08-13,16,2018-08-01,2018-08-12
2018-08-13T15:00:00Z,0.31,R,30,R,2018-08-13,15,2018-08-01,2018-08-12
2018-08-13T14:00:00Z,0.31,R,29,R,2018-08-13,14,2018-08-01,2018-08-12
2018-08-13T13:00:00Z,0.29,R,29,R,2018-08-13,13,2018-08-01,2018-08-12
2018-08-13T12:00:00Z,0.8,R,29,R,2018-08-13,12,2018-08-01,2018-08-12
2018-08-13T11:00:00Z,1.09,R,28,R,2018-08-13,11,2018-08-01,2018-08-12
2018-08-13T10:00:00Z,0.88,R,28,R,2018-08-13,10,2018-08-01,2018-08-12
2018-08-13T09:00:00Z,0.3,R,27,R,2018-08-13,9,2018-08-01,2018-08-12
2018-08-13T08:00:00Z,0.32,R,24,R,2018-08-13,8,2018-08-01,2018-08-12
2018-08-13T07:00:00Z,0.82,R,22,R,2018-08-13,7,2018-08-01,2018-08-12
2018-08-13T06:00:00Z,0.27,R,20,R,2018-08-13,6,2018-08-01,2018-08-12
2018-08-13T05:00:00Z,0.84,R,18,R,2018-08-13,5,2018-08-01,2018-08-12
2018-08-13T04:00:00Z,0.32,R,14,R,2018-08-13,4,2018-08-01,2018-08-12
2018-08-13T03:00:00Z,0.28,R,15,R,2018-08-13,3,2018-08-01,2018-08-12
2018-08-13T02:00:00Z,0.83,R,15,R,2018-08-13,2,2018-08-01,2018-08-12
2018-08-13T01:00:00Z,0.33,R,15,R,2018-08-13,1,2018-08-01,2018-08-12
2018-08-13T00:00:00Z,0.83,R,16,R,2018-08-13,0,2018-08-01,2018-08-12
2018-08-12T23:00:00Z,0.28,R,17,R,2018-08-12,23,2018-08-01,2018-08-12
2018-08-12T22:00:00Z,0.84,R,18,R,2018-08-12,22,2018-08-01,2018-08-12
2018-08-12T21:00:00Z,0.29,R,20,R,2018-08-12,21,2018-08-01,2018-08-12
2018-08-12T20:00:00Z,0.29,R,18,R,2018-08-12,20,2018-08-01,2018-08-12
2018-08-12T19:00:00Z,0.83,R,19,R,2018-08-12,19,2018-08-01,2018-08-12
2018-08-12T18:00:00Z,0.3,R,23,R,2018-08-12,18,2018-08-01,2018-08-12
2018-08-12T17:00:00Z,0.81,R,26,R,2018-08-12,17,2018-08-01,2018-08-12
2018-08-12T16:00:00Z,0.28,R,28,R,2018-08-12,16,2018-08-01,2018-08-12
2018-08-12T15:00:00Z,0.86,R,29,R,2018-08-12,15,2018-08-01,2018-08-12
2018-08-12T14:00:00Z,0.29,R,29,R,2018-08-12,14,2018-08-01,2018-08-12
2018-08-12T13:00:00Z,0.82,R,29,R,2018-08-12,13,2018-08-01,2018-08-12
2018-08-12T12:00:00Z,0.27,R,28,R,2018-08-12,12,2018-08-01,2018-08-12
2018-08-12T11:00:00Z,0.32,R,28,R,2018-08-12,11,2018-08-01,2018-08-12
2018-08-12T10:00:00Z,0.81,R,27,R,2018-08-12,10,2018-08-01,2018-08-12
