"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"acepack","acepack","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"ADGofTest","ADGofTest","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.6.1"
"AER","AER","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-9",NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg,
tseries, urca, vars",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"afex","afex","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.27-2",NA,"R (>= 3.5.0), lme4 (>= 1.1-8)","pbkrtest (>= 0.4-1), lmerTest (>= 3.0-0), car, reshape2,
stats, methods, utils",NA,"emmeans (>= 1.4), coin, xtable, parallel, plyr, optimx,
nloptr, knitr, rmarkdown, R.rsp, lattice, latticeExtra,
multcomp, testthat, mlmRev, dplyr, tidyr, dfoptim, Matrix,
psychTools, ggplot2, MEMSS, effects, carData, ggbeeswarm, nlme,
cowplot, jtools, ggpubr, ggpol, MASS, glmmTMB, brms, rstanarm,
statmod",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"AICcmodavg","AICcmodavg","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2-2",NA,"R (>= 3.2.0)","methods, stats, graphics, lattice, MASS, Matrix, nlme, stats4,
survival, unmarked, VGAM, xtable",NA,"betareg, coxme, fitdistrplus, glmmTMB, lavaan, lme4, maxlike,
nnet, ordinal, pscl, R2jags, R2OpenBUGS, R2WinBUGS, jagsUI,
lmerTest",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"alabama","alabama","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2015.3-1",NA,"R (>= 2.10.1), numDeriv",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"alphahull","alphahull","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2",NA,NA,"ggplot2, tripack, R.utils, sgeostat, spatstat, splancs",NA,NA,NA,"file LICENSE",NA,"yes",NA,NA,"yes","3.6.1"
"alphavantager","alphavantager","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.2",NA,"R (>= 3.3.0)","dplyr (>= 0.7.0), glue (>= 1.1.1), httr (>= 1.2.1), jsonlite
(>= 1.5), purrr (>= 0.2.2.2), readr (>= 1.1.1), stringr (>=
1.2.0), tibble (>= 1.3.3), tidyr (>= 0.6.3), timetk (>=
0.1.1.1)",NA,"tidyquant, testthat, knitr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"ape","ape","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","5.3",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"argparse","argparse","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.1",NA,NA,"R6, findpython, jsonlite",NA,"covr, knitr (>= 1.15.19), testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"arm","arm","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.10-1",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"ash","ash","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-15",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"askpass","askpass","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"assertthat","assertthat","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"astsa","astsa","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.9",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"backports","backports","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.6",NA,"R (>= 3.0.0)","utils",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"base64enc","base64enc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"bayesplot","bayesplot","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.7.1",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 2.2.1), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",NA,"gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo (>=
2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>= 2.17.1),
rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales, shinystan
(>= 2.3.0), testthat (>= 2.0.0), vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"bayestestR","bayestestR","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.3",NA,"R (>= 3.0)","insight (>= 0.8.0), methods, stats, utils",NA,"BayesFactor, bridgesampling, brms, broom, covr, dplyr,
emmeans, GGally, ggplot2, ggridges, KernSmooth, knitr, MASS,
mclust, modelbased, lme4, logspline, performance, rmarkdown,
rstan, rstanarm, see, stringr, testthat, tidyr, tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"BB","BB","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2019.10-1",NA,"R (>= 2.6.1)","stats, quadprog",NA,"setRNG, survival, Hmisc, numDeriv",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"BBmisc","BBmisc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.11",NA,NA,"utils, methods, stats, checkmate (>= 1.8.0)",NA,"testthat, microbenchmark, codetools",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"bbmle","bbmle","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.23.1",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"bcp","bcp","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.0.3",NA,"graphics, methods, grid","Rcpp (>= 0.9.2)","Rcpp, RcppArmadillo","DNAcopy, coda, strucchange, vegan, ggplot2, igraph",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"bdsmatrix","bdsmatrix","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3-4",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","3.6.1"
"bestglm","bestglm","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.37.3",NA,"R (>= 3.1.0), leaps","lattice, glmnet, grpreg, pls",NA,"MASS","caret","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"betareg","betareg","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.1-3",NA,"R (>= 3.0.0)","graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich",NA,"car, lattice, partykit, strucchange",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"BH","BH","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.72.0-3",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","3.6.1"
"bibtex","bibtex","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.2.2",NA,"R (>= 3.0.2)","stringr, utils",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"bindr","bindr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"bindrcpp","bindrcpp","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.2",NA,NA,"bindr (>= 0.1.1), Rcpp (>= 0.12.16)","plogr, Rcpp","testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"binman","binman","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.1",NA,"R (>= 3.3)","rappdirs, yaml, httr, jsonlite, xml2, utils, stats,
assertthat, semver",NA,"testthat, covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"BiocManager","BiocManager","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.30.10",NA,NA,"utils",NA,"BiocStyle, BiocVersion, remotes, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.1"
"bit","bit","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1-15.2",NA,"R (>= 2.9.2)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"bit64","bit64","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9-7",NA,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"bitops","bitops","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-6",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"blob","blob","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.1",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"blogdown","blogdown","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.18",NA,NA,"rmarkdown (>= 1.16), bookdown (>= 0.14), knitr (>= 1.25),
htmltools, yaml (>= 2.1.19), httpuv (>= 1.4.0), xfun (>= 0.10),
servr (>= 0.15)",NA,"testit, shiny, miniUI, stringr, rstudioapi, tools, processx,
later, whoami",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"bookdown","bookdown","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.18",NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 2.0),
xfun (>= 0.6), tinytex (>= 0.12)",NA,"htmlwidgets, rstudioapi, miniUI, rsconnect (>= 0.4.3), servr
(>= 0.13), shiny, testit (>= 0.9), tufte, webshot",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"Boruta","Boruta","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","6.0.0",NA,"ranger",NA,NA,"mlbench, rFerns, randomForest, testthat, xgboost",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"BradleyTerry2","BradleyTerry2","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1-2",NA,"R (>= 2.10)","brglm, gtools, lme4 (>= 1.0), qvcalc, stats",NA,"prefmod, testthat","gnm","GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"brew","brew","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.6.1"
"brglm","brglm","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6.2",NA,"R (>= 2.6.0), profileModel",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"bridgesampling","bridgesampling","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-0",NA,"R (>= 3.0.0)","mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods",NA,"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr,
rmarkdown, R.rsp, BayesFactor, rstan, rstanarm, nimble,
MCMCpack",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
